population,contrast,database,panel,selection_rule,rank_in_panel,pathway_id,display_name,direction,nes,enrichment_score,pvalue,padj_in_database,padj_pooled,pooled_under,set_size,leading_edge_size,gene_ratio
Treg,SF_vs_PB_Treg,WikiPathways,dotplot,top 20 by pooled FDR,1,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,Cytoplasmic Ribosomal Proteins,down,-3.45931337,-0.830125045,4.1277910699999995e-36,3.44257775e-33,4.6829789699999997e-32,WikiPathways,86,80,0.930232558
Treg,SF_vs_PB_Treg,WikiPathways,dotplot,top 20 by pooled FDR,2,WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,Cytokinecytokine Receptor Interaction,up,2.34083785,0.549253872,6.34208557e-12,2.64464968e-9,1.53087151e-9,WikiPathways,140,58,0.414285714
Treg,SF_vs_PB_Treg,WikiPathways,dotplot,top 20 by pooled FDR,3,WP_ALLOGRAFT_REJECTION,Allograft Rejection,up,2.54953493,0.677156001,3.76048361e-11,1.04541444e-8,6.66604477e-9,WikiPathways,65,34,0.523076923
Treg,SF_vs_PB_Treg,WikiPathways,dotplot,top 20 by pooled FDR,4,WP_PROTEASOME_DEGRADATION,Proteasome Degradation,up,2.52431787,0.687367009,1.10792086e-10,2.310015e-8,1.67591496e-8,WikiPathways,57,35,0.614035088
Treg,SF_vs_PB_Treg,WikiPathways,dotplot,top 20 by pooled FDR,5,WP_MIRTARGETED_GENES_IN_LYMPHOCYTES,Mirtargeted Genes in Lymphocytes,up,1.89277924,0.39805344,2.72761506e-9,4.54966192e-7,2.69085155e-7,WikiPathways,355,111,0.312676056
Treg,SF_vs_PB_Treg,WikiPathways,dotplot,top 20 by pooled FDR,6,WP_MIRTARGETED_GENES_IN_MUSCLE_CELL,Mirtargeted Genes in Muscle Cell,up,1.95241437,0.420234752,3.73107744e-9,5.18619764e-7,3.35945028e-7,WikiPathways,281,96,0.341637011
Treg,SF_vs_PB_Treg,WikiPathways,dotplot,top 20 by pooled FDR,7,WP_T_CELL_MODULATION_AND_DESMOPLASIA_IN_PANCREATIC_CANCER,T Cell Modulation and Desmoplasia in Pancreatic Cancer,up,2.43298552,0.700327813,5.70862214e-9,6.80141552e-7,4.86949761e-7,WikiPathways,43,23,0.534883721
Treg,SF_vs_PB_Treg,WikiPathways,dotplot,top 20 by pooled FDR,8,WP_INTEGRATIVE_ANALYSIS_OF_TREGGLIAL_INTERACTIONS,Integrative Analysis of Tregglial Interactions,up,2.2852539,0.583127694,1.52113156e-8,1.58577966e-6,1.15048251e-6,WikiPathways,82,37,0.451219512
Treg,SF_vs_PB_Treg,WikiPathways,dotplot,top 20 by pooled FDR,9,WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,Overview of Proinflammatory and Profibrotic Mediators,up,2.34678248,0.655360826,3.85609735e-8,3.57331688e-6,2.7004583e-6,WikiPathways,50,22,0.44
Treg,SF_vs_PB_Treg,WikiPathways,dotplot,top 20 by pooled FDR,10,WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,Network Map of Sarscov2 Signaling,up,2.01939136,0.454645706,4.69635463e-8,3.91675976e-6,3.11115026e-6,WikiPathways,190,72,0.378947368
