population,contrast,pathway_id,n_genes,gene_content_identical,kept_copy,dropped_copy,set_size,nes_kept,nes_dropped,abs_nes_difference,pvalue_kept,pvalue_dropped,padj_kept,padj_dropped,resolution
CD8,SF_vs_PB_CD8,HALLMARK_HYPOXIA,205,TRUE,Hallmark,project_frozen,145,1.80002894,1.79938525,6.43691293e-4,3.68207745e-5,2.12138481e-5,1.84103873e-4,4.94989789e-5,scored in both databases; enters the pooled family under canonical_database only
CD8,SF_vs_PB_CD8,HALLMARK_IL2_STAT5_SIGNALING,204,TRUE,Hallmark,project_frozen,170,1.86094839,1.85979899,0.00114939303,3.10154036e-6,5.74804691e-6,1.72307798e-5,2.01181642e-5,scored in both databases; enters the pooled family under canonical_database only
CD8,SF_vs_PB_CD8,HALLMARK_INFLAMMATORY_RESPONSE,203,TRUE,Hallmark,project_frozen,137,1.69092653,1.69032675,5.99780803e-4,3.11489513e-4,4.7529929e-4,0.00111246255,6.65419006e-4,scored in both databases; enters the pooled family under canonical_database only
CD8,SF_vs_PB_CD8,HALLMARK_INTERFERON_ALPHA_RESPONSE,99,TRUE,Hallmark,project_frozen,93,2.22776361,2.22442617,0.0033374436,1.15208206e-8,1.39521641e-8,9.60068382e-8,9.7665149e-8,scored in both databases; enters the pooled family under canonical_database only
CD8,SF_vs_PB_CD8,HALLMARK_TNFA_SIGNALING_VIA_NFKB,202,TRUE,Hallmark,project_frozen,170,1.70475303,1.70370011,0.0010529208,7.81446672e-5,1.81966931e-4,3.55203033e-4,3.1844213e-4,scored in both databases; enters the pooled family under canonical_database only
CD8,SF_vs_PB_CD8,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,120,TRUE,Hallmark,project_frozen,110,-1.36347467,-1.36520289,0.00172821584,0.0279386514,0.0286619575,0.0524126838,0.0334389504,scored in both databases; enters the pooled family under canonical_database only
CD8,SF_vs_PB_CD8,HSR_core,57,TRUE,project_frozen,HSR_lens,44,-1.12795746,-1.1296366,0.00167914119,0.257263391,0.254695073,0.257263391,0.427931407,scored in both databases; enters the pooled family under canonical_database only
Tcon,SF_vs_PB_Tcon,HALLMARK_HYPOXIA,205,TRUE,Hallmark,project_frozen,157,2.22837424,2.22830967,6.45752479e-5,7.60279132e-10,2.41227664e-10,3.80139566e-9,4.22148412e-10,scored in both databases; enters the pooled family under canonical_database only
Tcon,SF_vs_PB_Tcon,HALLMARK_IL2_STAT5_SIGNALING,204,TRUE,Hallmark,project_frozen,181,2.52829243,2.52948925,0.00119682876,1.2728811000000001e-16,3.38002656e-16,3.1822027400000002e-15,2.3660185900000004e-15,scored in both databases; enters the pooled family under canonical_database only
Tcon,SF_vs_PB_Tcon,HALLMARK_INFLAMMATORY_RESPONSE,203,TRUE,Hallmark,project_frozen,152,2.57180902,2.57206161,2.52594883e-4,1.6097718200000002e-15,1.30257288e-15,2.01221477e-14,4.55900507e-15,scored in both databases; enters the pooled family under canonical_database only
