population,database,n_ranked,n_unique_set_genes,n_overlap,frac_of_set_genes,frac_of_ranked,n_matched,n_matched_via_alias,n_alias_flagged_for_review,n_alias_rejected_ambiguous,n_expression_filtered,n_below_detection,n_absent_from_reference,reference_vocabulary_available
Treg,mouse_projection,13999,245,145,0.591836735,0.0103578827,145,4,0,0,69,24,3,TRUE
Treg,TCR_activation,13999,66,63,0.954545455,0.00450032145,63,1,0,0,1,0,1,TRUE
Treg,eTreg_lens,13999,200,167,0.835,0.0119294235,167,0,0,0,6,2,25,TRUE
Treg,sting_axes,13999,221,72,0.325791855,0.00514322452,72,2,1,2,63,27,54,TRUE
Treg,HSR_lens,13999,176,137,0.778409091,0.00978641332,137,3,0,1,18,12,5,TRUE
Treg,project_frozen,13999,895,713,0.796648045,0.0509322094,713,20,0,0,108,46,8,TRUE
Treg,Hallmark,13999,4384,3167,0.722399635,0.226230445,3167,107,0,22,671,388,29,TRUE
Treg,MitoPathways,13999,1035,860,0.830917874,0.0614329595,860,77,0,3,53,33,9,TRUE
Treg,KEGG,13999,5246,3215,0.612847884,0.229659261,3215,147,0,28,862,916,78,TRUE
Treg,TF_Targets,13999,6011,3595,0.598070205,0.256804057,3595,98,0,44,1167,992,115,TRUE
Treg,WikiPathways,13999,9270,5717,0.616720604,0.408386313,5717,295,1,55,1532,1237,433,TRUE
Treg,GO_CC,13999,11412,6850,0.600245356,0.489320666,6850,476,0,59,1802,1248,977,TRUE
Treg,Reactome,13999,11145,6920,0.620906236,0.494321023,6920,338,0,67,1765,1812,243,TRUE
Treg,GO_MF,13999,14234,8208,0.576647464,0.586327595,8208,480,0,91,2413,2176,866,TRUE
Treg,GO_BP,13999,16154,9325,0.577256407,0.666119009,9325,635,0,100,2761,2458,875,TRUE
Tcon,mouse_projection,14411,245,158,0.644897959,0.0109638471,158,4,0,0,56,24,3,TRUE
Tcon,TCR_activation,14411,66,64,0.96969697,0.00444105197,64,1,0,0,0,0,1,TRUE
Tcon,eTreg_lens,14411,200,161,0.805,0.011172021400000001,161,0,0,0,12,2,25,TRUE
Tcon,sting_axes,14411,221,86,0.389140271,0.00596766359,86,2,1,2,49,27,54,TRUE
Tcon,HSR_lens,14411,176,137,0.778409091,0.00950662688,137,3,0,1,18,12,5,TRUE
Tcon,project_frozen,14411,895,743,0.830167598,0.0515578378,743,21,0,0,77,46,8,TRUE
Tcon,Hallmark,14411,4384,3301,0.752965328,0.229061134,3301,109,0,22,535,388,29,TRUE
Tcon,MitoPathways,14411,1035,862,0.832850242,0.0598154188,862,78,0,3,50,33,9,TRUE
Tcon,KEGG,14411,5246,3316,0.632100648,0.230102005,3316,153,0,28,755,916,78,TRUE
Tcon,TF_Targets,14411,6011,3737,0.621693562,0.2593158,3737,104,0,44,1019,992,115,TRUE
Tcon,WikiPathways,14411,9270,5901,0.636569579,0.40947887,5901,308,1,55,1335,1237,433,TRUE
Tcon,GO_CC,14411,11412,7042,0.617069751,0.4886545,7042,492,0,59,1594,1248,977,TRUE
Tcon,Reactome,14411,11145,7144,0.641004935,0.495732427,7144,347,0,67,1532,1812,243,TRUE
Tcon,GO_MF,14411,14234,8482,0.595897148,0.588578169,8482,499,0,91,2120,2176,866,TRUE
Tcon,GO_BP,14411,16154,9621,0.595580042,0.667615016,9621,659,0,100,2441,2458,875,TRUE
CD8,mouse_projection,14014,245,138,0.563265306,0.00984729556,138,4,0,0,76,24,3,TRUE
CD8,TCR_activation,14014,66,63,0.954545455,0.0044955045,63,1,0,0,1,0,1,TRUE
CD8,eTreg_lens,14014,200,160,0.8,0.0114171543,160,0,0,0,13,2,25,TRUE
CD8,sting_axes,14014,221,70,0.316742081,0.004995005,70,2,1,2,65,27,54,TRUE
CD8,HSR_lens,14014,176,137,0.778409091,0.00977593835,137,3,0,1,18,12,5,TRUE
CD8,project_frozen,14014,895,705,0.787709497,0.050306836,705,20,0,0,116,46,8,TRUE
CD8,Hallmark,14014,4384,3182,0.725821168,0.227058656,3182,108,0,22,655,388,29,TRUE
CD8,MitoPathways,14014,1035,859,0.829951691,0.061295847,859,78,0,3,53,33,9,TRUE
CD8,KEGG,14014,5246,3217,0.613229127,0.229556158,3217,151,0,28,856,916,78,TRUE
CD8,TF_Targets,14014,6011,3608,0.600232906,0.257456829,3608,100,0,44,1152,992,115,TRUE
CD8,WikiPathways,14014,9270,5731,0.618230852,0.408948195,5731,302,1,55,1511,1237,433,TRUE
CD8,GO_CC,14014,11412,6887,0.603487557,0.491437134,6887,486,0,59,1755,1248,977,TRUE
CD8,Reactome,14014,11145,6952,0.623777479,0.496075353,6952,342,0,67,1729,1812,243,TRUE
CD8,GO_MF,14014,14234,8266,0.580722214,0.589838733,8266,492,0,91,2343,2176,866,TRUE
CD8,GO_BP,14014,16154,9383,0.580846849,0.669544741,9383,647,0,100,2691,2458,875,TRUE
