population,database,gene_set,n_unique_set_genes,n_matched,n_matched_via_alias,n_alias_flagged_for_review,n_alias_rejected_ambiguous,n_expression_filtered,n_below_detection,n_absent_from_reference,set_size_resolved,n_alias_collapsed,reference_vocabulary_available,alias_pairs_applied,alias_pairs_flagged,alias_pairs_rejected,set_size_scored
Treg,mouse_projection,Interaction_up,7,6,0,0,0,1,0,0,6,0,TRUE,->,->,->,6
Treg,mouse_projection,KO_heat_up,221,132,4,0,0,59,23,3,136,0,TRUE,CAVIN1->PTRF/CCDC184->C12orf68/DYNLT2B->TCTEX1D2/GPAT3->AGPAT9,->,->,136
Treg,mouse_projection,WT_heat_up,202,119,1,0,0,57,22,3,120,0,TRUE,DYNLT2B->TCTEX1D2,->,->,120
Treg,TCR_activation,TCR_activation,66,63,1,0,0,1,0,1,64,0,TRUE,FYB1->FYB,->,->,64
Treg,sting_axes,ifn_only_up,200,60,1,0,2,58,27,52,61,0,TRUE,PLAAT2->HRASLS2,->,ACOD1->CAD/TDO2->TPH2,61
Treg,sting_axes,sting_specific_up,21,12,1,1,0,5,0,2,13,0,TRUE,SELENOK->SELK,MIR4435-2HG->MIR4435-1HG,->,13
Treg,HSR_lens,HSR_core,56,43,1,0,0,4,4,4,44,0,TRUE,HIKESHI->C11orf73,->,->,44
Treg,HSR_lens,HSR_sensitivity,176,137,3,0,1,18,12,5,140,0,TRUE,HIKESHI->C11orf73/NUP42->NUPL2/NUP58->NUPL1,->,CRNN->DRC1,140
Treg,project_frozen,HALLMARK_HYPOXIA,200,139,4,0,0,35,18,4,143,0,TRUE,CAVIN1->PTRF/CAVIN3->PRKCDBP/ERO1A->ERO1L/NOCT->CCRN4L,->,->,143
Treg,project_frozen,HALLMARK_IL2_STAT5_SIGNALING,199,167,4,0,0,25,3,0,171,0,TRUE,EEF1AKMT1->N6AMT2/ETFBKMT->METTL20/HYCC2->FAM126B/PLPP1->PPAP2A,->,->,171
Treg,project_frozen,HALLMARK_INFLAMMATORY_RESPONSE,200,141,2,0,0,39,18,0,143,0,TRUE,ADGRE1->EMR1/SELENOS->VIMP,->,->,143
Treg,project_frozen,HALLMARK_INTERFERON_ALPHA_RESPONSE,97,91,2,0,0,4,0,0,93,0,TRUE,TENT5A->FAM46A/WARS1->WARS,->,->,93
Treg,project_frozen,HALLMARK_TNFA_SIGNALING_VIA_NFKB,200,175,1,0,0,16,7,1,176,0,TRUE,RIGI->DDX58,->,->,176
Treg,project_frozen,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,113,103,7,0,0,1,2,0,110,0,TRUE,ERO1A->ERO1L/H2AX->H2AFX/IARS1->IARS/MTREX->SKIV2L2/SKIC3->TTC37/SRPRA->SRPR/TARS1->TARS,->,->,110
Treg,project_frozen,HSR_core,56,43,1,0,0,4,4,4,44,0,TRUE,HIKESHI->C11orf73,->,->,44
Treg,Hallmark,HALLMARK_ADIPOGENESIS,200,157,6,0,1,23,12,1,163,0,TRUE,ATP5PO->ATP5O/CAVIN1->PTRF/GPAT4->AGPAT6/MIGA2->FAM73B/SLC66A3->PQLC3/SQOR->SQRDL,->,LAMA4->LAMA3,163
Treg,Hallmark,HALLMARK_ALLOGRAFT_REJECTION,200,167,5,0,1,18,9,0,172,0,TRUE,AARS1->AARS/DARS1->DARS/FYB1->FYB/RARS1->RARS/WARS1->WARS,->,MBL2->MBP,172
Treg,Hallmark,HALLMARK_ANDROGEN_RESPONSE,101,80,2,0,1,13,4,1,82,0,TRUE,H1-0->H1F0/PLPP1->PPAP2A,->,TARP->CD3G,82
Treg,Hallmark,HALLMARK_APICAL_JUNCTION,200,118,4,0,1,54,19,4,122,0,TRUE,FYB1->FYB/MAP3K20->MLTK/NECTIN1->PVRL1/PALS1->MPP5,->,CNTN1->F3,122
