pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
GOBP_CYTOPLASMIC_TRANSLATION,GOBP_CYTOPLASMIC_TRANSLATION,GO_BP,CD8,SF_vs_PB_CD8,-3.62187354,-0.778814107,4.2655305399999996e-50,2.4641969899999996e-46,159,93,CSDE1/EIF3G/FAU/ALKBH3/RPL17/RPS10/ZC3H15/NCBP2/EIF3D/RPL28/RPLP1/RPL41/RPL22L1/RPL24/RPS19/EIF3K/YBX1/RPL14/EIF3M/RPL10/RPL7A/EIF4A2/RPS15A/RPS2/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/EIF3F/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/PABPC1/EIF3H/RPLP0/RPL27A/RPL11/RPS20/EEF2/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/EIF2D/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/EIF3E/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/EIF2S3/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A/EIF3L,down,FALSE
GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GO_BP,CD8,SF_vs_PB_CD8,-3.35938921,-0.898974923,1.01421153e-29,2.9295500099999995e-26,47,42,RPL28/RPLP1/RPL41/RPL24/RPL14/RPL10/RPL7A/RPL37A/RPL35A/RPL38/RPL35/RPL23A/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPL18/RPL15/RPLP0/RPL27A/RPL11/RPL27/RPL39/RPL31/RPL34/RPL6/RPL13/RPL9/RPL13A/RPL19/RPL18A/RPL29/RPL21/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPL7,down,FALSE
GOBP_RIBOSOME_BIOGENESIS,GOBP_RIBOSOME_BIOGENESIS,GO_BP,CD8,SF_vs_PB_CD8,-2.70544379,-0.538834954,1.84066756e-26,3.54451216e-23,295,123,NAF1/ESF1/NGDN/ZCCHC4/ZNF622/IMP4/SDAD1/NOP2/RBM10/RIOK2/DDX56/REXO4/NAT10/PRMT5/WDR3/NHP2/URB2/TRMT2B/EXOSC1/UTP14A/RPUSD3/EMG1/NOC2L/HEATR3/EIF1AX/MRM1/RPP25/TFB2M/WDR75/NSUN3/NLE1/URB1/MYBBP1A/TRMT61B/ISG20L2/RPF2/PAK1IP1/NMD3/METTL16/TUFM/RRN3/MAK16/DDX28/MRTO4/XRCC5/WDR36/RPL26/RRP1B/DDX21/NOL11/PWP2/DDX17/UTP23/NOB1/EXOSC5/NOP56/PNO1/BRIX1/DKC1/IMP3/TEX10/RSL24D1/GTPBP10/FAU/RCL1/DDX18/GEMIN4/RPUSD4/GNL3L/NUP88/DDX55/ZNHIT6/MRPS2/WDR12/CHD7/NSA2/WDR77/WDR74/RPL24/NOL9/RPS19/RPL14/LYAR/POP5/RPL7A/RPS15A/C1QBP/NPM1/RRS1/NOLC1/RPS27/NOA1/RPL35A/WDR43/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPS7/RPS9/RPS28/RPS14/RPS16/EIF2A/RPLP0/RPL11/RPS11/RPL27/RPS4X/RPS23/RPSA/FBL/RPS5/RPS12/RPL5/RPS8/RPS6/RPL7/RPS13/RPS3A,down,FALSE
GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GO_BP,CD8,SF_vs_PB_CD8,-3.15061071,-0.801078118,8.00118971e-22,1.15557182e-18,60,43,RPL28/RPLP1/RPL41/RPL24/RPL14/RPL10/RPL7A/RPL37A/RPL35A/RPL38/RPL35/RPL23A/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPL18/RPL15/RPLP0/RPL27A/RPL11/SCGB3A1/RPL27/RPL39/RPL31/RPL34/RPL6/RPL13/RPL9/RPL13A/RPL19/RPL18A/RPL29/RPL21/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPL7,down,FALSE
GOBP_MYOBLAST_FUSION,GOBP_MYOBLAST_FUSION,GO_BP,CD8,SF_vs_PB_CD8,-3.09314222,-0.766043269,7.66406731e-21,8.85506337e-18,69,45,RPL28/RPLP1/NEO1/RPL41/RPL24/RPL14/RPL10/RPL7A/RPL37A/RPL35A/RPL38/RPL35/RPL23A/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPL18/RPL15/RPLP0/RPL27A/RPL11/SCGB3A1/RPL27/RPL39/RPL31/RPL34/RPL6/RPL13/RPL9/RPL13A/RPL19/RPL18A/RPL29/RPL21/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPL7/ADAM12,down,FALSE
GOBP_SYNCYTIUM_FORMATION,GOBP_SYNCYTIUM_FORMATION,GO_BP,CD8,SF_vs_PB_CD8,-2.91371732,-0.705139687,1.14080804e-17,1.09840801e-14,78,45,RPL28/RPLP1/NEO1/RPL41/RPL24/RPL14/RPL10/RPL7A/RPL37A/RPL35A/RPL38/RPL35/RPL23A/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPL18/RPL15/RPLP0/RPL27A/RPL11/SCGB3A1/RPL27/RPL39/RPL31/RPL34/RPL6/RPL13/RPL9/RPL13A/RPL19/RPL18A/RPL29/RPL21/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPL7/ADAM12,down,FALSE
GOBP_MYOTUBE_DIFFERENTIATION,GOBP_MYOTUBE_DIFFERENTIATION,GO_BP,CD8,SF_vs_PB_CD8,-2.71554987,-0.614446679,7.74164992e-16,6.38907308e-13,114,50,RPL28/RPLP1/COL6A1/NEO1/RPL41/GPX1/RPL24/RPL14/XBP1/RPL10/RPL7A/RPL37A/RPL35A/RPL38/RPL35/RPL23A/NACA/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPL18/RPL15/SIK1/RPLP0/RPL27A/RPL11/SCGB3A1/RPL27/RPL39/RPL31/RPL34/RPL6/RPL13/RPL9/RPL13A/RPL19/RPL18A/RPL29/RPL21/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPL7/ADAM12,down,FALSE
GOBP_RRNA_PROCESSING,GOBP_RRNA_PROCESSING,GO_BP,CD8,SF_vs_PB_CD8,-2.44012574,-0.504605326,1.1992255300000002e-15,8.65990737e-13,213,84,NAF1/ESF1/NGDN/ZCCHC4/IMP4/NOP2/RIOK2/DDX56/REXO4/NAT10/PRMT5/WDR3/NHP2/TRMT2B/EXOSC1/UTP14A/RPUSD3/EMG1/MRM1/RPP25/TFB2M/WDR75/NSUN3/URB1/TRMT61B/RPF2/PAK1IP1/METTL16/MAK16/MRTO4/WDR36/RPL26/RRP1B/DDX21/NOL11/PWP2/DDX17/UTP23/NOB1/EXOSC5/NOP56/PNO1/BRIX1/DKC1/IMP3/TEX10/RCL1/DDX18/GEMIN4/RPUSD4/DDX55/ZNHIT6/WDR12/CHD7/NSA2/WDR77/WDR74/NOL9/RPS19/RPL14/LYAR/POP5/RPL7A/RRS1/NOLC1/RPS27/RPL35A/WDR43/RPS24/RPS15/RPS25/RPS21/RPL35/RPS7/RPS28/RPS14/RPS16/RPL11/RPL27/FBL/RPL5/RPS8/RPS6/RPL7,down,FALSE
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GO_BP,CD8,SF_vs_PB_CD8,-2.74023966,-0.630100215,2.04533392e-15,1.31287712e-12,104,39,XRCC5/WDR36/NOL11/PWP2/UTP23/NOB1/NOP56/PNO1/IMP3/FAU/RCL1/RPS19/RPS15A/NPM1/RRS1/RPS27/NOA1/WDR43/RPS24/RPS15/RPS25/RPS27A/RPS21/RPS7/RPS9/RPS28/RPS14/RPS16/RPS11/RPS4X/RPS23/RPSA/FBL/RPS5/RPS12/RPS8/RPS6/RPS13/RPS3A,down,FALSE
GOBP_RRNA_METABOLIC_PROCESS,GOBP_RRNA_METABOLIC_PROCESS,GO_BP,CD8,SF_vs_PB_CD8,-2.26551746,-0.458022044,2.40300767e-14,1.38821753e-11,256,92,NAF1/ESF1/NGDN/ZCCHC4/IMP4/NOP2/RIOK2/DDX56/REXO4/NAT10/PRMT5/POLR1E/WDR3/NHP2/TRMT2B/EXOSC1/UTP14A/RPUSD3/EMG1/MRM1/RPP25/TFB2M/WDR75/NSUN3/NIFK/URB1/TRMT61B/RPF2/PAK1IP1/METTL16/MAK16/MRTO4/MAPT/WDR36/RPL26/RRP1B/DDX21/NOL11/PWP2/DDX17/UTP23/NOB1/EXOSC5/NOP56/PNO1/BRIX1/DKC1/IMP3/GTF3C1/TEX10/RCL1/DDX18/GEMIN4/RPUSD4/DDX55/ZNHIT6/WDR12/CHD7/NSA2/WDR77/NCL/POLR1B/WDR74/NOL9/RPS19/RPL14/POLR2H/LYAR/POP5/RPL7A/RRS1/NOLC1/RPS27/RPL35A/WDR43/RPS24/RPS15/RPS25/RPS21/RPL35/RPS7/RPS28/RPS14/RPS16/MYC/RPL11/RPL27/FBL/RPL5/RPS8/RPS6/RPL7,down,FALSE
