pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
GOCC_CYTOSOLIC_RIBOSOME,GOCC_CYTOSOLIC_RIBOSOME,GO_CC,CD8,SF_vs_PB_CD8,-3.6833098,-0.83405405,8.32996118e-47,7.313705920000001e-44,113,76,RPL28/RPLP1/RPSAP58/RPL41/RPL24/RPS4Y1/RPS19/RPL14/ABCE1/RPL10/RPL7A/RPS15A/RPS2/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/GNB2L1/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/EEF1A1/RPS13/RPL3/RPS3A,down,FALSE
GOCC_RIBOSOMAL_SUBUNIT,GOCC_RIBOSOMAL_SUBUNIT,GO_CC,CD8,SF_vs_PB_CD8,-3.37929481,-0.717785659,3.1023793799999998e-40,1.3619445499999998e-37,174,92,RPL26/MRPS30/MRPS35/MRPS9/MRPL10/RPL36A/MRPL34/MRPS33/FAU/MRPS31/RPL17/RPS10/MRPS18B/MRPS2/RPL28/RPLP1/RPSAP58/RPL41/MRPS27/RPL24/DAP3/RPS4Y1/RPS19/MRPL45/RPL14/RPL10/RPL7A/RPS15A/RPS2/NPM1/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/GNB2L1/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A,down,FALSE
GOCC_RIBOSOME,GOCC_RIBOSOME,GO_CC,CD8,SF_vs_PB_CD8,-3.20825366,-0.662124295,1.5928536199999998e-37,4.66175161e-35,218,101,RPL26/MRPS30/MRPS35/USP10/MRPS9/MRPL10/RPL36A/MRPL34/MRPS33/FXR1/FAU/MRPS31/RPL17/RPS10/MRPS18B/MRPS2/RPL28/RPLP1/RPSAP58/RPL41/RPL22L1/MRPS27/RPL24/DAP3/RPS4Y1/RPS19/MRPL45/RPL14/ABCE1/SF1/RPL10/SERP1/RPL7A/RPS15A/RPS2/NPM1/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/APEX1/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/GNB2L1/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/EEF2/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/EEF1A1/RPS13/RPL3/RPS3A,down,FALSE
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GO_CC,CD8,SF_vs_PB_CD8,-3.39010925,-0.887951114,4.67486077e-30,1.0261319400000001e-27,52,44,RPL28/RPLP1/RPL41/RPL24/RPL14/RPL10/RPL7A/RPL37A/RPL35A/RPL38/RPL35/RPL23A/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPL18/RPL15/RPLP0/RPL27A/RPL11/RPL27/RPL39/RPL31/RPL34/RPL6/RPL13/RPL9/RPL13A/RPL19/RPL18A/RPL29/RPL21/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPL7/RPL22/RPL3,down,FALSE
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,GO_CC,CD8,SF_vs_PB_CD8,-3.18368261,-0.882073844,1.2431712e-22,2.1830086300000002e-20,40,32,FAU/RPS10/RPSAP58/RPS4Y1/RPS19/RPS15A/RPS2/RPS27/RPS24/RPS15/RPS25/RPS27A/RPS21/RPS7/RPS9/RPS28/RPS14/GNB2L1/RPS16/RPS20/RPS11/RPS3/RPS4X/RPS23/RPSA/RPS5/RPS12/RPS8/RPS18/RPS6/RPS13/RPS3A,down,FALSE
GOCC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_LARGE_RIBOSOMAL_SUBUNIT,GO_CC,CD8,SF_vs_PB_CD8,-3.02458826,-0.693455418,1.01027462e-21,1.47836852e-19,105,46,RPL28/RPLP1/RPL41/RPL24/MRPL45/RPL14/RPL10/RPL7A/NPM1/RPL37A/RPL35A/RPL38/RPL35/RPL23A/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPL18/RPL15/RPLP0/RPL27A/RPL11/RPL27/RPL39/RPL31/RPL34/RPL6/RPL13/RPL9/RPL13A/RPL19/RPL18A/RPL29/RPL21/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPL7/RPL22/RPL3,down,FALSE
GOCC_SMALL_RIBOSOMAL_SUBUNIT,GOCC_SMALL_RIBOSOMAL_SUBUNIT,GO_CC,CD8,SF_vs_PB_CD8,-3.10563204,-0.761313343,7.14233121e-21,8.958524e-19,72,41,MRPS35/MRPS9/MRPS33/FAU/MRPS31/RPS10/MRPS18B/MRPS2/RPSAP58/MRPS27/DAP3/RPS4Y1/RPS19/RPS15A/RPS2/NPM1/RPS27/RPS24/RPS15/RPS25/RPS27A/RPS21/RPS7/RPS9/RPS28/RPS14/GNB2L1/RPS16/RPS20/RPS11/RPS3/RPS4X/RPS23/RPSA/RPS5/RPS12/RPS8/RPS18/RPS6/RPS13/RPS3A,down,FALSE
GOCC_PRERIBOSOME,GOCC_PRERIBOSOME,GO_CC,CD8,SF_vs_PB_CD8,-2.71377483,-0.62309148,4.47429618e-15,4.91054005e-13,104,49,NGDN/ZNF622/IMP4/RIOK2/NAT10/WDR3/UTP14A/EMG1/NOC2L/WDR75/MAK16/MRTO4/XRCC5/WDR36/RRP1B/NOL11/PWP2/UTP23/NOB1/NOP56/PNO1/CIRH1A/IMP3/RCL1/WDR12/NSA2/WDR74/RPS19/RPS15A/RRS1/RPS27/WDR43/RPS24/RPS27A/RPS7/RPS9/RPS28/RPS14/RPS16/RPS11/RPS4X/RPS23/FBL/RPS5/RPS12/RPS8/RPS6/RPS13/RPS3A,down,FALSE
GOCC_SMALL_SUBUNIT_PROCESSOME,GOCC_SMALL_SUBUNIT_PROCESSOME,GO_CC,CD8,SF_vs_PB_CD8,-2.75418484,-0.673243523,1.78975345e-13,1.74600392e-11,73,31,XRCC5/WDR36/NOL11/PWP2/UTP23/NOP56/PNO1/CIRH1A/IMP3/RCL1/RPS19/RPS15A/RPS27/WDR43/RPS24/RPS27A/RPS7/RPS9/RPS28/RPS14/RPS16/RPS11/RPS4X/RPS23/FBL/RPS5/RPS12/RPS8/RPS6/RPS13/RPS3A,down,FALSE
GOCC_MHC_CLASS_II_PROTEIN_COMPLEX,GOCC_MHC_CLASS_II_PROTEIN_COMPLEX,GO_CC,CD8,SF_vs_PB_CD8,2.46160914,0.921674366,2.04129758e-10,1.79225927e-8,15,12,CD74/HLA-DQA2/HLA-DQB2/HLA-DMA/HLA-DRA/HLA-DMB/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DPA1/HLA-DQB1/HLA-DPB1,up,FALSE
