pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
MITOPATHWAYS_Mitochondrial_central_dogma,MITOPATHWAYS_Mitochondrial_central_dogma,MitoPathways,CD8,SF_vs_PB_CD8,-1.7544138,-0.360204584,2.39396289e-6,2.63335918e-4,228,107,MTERF/PDF/MRPL32/MRPL38/MRPL1/MRPL4/LACTB2/QRSL1/MTIF2/RNASEH1/ERAL1/MTFMT/MRPS14/MTO1/C6orf203/MRPS7/EXD2/MRPL23/TRMT5/GTPBP3/EARS2/ANGEL2/TRUB2/GFM1/LARS2/FASTKD1/PTCD3/LIG3/TACO1/MRPL21/TIMM21/FARS2/C12orf10/MRRF/FASTKD2/OXA1L/TEFM/MRPS10/MRPL48/MRPL24/COX14/MTERFD1/TARS2/TBRG4/PDE12/GRSF1/NARS2/SARS2/MIEF1/MRPL9/MTERFD2/TRMT2B/MRPS26/MRPL14/MRPL55/TRNT1/C10orf2/AARS2/RPUSD3/MRPL44/MTERFD3/YARS2/MRPL20/CDK5RAP1/MRPS25/QTRT1/MRM1/TFB2M/MRPL3/NSUN3/MRPL11/MTRF1/TRMT61B/MRPL40/KIAA0391/PTCD2/MRPL46/RNMTL1/TUFM/TRMT1/DDX28/MRPS30/MRPS35/MRPS9/MRPL10/HEMK1/TRMT10C/MRPL34/MRPS33/PET112/GTPBP10/MRPS31/RPUSD4/MRPS18B/LRPPRC/MRPS2/OSGEPL1/MRPS27/TFAM/PPA2/DAP3/MRPL45/KARS/MARS2/NOA1/APEX1/METAP1D,down,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.Translation,MITOPATHWAYS_Mitochondrial_central_dogma.Translation,MitoPathways,CD8,SF_vs_PB_CD8,-1.76955286,-0.383626544,3.50970974e-5,0.00193034036,152,76,MRPL49/PDF/MRPL32/MRPL38/MRPL1/MRPL4/QRSL1/MTIF2/ERAL1/MTFMT/MRPS14/C6orf203/MRPS7/EXD2/MRPL23/EARS2/GFM1/LARS2/PTCD3/TACO1/MRPL21/TIMM21/FARS2/MRRF/FASTKD2/OXA1L/MRPS10/MRPL48/MRPL24/COX14/MTERFD1/TARS2/GRSF1/NARS2/SARS2/MIEF1/MRPL9/MTERFD2/MRPS26/MRPL14/MRPL55/AARS2/MRPL44/YARS2/MRPL20/MRPS25/MRPL3/MRPL11/MTRF1/TRMT61B/MRPL40/MRPL46/RNMTL1/TUFM/DDX28/MRPS30/MRPS35/MRPS9/MRPL10/HEMK1/MRPL34/MRPS33/PET112/GTPBP10/MRPS31/MRPS18B/LRPPRC/MRPS2/MRPS27/PPA2/DAP3/MRPL45/KARS/MARS2/NOA1/METAP1D,down,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism,MitoPathways,CD8,SF_vs_PB_CD8,-1.84853338,-0.44845756,1.53014076e-4,0.00561051612,76,39,LACTB2/RNASEH1/ERAL1/MTO1/C6orf203/MRPS7/TRMT5/GTPBP3/ANGEL2/TRUB2/FASTKD1/C12orf10/FASTKD2/TEFM/TBRG4/PDE12/GRSF1/TRMT2B/TRNT1/RPUSD3/CDK5RAP1/QTRT1/MRM1/TFB2M/NSUN3/TRMT61B/KIAA0391/PTCD2/RNMTL1/TRMT1/DDX28/MRPS9/TRMT10C/RPUSD4/LRPPRC/OSGEPL1/TFAM/PPA2/NOA1,down,FALSE
MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_homeostasis.Chaperones,MitoPathways,CD8,SF_vs_PB_CD8,-1.84594186,-0.657433777,0.00348384139,0.0894898857,15,10,TIMM8A/TIMM10B/C2orf47/TRAP1/HSPE1/PHB/HSPD1/DNAJA3/TIMM9/PHB2,down,FALSE
MITOPATHWAYS_Protein_import_sorting_and_homeostasis,MITOPATHWAYS_Protein_import_sorting_and_homeostasis,MitoPathways,CD8,SF_vs_PB_CD8,-1.5859869,-0.378654429,0.00406772208,0.0894898857,83,29,TIMM21/TIMM8A/OXA1L/TOMM70A/TIMM22/IMMP1L/GRPEL1/AGK/YME1L1/TIMM10B/C2orf47/TRAP1/DNAJC4/HSPE1/DNAJC19/PHB/PMPCB/HSPD1/TOMM20/OMA1/DNAJA3/TOMM7/TIMM9/UQCRC2/PHB2/PRSS35/TOMM22/IMMP2L/METAP1D,down,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,MitoPathways,CD8,SF_vs_PB_CD8,-1.76530248,-0.566313942,0.00643670573,0.118006272,22,13,MTO1/TRMT5/GTPBP3/TRMT2B/TRNT1/CDK5RAP1/QTRT1/NSUN3/TRMT61B/TRMT1/TRMT10C/RPUSD4/OSGEPL1,down,FALSE
MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_homeostasis,MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_homeostasis,MitoPathways,CD8,SF_vs_PB_CD8,-1.61773384,-0.42654501,0.00796446623,0.125155898,50,16,YME1L1/TIMM10B/C2orf47/TRAP1/DNAJC4/HSPE1/PHB/PMPCB/HSPD1/OMA1/DNAJA3/TIMM9/PHB2/PRSS35/IMMP2L/METAP1D,down,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_granules,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_granules,MitoPathways,CD8,SF_vs_PB_CD8,-1.67927443,-0.506169396,0.0102771948,0.141311428,28,15,ERAL1/MRPS7/TRUB2/FASTKD1/FASTKD2/GRSF1/RPUSD3/MRM1/KIAA0391/PTCD2/DDX28/MRPS9/TRMT10C/RPUSD4/NOA1,down,FALSE
MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Gluconeogenesis,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Gluconeogenesis,MitoPathways,CD8,SF_vs_PB_CD8,1.65722705,0.770037686,0.0117801774,0.143979947,7,4,MPC1/MPC2/PCK2/SLC25A1,up,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome_assembly,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome_assembly,MitoPathways,CD8,SF_vs_PB_CD8,-1.63307866,-0.512350643,0.0165334475,0.164137848,24,11,PTCD3/FASTKD2/MTERFD1/GRSF1/MIEF1/MTERFD2/TRMT61B/RNMTL1/DDX28/GTPBP10/NOA1,down,FALSE
