pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,Reactome,CD8,SF_vs_PB_CD8,-3.73428709,-0.840580569,6.830121509999999e-51,1.08394028e-47,118,88,EIF3G/FAU/RPL17/RPS10/EIF3D/RPL28/RPLP1/RPL41/RPL22L1/RPL24/RPS4Y1/RPS19/EIF3K/RPL14/EIF3M/RPL10/RPL7A/EIF4A2/RPS15A/RPS2/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/EIF3F/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/PABPC1/EIF3H/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/EIF3E/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/EIF2S3/RPL5/RPS8/RPS18/EIF4B/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A/EIF3L,down,FALSE
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Reactome,CD8,SF_vs_PB_CD8,-3.75800103,-0.882296005,5.2803466499999995e-50,4.18995506e-47,92,80,FAU/RPL17/RPS10/RPL28/RPLP1/RPL41/RPL22L1/RPL24/RPS4Y1/RPS19/RPL14/RPL10/RPL7A/RPS15A/RPS2/RPS27/RPL37A/EEF1G/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/EEF2/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/EEF1A1/RPS13/RPL3/RPS3A/EEF1B2,down,FALSE
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Reactome,CD8,SF_vs_PB_CD8,-3.72290672,-0.846658525,1.6407610899999995e-49,8.67962614e-47,111,80,FAU/SRPR/RPL17/SEC61A1/RPS10/SRPRB/RPL28/RPLP1/SSR2/RPL41/RPL22L1/RPL24/RPS4Y1/RPS19/RPL14/RPL10/RPL7A/RPS15A/RPS2/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A,down,FALSE
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,Reactome,CD8,SF_vs_PB_CD8,-3.70028026,-0.856614539,6.72955134e-47,2.66994949e-44,100,77,FAU/RPL17/RPS10/RPL28/RPLP1/RPL41/RPL22L1/RPL24/RPS4Y1/RPS19/RPL14/RPL10/RPL7A/RPS15A/RPS2/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/EIF2S3/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A,down,FALSE
REACTOME_SELENOAMINO_ACID_METABOLISM,REACTOME_SELENOAMINO_ACID_METABOLISM,Reactome,CD8,SF_vs_PB_CD8,-3.66624976,-0.834942676,1.02944008e-46,3.2674428e-44,110,81,CTH/GSR/FAU/QARS/RPL17/RPS10/LARS/RPL28/RPLP1/RPL41/RPL22L1/RPL24/RPS4Y1/RPS19/RPL14/KARS/RPL10/RPL7A/RPS15A/RPS2/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A,down,FALSE
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,Reactome,CD8,SF_vs_PB_CD8,-3.6625686,-0.828811296,1.4060648099999998e-46,3.71904141e-44,114,78,FAU/RPL17/RPS10/NCBP2/RPL28/RPLP1/RPL41/RPL22L1/RPL24/RPS4Y1/RPS19/RPL14/RPL10/RPL7A/RPS15A/RPS2/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/PABPC1/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A,down,FALSE
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,Reactome,CD8,SF_vs_PB_CD8,-3.61725996,-0.797074356,1.02455708e-45,2.32281727e-43,135,78,RPL17/RPS10/POLR2C/NUP88/RPL28/RPLP1/RPL41/RPL22L1/RPL24/RPS4Y1/RPS19/RPL14/POLR2H/RPL10/RPL7A/RPS15A/RPS2/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A,down,FALSE
REACTOME_RRNA_PROCESSING,REACTOME_RRNA_PROCESSING,Reactome,CD8,SF_vs_PB_CD8,-3.38005598,-0.701146823,6.02684966e-44,1.1955762999999998e-41,208,98,DDX21/NOL11/PWP2/TRMT10C/NOB1/EXOSC5/RPL36A/NOP56/PNO1/DKC1/CIRH1A/IMP3/TEX10/FAU/RCL1/RPL17/RPS10/RPUSD4/WDR12/RPL28/RPLP1/NCL/RPL41/RPL22L1/RPL24/NOL9/GNL3/RPS4Y1/RPS19/RPL14/THUMPD1/RPL10/RPL7A/RPS15A/RPS2/RPS27/RPL37A/RPL35A/WDR43/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/FBL/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A,down,FALSE
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,REACTOME_CELLULAR_RESPONSE_TO_STARVATION,Reactome,CD8,SF_vs_PB_CD8,-3.48940795,-0.757698164,1.54979192e-42,2.73279975e-40,150,83,RPTOR/ATP6V1E2/FAU/RPL17/RPS10/NPRL2/SESN2/RPL28/RPLP1/RPL41/RPL22L1/ITFG2/RPL24/RPS4Y1/RPS19/RPL14/RPL10/RPL7A/RPS15A/RPS2/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/SESN1/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/EIF2S3/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A,down,FALSE
REACTOME_INFLUENZA_INFECTION,REACTOME_INFLUENZA_INFECTION,Reactome,CD8,SF_vs_PB_CD8,-3.4452526,-0.743950365,7.15133391e-42,1.13491669e-39,156,81,RPL17/RPS10/POLR2C/NUP88/CANX/RPL28/RPLP1/RPL41/GBP1/RPL22L1/RPL24/RPS4Y1/RPS19/RPL14/POLR2H/RPL10/RPL7A/RPS15A/RPS2/SLC25A6/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A,down,FALSE
