pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,WikiPathways,CD8,SF_vs_PB_CD8,-3.75093781,-0.889536678,3.805868919999999e-49,3.15887121e-46,86,75,FAU/RPL17/RPS10/RPL28/RPLP1/RPL41/RPL24/RPS4Y1/RPS19/RPL14/RPL10/RPL7A/RPS15A/RPS2/RPS27/RPL37A/RPL35A/RPS24/RPS15/RPS25/RPS27A/RPL38/RPS21/RPL35/RPL23A/RPS7/RPL12/RPL30/RPL36/RPL8/UBA52/RPL23/RPS9/RPL18/RPS28/RPS14/RPS16/RPL15/RPLP0/RPL27A/RPL11/RPS20/RPS11/RPL27/RPL39/RPS3/RPS4X/RPL31/RPL34/RPS23/RPL6/RPL13/RPL9/RPL13A/RPL19/RPSA/RPL18A/RPL29/RPL21/RPS5/RPS12/RPL4/RPLP2/RPL37/RPL32/RPL10A/RPL5/RPS8/RPS18/RPS6/RPL7/RPL22/RPS13/RPL3/RPS3A,down,FALSE
WP_22Q112_DISTAL_CNV,WP_22Q112_DISTAL_CNV,WikiPathways,CD8,SF_vs_PB_CD8,-2.51518333,-0.568753347,4.37450037e-12,1.81541765e-9,114,35,FAU/CD79A/SNRPD2/RPS10/CANX/PDIA4/RPS19/TP53/XBP1/RPS15A/RPS2/HSP90B1/RPS24/RPS15/RPS27A/RPS21/RPS7/HSPA5/RPS9/RPS28/RPS14/RPS16/RPS20/RPS11/ROPN1L/RPS3/RPS23/ERP29/RPSA/RPS5/RPS12/RPS8/RPS18/RPS6/RPS13,down,FALSE
WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,WP_CALCIUM_REGULATION_IN_CARDIAC_CELLS,WikiPathways,CD8,SF_vs_PB_CD8,2.17615923,0.558690346,1.25178536e-7,2.87377137e-5,85,34,YWHAH/CAMK1/RGS16/GRK5/ATP1B1/ADCY3/GNB4/PRKCD/FKBP1A/RGS1/RGS9/ATP2B1/RYR1/GNG5/GNAZ/GNB1/ATP2A3/PRKAR1A/ATP2A2/GNAI2/ITPR3/CALM2/PRKAR1B/GNAS/PRKACA/YWHAB/FXYD2/ITPR1/GNB5/GNAI3/ADCY7/SLC8A1/PKIA/ATP1B3,up,FALSE
WP_ALLOGRAFT_REJECTION,WP_ALLOGRAFT_REJECTION,WikiPathways,CD8,SF_vs_PB_CD8,2.2635599,0.610745363,1.38495006e-7,2.87377137e-5,64,34,VIM/HLA-DQA2/HLA-DMA/CXCL13/HLA-DRA/HLA-DMB/FASLG/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DPA1/HLA-DQB1/CD86/FAS/HLA-DPB1/IL10/C1QA/CASP3/CTLA4/GZMB/C1QB/CASP7/HLA-DOA/HLA-G/TNF/IL21/CD80/C1QC/FOXP3/TUBA1B/CASP9/IFNG/HLA-A/IL2RA,up,FALSE
WP_ALZHEIMERS_DISEASE,WP_ALZHEIMERS_DISEASE,WikiPathways,CD8,SF_vs_PB_CD8,1.87347334,0.428323998,8.78909343e-7,1.45898951e-4,191,71,CSF1/TUBB6/PSEN1/EIF2AK2/WNT10A/HRAS/FAS/VDAC1/MAPK3/GAPDH/PSMD8/MAP2K2/PSMA7/PPP3CA/KRAS/ATP2A3/APAF1/AKT3/BAD/PSMC1/ATP2A2/CAPN1/CASP3/TUBA1A/PSMB6/AKT1/ITPR3/CALM2/PSENEN/PSMC3/NRAS/WIPI1/CSNK2B/MAPK1/ITPR1/CASP7/TUBA1C/PPP3CB/TUBB4B/BID/ADAM17/TUBA4A/ADRM1/PSMC2/PSMB3/PIK3CD/TUBB2A/PSMD14/PSMA6/PSMD9/TNF/PPP3R1/SNCA/EIF2S1/PSMD1/CSNK1E/KIF5A/TUBA1B/PSMD7/TRAF2/KIF5B/CASP9/KLC2/PSMB1/ULK1/PSMB7/PIK3CB/RB1CC1/DVL3/RTN3/HSD17B10,up,FALSE
WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS,WP_ALZHEIMERS_DISEASE_AND_MIRNA_EFFECTS,WikiPathways,CD8,SF_vs_PB_CD8,1.86847383,0.426892575,1.54499146e-6,2.13723818e-4,192,71,CSF1/TUBB6/PSEN1/EIF2AK2/WNT10A/HRAS/FAS/VDAC1/MAPK3/GAPDH/PSMD8/MAP2K2/PSMA7/PPP3CA/KRAS/ATP2A3/APAF1/AKT3/BAD/PSMC1/ATP2A2/CAPN1/CASP3/TUBA1A/PSMB6/AKT1/ITPR3/CALM2/PSENEN/PSMC3/NRAS/WIPI1/CSNK2B/MAPK1/ITPR1/CASP7/TUBA1C/PPP3CB/TUBB4B/BID/ADAM17/TUBA4A/ADRM1/PSMC2/PSMB3/PIK3CD/TUBB2A/PSMD14/PSMA6/PSMD9/TNF/PPP3R1/SNCA/EIF2S1/PSMD1/CSNK1E/KIF5A/TUBA1B/PSMD7/TRAF2/KIF5B/CASP9/KLC2/PSMB1/ULK1/PSMB7/PIK3CB/RB1CC1/DVL3/RTN3/HSD17B10,up,FALSE
WP_EBOLA_VIRUS_INFECTION_IN_HOST,WP_EBOLA_VIRUS_INFECTION_IN_HOST,WikiPathways,CD8,SF_vs_PB_CD8,1.97828605,0.488369998,3.90503769e-6,4.63025898e-4,109,41,ITGA2/HLA-DQA2/ACTN4/CTSB/HLA-DQB2/HLA-DMA/IQGAP1/IRF7/HLA-DRA/HLA-DMB/ITGA3/HLA-DRB5/HLA-DRB1/HLA-DQA1/HLA-DPA1/EIF2AK2/RAC1/RHOA/HLA-DQB1/EPS15/HLA-DPB1/ITGA1/MAPK3/RHOB/CTSL/GSN/ITGB1/TSG101/AKT1/TPCN2/MAPK1/ADAM17/HAVCR2/CLTC/HLA-DOA/PAK1/VAV2/EP300/HLA-G/PIK3CD/CLEC10A,up,FALSE
WP_EGFEGFR_SIGNALING,WP_EGFEGFR_SIGNALING,WikiPathways,CD8,SF_vs_PB_CD8,1.87152739,0.444618968,6.48780536e-6,6.73109806e-4,143,64,EIF4EBP1/RALGDS/AP2B1/IQGAP1/PRKCD/RAC1/JUN/HRAS/RALB/EPS15/MAP2K2/MAP4K1/NDUFA13/PLSCR1/MAP3K2/KRAS/TNK2/MEF2D/ROCK1/PIAS3/PLD2/RALA/AKT1/FOXO1/MAP3K3/JUND/ELK4/MAPK1/AURKA/CFL1/SP1/ASAP1/NEDD8/GRB10/ARF6/PAK1/VAV2/SH2D2A/PCNA/INPPL1/HGS/GAB2/CRK/ABL1/NCOA3/AP2A1/SOS2/PTK2B/ELK1/MYBL2/CAV1/E2F1/SRC/LIMK2/SOS1/RALBP1/RASA1/CRKL/MAPK7/RAB5A/STAMBP/AP2M1/STAM/NCK2,up,FALSE
WP_G_PROTEIN_SIGNALING,WP_G_PROTEIN_SIGNALING,WikiPathways,CD8,SF_vs_PB_CD8,2.03186869,0.545013564,9.30856557e-6,8.58456602e-4,66,30,PDE4A/ADCY3/GNA15/PRKCD/AKAP5/RHOA/HRAS/GNA13/GNG5/AKAP13/GNAZ/GNB1/PPP3CA/KRAS/PRKAR1A/GNAI2/RRAS/PRKAR1B/GNAS/PRKACA/NRAS/ITPR1/GNB5/GNAI3/PDE4B/AKAP9/ADCY7/AKAP11/PDE7B/PDE1B,up,FALSE
WP_CELL_INTERACTIONS_IN_PANCREATIC_CANCER_MICROENVIRONMENT,WP_CELL_INTERACTIONS_IN_PANCREATIC_CANCER_MICROENVIRONMENT,WikiPathways,CD8,SF_vs_PB_CD8,2.17546071,0.730316692,1.64196319e-5,0.00136282945,23,13,CXCR3/LAG3/CSF1/CCR5/CCL5/HLA-DRA/FASLG/HLA-DRB1/CD86/FAS/CCL2/CTLA4/CSF2,up,FALSE
