pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
GOCC_CYTOSOLIC_RIBOSOME,GOCC_CYTOSOLIC_RIBOSOME,GO_CC,Tcon,SF_vs_PB_Tcon,-3.48784203,-0.776427805,3.5862831899999996e-37,3.19179204e-34,113,77,RPL26/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/RPS11/RPL23A/RPL37A/UBA52/ABCE1/RPS3/RPL8/RPS4X/RPL23/RPS14/RPL15/GNB2L1/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/EEF1A1/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPSAP58/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22/USP10,down,FALSE
GOCC_RIBOSOMAL_SUBUNIT,GOCC_RIBOSOMAL_SUBUNIT,GO_CC,Tcon,SF_vs_PB_Tcon,-3.19931358,-0.667604589,2.04433616e-32,9.09729593e-30,174,96,MRPS24/MRPS9/MRPL55/RPL28/MRPS2/RPL41/PTCD3/MRPS35/RPS19/FAU/MRPS25/RPS10/MRPL1/RPL26/MRPL46/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/MRPS18B/MRPS33/RPS11/RPL23A/RPL37A/UBA52/RPS3/RPL8/RPS4X/RPL23/RPS14/DAP3/RPL15/GNB2L1/RPL13/MRPS31/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/MRPS30/RPS18/RPS7/RPS29/NPM1/MRPS27/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/MRPL45/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPSAP58/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22,down,FALSE
GOCC_RIBOSOME,GOCC_RIBOSOME,GO_CC,Tcon,SF_vs_PB_Tcon,-2.94197198,-0.596281823,7.34980178e-29,2.1804412e-26,219,105,MRPS24/MRPS9/FXR1/MRPL55/RPL28/MRPS2/RPL41/SRP68/PTCD3/MRPS35/RPS19/FAU/MRPS25/RPS10/MRPL1/RPL26/MRPL46/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/MRPS18B/MRPS33/RPS11/RPL23A/RPL37A/UBA52/ABCE1/RPS3/RPL8/RPS4X/RPL23/RPS14/DAP3/RPL15/GNB2L1/RPL13/MRPS31/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/EEF1A1/RPL36/SERP1/RPL18/APEX1/MRPS30/RPS18/RPS7/RPS29/NPM1/MRPS27/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/SF1/MRPL45/RPL38/EEF2/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPSAP58/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22/USP10,down,FALSE
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GO_CC,Tcon,SF_vs_PB_Tcon,-3.356315,-0.864611768,8.8808583e-27,1.97599097e-24,52,44,RPL26/RPL17/RPLP0/RPL14/RPL24/RPL7A/RPL36A/RPL35/RPL27A/RPL10/RPL23A/RPL37A/UBA52/RPL8/RPL23/RPL15/RPL13/RPL13A/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPL34/RPL3/RPL19/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPL39/RPL32/RPL6/RPL27/RPL9/RPL37/RPL10A/RPL4/RPL5/RPL7/RPL22,down,FALSE
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,GO_CC,Tcon,SF_vs_PB_Tcon,-3.11802205,-0.85038362,8.23826442e-20,1.4664110699999998e-17,40,33,RPS19/FAU/RPS10/RPS16/RPS27A/RPS24/RPS9/RPS27/RPS15/RPS11/RPS3/RPS4X/RPS14/GNB2L1/RPS25/RPS21/RPS15A/RPS4Y1/RPS18/RPS7/RPS29/RPS23/RPS28/RPS12/RPSA/RPSAP58/RPS5/RPS20/RPS6/RPS3A/RPS13/RPS8/RPS2,down,FALSE
GOCC_SMALL_RIBOSOMAL_SUBUNIT,GOCC_SMALL_RIBOSOMAL_SUBUNIT,GO_CC,Tcon,SF_vs_PB_Tcon,-2.95967997,-0.714563269,5.1915493e-18,7.70079813e-16,72,45,MRPS24/MRPS9/MRPS2/PTCD3/MRPS35/RPS19/FAU/MRPS25/RPS10/RPS16/RPS27A/RPS24/RPS9/RPS27/RPS15/MRPS18B/MRPS33/RPS11/RPS3/RPS4X/RPS14/DAP3/GNB2L1/MRPS31/RPS25/RPS21/RPS15A/RPS4Y1/RPS18/RPS7/RPS29/NPM1/MRPS27/RPS23/RPS28/RPS12/RPSA/RPSAP58/RPS5/RPS20/RPS6/RPS3A/RPS13/RPS8/RPS2,down,FALSE
GOCC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_LARGE_RIBOSOMAL_SUBUNIT,GO_CC,Tcon,SF_vs_PB_Tcon,-2.85596883,-0.643320113,3.62604237e-17,4.6102538600000004e-15,105,49,MRPL1/RPL26/MRPL46/RPL17/RPLP0/RPL14/RPL24/RPL7A/RPL36A/RPL35/RPL27A/RPL10/RPL23A/RPL37A/UBA52/RPL8/RPL23/RPL15/RPL13/RPL13A/RPL12/RPL18A/RPL35A/RPL36/RPL18/MRPS30/NPM1/RPL34/RPL3/RPL19/RPL30/MRPL45/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPL39/RPL32/RPL6/RPL27/RPL9/RPL37/RPL10A/RPL4/RPL5/RPL7/RPL22,down,FALSE
GOCC_SECRETORY_GRANULE_MEMBRANE,GOCC_SECRETORY_GRANULE_MEMBRANE,GO_CC,Tcon,SF_vs_PB_Tcon,2.4006076,0.512356794,6.28093452e-16,6.98753965e-14,237,139,CD58/STOM/CYSTM1/SLC27A2/IQGAP1/LGALS3/CD93/PAM/CD44/HGSNAT/PLAUR/CD63/CD109/ANXA4/SURF4/ATP8B4/PTPRJ/BSG/PSEN1/CEACAM1/AGPAT2/DIAPH1/CD97/ITGAX/DYNLL1/CD9/TMEM173/C3AR1/RHOF/HYAL3/CD59/FABP5/IQGAP2/RHOA/LAMP2/SLC2A3/NBEAL2/CD53/NRAS/ITPR2/PLAU/SNCA/ADAM8/ANPEP/RAC1/FPR1/SRI/ITPR3/APLP2/FCGR2A/OLR1/PSAP/FCER1G/ANXA7/CYBB/CD68/RAB31/PTPRN2/CYBA/TCIRG1/CLEC5A/RAP2C/PGRMC1/ITPR1/TMBIM1/ITGAV/RAB27B/C5AR1/CD33/SLC15A4/TRPM2/TMEM179B/LHFPL2/RAB5C/LAMTOR2/NCKAP1L/LPCAT1/CMTM6/MOXD1/CAV1/SNAP29/KCNAB2/STXBP2/RHOG/TNFRSF1B/CYB561/TMED10/TYROBP/LILRA3/BST2/LILRB2/RAB18/ATP6V1D/ATP11B/C19orf59/ATP8B3/ACPP/PTPRC/DNAJC5/CD14/HLA-C/DYNC1LI1/ARL8A/STX3/STK10/SPARC/TICAM2/PLD1/PTAFR/GPR84/SLC17A9/RAB10/MAGT1/SLC11A1/RAB7A/MMP25/PRCP/NFAM1/ABCA3/DEGS1/RAP1B/ATP6V0A1/IGF2R/ITGB2/TLR2/CD36/HLA-B/TMEM30A/LILRB3/SIRPA/ATP11A/COPB1/BST1/UBR4/CLEC12A/HMOX2/DNAJC13/LAMTOR3/VAMP8,up,FALSE
GOCC_TRANSPORT_VESICLE,GOCC_TRANSPORT_VESICLE,GO_CC,Tcon,SF_vs_PB_Tcon,2.21171106,0.456022688,6.6236196e-15,6.55002383e-13,328,143,STX1A/ZNRF1/FURIN/RAB27A/CD74/HLA-DQA1/HLA-DRB1/HLA-DRB5/RABAC1/SYT11/SLC2A8/SREBF2/RAB1B/PAM/HLA-DQA2/AP4M1/SURF4/HLA-DPA1/HLA-DRA/VAMP4/HLA-DPB1/PLIN3/AP2B1/MYOF/HLA-DQB2/PSEN1/PDE4B/SYNGR3/SEPT8/OTOF/CEACAM1/HLA-DQB1/GOLIM4/SNAPIN/SYTL2/AP1S1/YIPF3/PICALM/KIF1B/ATP6V1A/CLTC/CD59/KDELR3/PSMC3/RAB11A/PSMB3/VAMP3/PSMB6/PSMD1/MAP6/SNTB2/ITPR2/SNCA/SYTL3/RAC1/BCL2L1/ITPR3/ATP2B1/ATP6V0D1/ADRM1/PTPRN2/SLC4A8/ANP32E/HCK/C14orf79/ITPR1/ROGDI/SPRED2/YIPF1/CNIH2/ATP6V1B2/RAB27B/PSMA7/TRAPPC4/PSMB1/AP1S3/NAPA/PSMD8/COPE/PSMB2/TMED9/HLA-A/PSMA6/PSMC1/SORT1/CHP1/RAB13/STX5/PSMD7/SAR1B/SEC16A/SLC35G2/TMED10/PSMD14/CACFD1/COPB2/DPYSL3/ATP6V1E1/HLA-F/SLC17A5/PSEN2/COPA/DNAJC5/MTMR2/AP1B1/APBA1/PSMD11/PSMC2/ATP6V1F/HLA-C/TOR1A/TMED7/ATP13A2/ARPC2/AP2A1/AP3S1/SAR1A/RAB11FIP5/PSMA5/DLG4/VTI1B/SLC17A9/RAB10/PSMB7/CIDEB/NRSN2/RPH3AL/PSMC4/STX7/RAB7A/RAB1A/RAB5A/GNAS/AP1G1/ATP6V0A1/IGF2R/LAPTM5/PSMA3/KLHL12/HLA-G/HLA-B/PEF1/TMEM30A,up,FALSE
GOCC_PRERIBOSOME,GOCC_PRERIBOSOME,GO_CC,Tcon,SF_vs_PB_Tcon,-2.54032753,-0.573300212,6.36992976e-12,5.66923749e-10,104,58,PDCD11/UTP3/UTP18/BOP1/KRR1/FCF1/FAM207A/NOC2L/XRCC5/C1orf131/IMP3/RPS17/LTV1/RPF1/NOL7/ZNF622/SRFBP1/NOP14/PPAN/WDR36/RIOK2/CIRH1A/MPHOSPH10/WDR12/UTP14A/NOB1/RPS19/WDR3/WDR75/NGDN/NOP56/EMG1/RPS16/RRS1/RPS27A/RPS24/UTP23/RPS9/RPS27/RPS11/NOL11/RPS4X/WDR74/RPS14/RRP1B/RPS15A/NSA2/RPS7/RPS23/RPS28/RPS12/WDR43/RPS5/RPS6/RPS3A/RPS13/RPS8/FBL,down,FALSE
