pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME,GO_MF,Tcon,SF_vs_PB_Tcon,-3.1730959,-0.672298964,2.11598171e-30,2.9771862700000002e-27,156,92,MRPS24/MRPS9/MRPL55/RPL28/MRPS2/RPL41/MRPS35/RPS19/FAU/RSL24D1/MRPS25/RPS10/MRPL1/RPL26/MRPL46/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/MRPS18B/MRPS33/RPS11/RPL23A/RPL37A/UBA52/RPS3/RPL8/RPS4X/RPL23/RPS14/DAP3/RPL15/RPL13/MRPS31/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/MRPS30/RPS18/RPS7/RPS29/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/MRPL45/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22,down,FALSE
GOMF_CYTOKINE_RECEPTOR_BINDING,GOMF_CYTOKINE_RECEPTOR_BINDING,GO_MF,Tcon,SF_vs_PB_Tcon,2.40894583,0.543660019,4.30070405e-13,3.0255453e-10,153,73,CCL5/IFNG/CXCL13/CKLF/SMAD7/CD70/CCL3/XCL2/CCL4/FASLG/LIF/TNF/CCL23/XCL1/CSF1/IL10/EFNA5/MYD88/IL7/CCR2/IL15/CCL20/CCL4L2/CASP3/CCRL2/TNFSF14/EBI3/SOCS1/TNFSF4/SYK/MIF/VEGFA/CSF2/CXCL16/ADAM8/CCDC88A/TNFSF9/TNFSF8/IL1RN/TOLLIP/IL18/ADAM17/CCL2/JAK3/RNF41/SH2B3/SMURF1/PDCL3/CREB3/SPRED1/BID/NOL3/SPRED2/ITGA5/TMBIM1/STAT3/NTRK1/TGFBR3/DEFB1/CXCL10/CCL17/IL21/C3/ENG/TNFSF13/TNFSF12/IL23R/CFLAR/TRIM37/OSM/ECM1/FKBP1A/TRAF2,up,FALSE
GOMF_CYTOKINE_ACTIVITY,GOMF_CYTOKINE_ACTIVITY,GO_MF,Tcon,SF_vs_PB_Tcon,2.38472949,0.58161664,4.71226878e-10,2.21005406e-7,92,51,CCL5/IFNG/CXCL13/CKLF/CCL3/XCL2/CCL4/FASLG/LIF/TNF/CCL23/XCL1/CSF1/NAMPT/IL10/IL7/IL26/IL15/CCL20/CCL4L2/TNFSF14/TIMP1/EBI3/TNFSF4/MIF/VEGFA/CSF2/CXCL16/SPP1/TNFSF9/TNFSF8/IL1RN/CMTM1/IL18/GPI/CCL2/CXCL10/GRN/IL32/CCL17/IL21/C3/TNFSF13/TNFSF12/IL17C/OSM/CMTM2/HMGB1/CCL18/CMTM3/CLCF1,up,FALSE
GOMF_CHEMOKINE_RECEPTOR_BINDING,GOMF_CHEMOKINE_RECEPTOR_BINDING,GO_MF,Tcon,SF_vs_PB_Tcon,2.4495746,0.756448884,1.44069102e-8,5.06763068e-6,29,20,CCL5/CXCL13/CKLF/CCL3/XCL2/CCL4/CCL23/XCL1/CCR2/CCL20/CCL4L2/CCRL2/CXCL16/CCL2/CREB3/STAT3/DEFB1/CXCL10/CCL17/C3,up,FALSE
GOMF_ENZYME_INHIBITOR_ACTIVITY,GOMF_ENZYME_INHIBITOR_ACTIVITY,GO_MF,Tcon,SF_vs_PB_Tcon,1.89983661,0.397850309,6.48286057e-8,1.81315681e-5,280,99,CDKN1A/ATP2B4/CST7/NOTCH1/FURIN/IQGAP1/LGALS3/SKI/PTTG1/CIB1/HMSD/LIMK1/PRNP/SERPINB8/PRKAR1A/PREX1/CRIM1/CDKN2A/CD109/ANXA4/ANXA2/ARPP19/PHPT1/CLSTN3/GAPDH/PARP9/PPP1R16B/ANXA1/TRIB1/TIMP2/SPOCK2/CASP3/RGS2/LILRB4/DYNLL1/YWHAB/SERPINH1/TIMP1/PPP1R14B/CPEB2/MAPK7/SOCS1/KAT2B/IQGAP2/CAMK2N1/CST3/ENSA/ANXA5/GSKIP/GNAZ/TESK1/RTKN/RNH1/SNCA/PPP1R16A/THBS1/PPP5C/SPINT1/APLP2/YWHAE/CSTB/ANP32E/SERPINA1/APOC1/DTX3L/SPRED1/DUSP22/SPRED2/CAST/AKT1/YWHAG/SERPING1/DUSP3/SERPINE1/C3/PHACTR1/CST6/CAV1/A2M/CDKN2C/CHP1/ACD/SERPINF1/RAB13/GSTP1/PPP1R14A/GMFB/HYAL2/BST2/HTRA2/FBXO5/NELFE/PIF1/SERPINB1/SUPT4H1/GCHFR/PTPRC/NELFB/OAZ3,up,FALSE
GOMF_MHC_PROTEIN_COMPLEX_BINDING,GOMF_MHC_PROTEIN_COMPLEX_BINDING,GO_MF,Tcon,SF_vs_PB_Tcon,2.40196675,0.723568809,7.73201196e-8,1.81315681e-5,32,22,CD74/HLA-DQA1/HLA-DRB1/HLA-DRB5/CD81/HLA-DQA2/ATP1B1/HLA-DMA/HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DQB2/HLA-DQB1/HLA-DMB/TAPBP/PKM/CD8A/YWHAE/LILRB1/HLA-DOA/CD4/LILRB2,up,FALSE
GOMF_RRNA_BINDING,GOMF_RRNA_BINDING,GO_MF,Tcon,SF_vs_PB_Tcon,-2.30711812,-0.573930832,1.08789148e-7,2.00832369e-5,62,32,TACO1/MRPL11/PPAN/PTCD3/RPUSD4/DDX28/BRIX1/EMG1/RRS1/RPLP0/UTP23/RPS9/RPS11/RPL23A/DDX55/GTPBP10/RPS3/RPL8/RPS4X/RPL23/RPS4Y1/RPL12/RPS18/NPM1/MRPS27/EEF2/RPL11/RPL9/RPS5/RPL37/RPL5/RPS13,down,FALSE
GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,GOMF_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING,GO_MF,Tcon,SF_vs_PB_Tcon,2.39715815,0.766925569,1.14190402e-7,2.00832369e-5,25,15,CD74/HLA-DQA1/HLA-DRB1/HLA-DRB5/CD81/HLA-DQA2/ATP1B1/HLA-DMA/HLA-DPA1/HLA-DRA/HLA-DPB1/HLA-DQB2/HLA-DQB1/HLA-DMB/PKM,up,FALSE
GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING,GO_MF,Tcon,SF_vs_PB_Tcon,2.37410453,0.812772215,1.36694158e-7,2.13698533e-5,19,15,CCL5/CXCL13/CCL3/XCL2/CCL4/CCL23/XCL1/CCR2/CCL20/CCL4L2/CCRL2/CCL2/CREB3/STAT3/DEFB1,up,FALSE
GOMF_TUBULIN_BINDING,GOMF_TUBULIN_BINDING,GO_MF,Tcon,SF_vs_PB_Tcon,1.81918761,0.378649234,1.88432701e-7,2.6512481e-5,297,128,LUZP1/SYT11/TPPP/EZR/REEP4/PRNP/EML2/KIF20B/MX1/CCDC88B/MAP7D3/STARD9/KIF21A/MAP4/BCL2L11/KIF13B/GAPDH/KIF1C/PDE4B/B9D2/JAKMIP2/KATNAL1/TBCD/GOLGA2/NDRG1/KIF3C/RGS2/KIF1B/TBCB/ARL3/RAB11A/KIF5C/EML4/DAG1/MARK4/MAP1LC3A/RACGAP1/MAP6/CAMSAP1/KIF11/NUSAP1/SNCA/KIF3A/FES/CCDC88A/PPP5C/GAS2L1/KIF23/FHDC1/DIXDC1/LYN/MAST2/DNM2/IFT81/CLIP2/FAM110C/TRIM36/MAP1A/NDC80/SSNA1/SPIRE1/BBS4/BRCA2/DIAPH3/TPPP3/KATNB1/KATNA1/CENPE/GTSE1/CENPF/GABARAPL1/SKA2/PRC1/CHP1/WDR90/CLIP1/RCC2/KIF24/PAK1/MAP1S/KIF18A/KIF15/MAP1LC3B/BLOC1S2/TUBA1A/REEP3/DNAL1/KIFC1/KIF4A/EML3/ARL8A/SMC3/MAPRE1/CCDC170/GABARAP/CLASP1/RAB11FIP5/PAFAH1B1/AGBL5/CCP110/KIF14/SPAG5/STIM1/KNSTRN/MACF1/KIFC3/GAS2L3/CDK5RAP2/CRIPT/KIF18B/DDX3X/KIF5B/KIF22/HAUS7/NUMA1/JAKMIP1/TTLL5/TTLL4/ALDOA/CCSER2/HTT/TAOK1/KIF20A/BRCA1/ENKD1/TRAF3IP1/APC/ATF5,up,FALSE
