pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,Hallmark,Tcon,SF_vs_PB_Tcon,2.75117581,0.605976294,2.1047386500000004e-21,1.05236932e-19,183,85,IL2RB/OASL/CCL5/CDKN1A/GZMA/CD74/HLA-DQA1/HLA-DRB1/UPP1/OAS3/ISG15/SAMD9L/IFI35/ICAM1/HELZ2/PLSCR1/MX1/STAT4/XCL1/HLA-DMA/NAMPT/BPGM/LAP3/ZBP1/IFI44/CD86/MYD88/IL7/FGL2/PDE4B/CIITA/LY6E/RSAD2/PFKP/MTHFD2/IL15/TAP1/IRF7/USP18/TDRD7/EPSTI1/EIF2AK2/ST8SIA4/CASP3/FAS/MVP/CASP7/TAPBP/SOCS1/IFITM3/TRIM25/PARP12/NCOA3/IFI30/IRF5/IFITM2/TRIM21/CMPK2/FPR1/LATS2/SRI/IFI27/RNF213/CCL2/HIF1A/DHX58/P2RY14/PARP14/DDX60/STAT3/IFI44L/SPPL2A/TNFAIP2/SERPING1/CXCL10/PSMB2/HLA-A/IL4R/IL15RA/AUTS2/IRF4/FCGR1A/BST2/PML/CSF2RB,up,FALSE
HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL2_STAT5_SIGNALING,Hallmark,Tcon,SF_vs_PB_Tcon,2.54183941,0.56271082,6.810125399999999e-17,1.7025313500000002e-15,176,96,RGS16/IL2RB/CST7/EMP1/PHLDA1/FURIN/EOMES/SYT11/CD81/MAPKAPK2/KLF6/DHRS3/TNFRSF18/PLEC/IFNGR1/GLIPR2/PRNP/CD44/BATF/ADAM19/AHNAK/MYO1C/BHLHE40/LIF/PLSCR1/CTLA4/ANXA4/ITGAE/CSF1/IKZF4/RHOB/BMPR2/IL10/CD86/CA2/CYFIP1/GALM/FGL2/NDRG1/CASP3/SLC1A5/SOCS1/ALCAM/IL18R1/IFITM3/CAPG/CDCP1/SLC2A3/NCOA3/TNFRSF9/MAP6/CSF2/FAH/RNH1/BATF3/SPP1/BCL2L1/UCK2/NFIL3/NCS1/GSTO1/SPRED2/ITGAV/HOPX/CD83/RABGAP1L/GADD45B/TWSG1/CXCL10/PHTF2/GABARAPL1/ABCB1/SNX9/IL4R/TNFRSF1B/IRF4/PLIN2/ECM1/CTSZ/P4HA1/CDC6/TNFRSF21/SLC39A8/SCN9A/MAP3K8/AHR/ODC1/IL10RA/TNFRSF4/MUC1/HK2/PNP/TLR7/NRP1/SMPDL3A/MYO1E,up,FALSE
HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_TNFA_SIGNALING_VIA_NFKB,Hallmark,Tcon,SF_vs_PB_Tcon,2.49960205,0.552217099,5.14225592e-16,6.483020740000001e-15,179,80,CCL5/CDKN1A/DUSP4/SDC4/BCL3/PHLDA1/BTG3/KLF6/FOSL2/B4GALT5/CEBPD/CCL4/LDLR/KLF10/CD44/SERPINB8/PLAUR/PHLDA2/ICAM1/BHLHE40/LIF/MSC/TNF/IER5/CSF1/TUBB2A/NAMPT/RHOB/TRIP10/EGR2/PDE4B/TRIB1/GEM/TANK/TAP1/CCL20/BCL6/ZC3H12A/CCRL2/PTPRE/SGK1/ATF3/SLC2A3/PER1/NR4A1/VEGFA/TNFRSF9/CSF2/RNF19B/PLAU/EGR3/TNFSF9/SQSTM1/OLR1/EGR1/ATP2B1/KYNU/IL18/CCL2/NFIL3/DUSP2/PPP1R15A/CD83/ID2/GADD45B/TNFAIP2/GADD45A/CXCL10/PMEPA1/JUN/SERPINE1/KLF4/IL15RA/SPHK1/CFLAR/MARCKS/FOS/FOSL1/RELA/NFKB2,up,FALSE
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,Hallmark,Tcon,SF_vs_PB_Tcon,2.57596727,0.582874893,5.18641659e-16,6.483020740000001e-15,150,75,RGS16/IL2RB/GNA15/CCL5/CDKN1A/CXCR6/RGS1/CD70/KLF6/IL18RAP/LDLR/PLAUR/ICAM1/LIF/SLAMF1/GPR132/CSF1/NAMPT/IL10/PSEN1/PDE4B/LY6E/NLRP3/IL15/IRF7/CCL20/EIF2AK2/KIF1B/CCRL2/TIMP1/PTPRE/C3AR1/EBI3/IRAK2/CD82/TAPBP/IL18R1/SLC31A2/EMP3/TNFRSF9/MSR1/FPR1/TNFSF9/NOD2/SLC31A1/SRI/OLR1/ATP2B1/LYN/IL18/CYBB/CCL2/SGMS2/ADRM1/HIF1A/CLEC5A/ATP2A2/GNAI3/ITGA5/SCN1B/C5AR1/MARCO/CXCL10/PIK3R5/SERPINE1/SCARF1/CCL17/IL4R/IL15RA/SPHK1/RHOG/TNFRSF1B/RELA/BST2/OSM,up,FALSE
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,Hallmark,Tcon,SF_vs_PB_Tcon,2.35791883,0.524510913,6.31418308e-13,6.31418308e-12,170,57,CXCR3/IL2RB/CCL5/F2R/CCR5/IFNG/CXCL13/GZMA/BCL3/SRGN/NCF4/CD74/CD2/HLA-DQA1/IFNGR1/CCL4/IL18RAP/FASLG/PRF1/ICAM1/CDKN2A/LIF/TNF/STAT4/CSF1/HLA-DMA/HLA-DRA/IL10/CD86/IL7/EIF4G3/HDAC9/NLRP3/DYRK3/FCGR2B/CCR2/IL15/TAP1/IRF7/CCR1/HLA-DMB/ST8SIA4/SPI1/GALNT1/GZMB/TIMP1/FAS/TAPBP/SOCS1/CAPG/CD8B/CD8A/CD96/LYN/IL18/CCL2/HIF1A,up,FALSE
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Hallmark,Tcon,SF_vs_PB_Tcon,2.48476006,0.592833335,5.67538949e-12,4.72949124e-11,106,65,SDC4/IGFBP4/TNFRSF12A/TPM4/CD44/PLAUR/ITGA2/TGFBI/RHOB/VIM/PLOD3/GEM/IL15/GPC1/SGCB/SERPINH1/TIMP1/FAS/CD59/HTRA1/PDLIM4/FN1/CAPG/COL5A1/EMP3/PTHLH/VEGFA/WIPF1/LGALS1/SPP1/THBS1/ANPEP/DAB2/BASP1/NOTCH2/ADAM12/QSOX1/ITGA5/ITGAV/MCM7/ID2/SLC6A8/GADD45B/TGFBR3/GADD45A/PMEPA1/JUN/PMP22/SERPINE1/IL32/ENO2/ECM1/FUCA1/LOXL1/DPYSL3/TAGLN/ACTA2/COPA/THY1/MMP14/COLGALT1/FERMT2/SPARC/BMP1/COL8A2,up,FALSE
HALLMARK_COMPLEMENT,HALLMARK_COMPLEMENT,Hallmark,Tcon,SF_vs_PB_Tcon,2.29386059,0.514195385,5.02969466e-11,3.59263904e-10,160,60,CCL5/GZMA/APOBEC3G/CTSB/LGALS3/GZMK/CTSL/PLAUR/PLSCR1/ANG/LAP3/GNG2/GNB4/CA2/CTSD/CLU/PRKCD/APOBEC3F/PSEN1/DUSP6/IRF7/TIMP2/RABIF/SPOCK2/CASP3/GZMB/TIMP1/CD59/C1QA/CSRP1/CASP7/FN1/DGKG/LAMP2/C1QC/ANXA5/PIK3CG/CASP9/MSRB1/HSPA1A/OLR1/STX4/FCER1G/CBLB/LYN/KYNU/SERPINA1/PPP2CB/SH2B3/APOC1/GNAI3/DPP4/SERPING1/PIK3R5/SERPINE1/SRC/PRDM4/C3/GMFB/RHOG,up,FALSE
HALLMARK_APOPTOSIS,HALLMARK_APOPTOSIS,Hallmark,Tcon,SF_vs_PB_Tcon,2.28611774,0.521814671,2.31193992e-10,1.44496245e-9,141,60,GNA15/F2R/CDKN1A/EMP1/SMAD7/CD2/BTG3/LGALS3/SLC20A1/IFNGR1/TNFRSF12A/LMNA/CD44/FASLG/PRF1/TNF/PEA15/RHOB/BCL2L11/CLU/ANXA1/PSEN1/BMF/TAP1/TIMP2/CASP3/TIMP1/FAS/ATF3/CASP7/IGFBP6/CDK2/IFITM3/CASP9/EGR3/BCL2L1/TSPO/SQSTM1/DDIT3/EBP/GSN/IL18/ERBB3/TOP2A/BID/NEDD9/GADD45B/TGFBR3/GADD45A/JUN/WEE1/ENO2/FDXR/BNIP3L/ETF1/CAV1/CFLAR/ROCK1/PAK1/RELA,up,FALSE
HALLMARK_HYPOXIA,HALLMARK_HYPOXIA,Hallmark,Tcon,SF_vs_PB_Tcon,2.21171713,0.499007926,9.12538434e-10,5.06965797e-9,153,61,CDKN1A/RBPJ/SDC4/DDIT4/CXCR4/SLC6A6/IDS/KLF6/FOSL2/LDHA/PAM/PLAUR/BHLHE40/ANXA2/PGK1/TGFBI/ENO1/VLDLR/P4HA2/GAPDH/GALK1/TPI1/PFKP/JMJD6/NDRG1/GPC1/ATF3/KDELR3/COL5A1/SLC2A3/MIF/VEGFA/S100A4/NAGK/NR3C1/DDIT3/AK4/GPI/SLC2A1/NFIL3/TPST2/PPP1R15A/SAP30/PGM1/JUN/SERPINE1/ENO2/BNIP3L/B3GALT6/CAV1/PRDX5/FOS/PLIN2/EFNA3/PFKFB3/MT1E/NDST1/P4HA1/HMOX1/ALDOC/ZFP36,up,FALSE
HALLMARK_MTORC1_SIGNALING,HALLMARK_MTORC1_SIGNALING,Hallmark,Tcon,SF_vs_PB_Tcon,2.09988915,0.460303856,4.64746165e-9,2.32373083e-8,190,90,CDKN1A/DDIT4/CXCR4/SLC6A6/LDHA/LDLR/BHLHE40/PGK1/SLC1A4/NAMPT/ENO1/VLDLR/GAPDH/ELOVL6/FGL2/SQLE/TPI1/NFKBIB/MTHFD2/SYTL2/SCD/HMGCR/SLC1A5/PRDX1/HPRT1/SERPINH1/CD9/EDEM1/DHCR7/TBK1/SLC2A3/DHCR24/IFI30/HMGCS1/IDH1/IDI1/SQSTM1/DDIT3/STARD4/EBP/AK4/RIT1/TUBG1/GLA/GPI/SLC2A1/FADS1/NFIL3/ATP2A2/SEC11A/SLA/PPP1R15A/STIP1/TFRC/PIK3R3/ACLY/PGM1/FDXR/ETF1/TXNRD1/IMMT/ADIPOR2/SRD5A1/MCM2/AURKA/CTSC/PSMD14/ATP6V1D/P4HA1/ARPC5L/SKAP2/PSMC2/FADS2/INSIG1/SC5D/PSMG1/MCM4/HK2/PNP/NUPR1/RPN1/PSMC4/RAB1A/CCNF/CDC25A/CYP51A1/SLC7A5/ITGB2/GGA2/PSMA3,up,FALSE
