pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
KEGG_RIBOSOME,KEGG_RIBOSOME,KEGG,Tcon,SF_vs_PB_Tcon,-3.64572091,-0.851906397,8.51841773e-41,1.57590728e-38,85,75,RPS19/FAU/RSL24D1/RPS10/RPL26/RPS16/RPL17/RPS27A/RPLP0/RPL14/RPL24/RPS24/RPL7A/RPL36A/RPL35/RPL27A/RPS9/RPS27/RPS15/RPL10/RPS11/RPL23A/RPL37A/UBA52/RPS3/RPL8/RPS4X/RPL23/RPL15/RPL13/RPS25/RPS21/RPL13A/RPS15A/RPS4Y1/RPL12/RPL18A/RPL35A/RPL36/RPL18/RPS18/RPS7/RPS29/RPL34/RPS23/RPL3/RPL19/RPS28/RPS12/RPL30/RPL38/RPL29/RPL11/RPL31/RPL21/RPLP2/RPSA/RPL39/RPL32/RPL6/RPL27/RPL9/RPS5/RPS20/RPL37/RPL10A/RPS6/RPL4/RPL5/RPS3A/RPS13/RPS8/RPS2/RPL7/RPL22,down,FALSE
KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG_CHEMOKINE_SIGNALING_PATHWAY,KEGG,Tcon,SF_vs_PB_Tcon,2.3029782,0.528725552,1.10691152e-10,8.95818429e-9,135,61,CXCR3/CCL5/CCR5/CXCR6/CXCL13/CXCR4/CCL3/XCL2/CCL4/PREX1/CCL23/XCL1/GNG2/GNB4/PRKCD/KRAS/CCR2/NFKBIB/CCR1/CCL20/CCL4L2/GNG4/DOCK2/NCF1/TIAM2/PRKX/IKBKG/RHOA/GNB1/PIK3CG/NRAS/CXCL16/RAC1/GNG5/LYN/CCL2/JAK3/HCK/ADCY7/GRK5/GNAI3/VAV2/SOS2/AKT1/MAPK1/STAT3/PIK3R3/CXCL10/PIK3R5/CCL17/VAV3/AKT3/ROCK1/PAK1/RELA/PTK2B/HRAS/ADCY9/XCR1/ARRB2/CCL18,up,FALSE
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,Tcon,SF_vs_PB_Tcon,2.27780419,0.515173464,1.45267853e-10,8.95818429e-9,150,59,CXCR3/IL2RB/CCL5/CCR5/IFNG/CXCR6/CXCL13/CXCR4/CD70/CCL3/TNFRSF18/IFNGR1/TNFRSF12A/XCL2/CCL4/IL18RAP/PLEKHO2/PDGFA/FASLG/LIF/TNF/CCL23/XCL1/CSF1/BMPR2/IL10/IL7/IL26/CCR2/IL15/CCR1/CCL20/CCL4L2/IL12RB2/TNFSF14/FAS/IL18R1/TNFSF4/CSF1R/VEGFA/TNFRSF9/CSF2/CSF2RA/CXCL16/TNFSF9/TNFSF8/TNFRSF1A/IL18/CCL2/IL13RA1/IL2RG/CXCL10/CCL17/IL4R/IL21/IL15RA/TNFSF13/TNFSF12/IL23R,up,FALSE
KEGG_ASTHMA,KEGG_ASTHMA,KEGG,Tcon,SF_vs_PB_Tcon,2.5175605,0.839296101,1.50608416e-9,5.85852579e-8,21,13,HLA-DQA1/HLA-DRB1/HLA-DRB5/HLA-DQA2/TNF/HLA-DMA/HLA-DPA1/HLA-DRA/HLA-DPB1/IL10/HLA-DQB1/HLA-DMB/FCER1A,up,FALSE
KEGG_ALLOGRAFT_REJECTION,KEGG_ALLOGRAFT_REJECTION,KEGG,Tcon,SF_vs_PB_Tcon,2.52598211,0.749974839,1.58338535e-9,5.85852579e-8,34,18,IFNG/HLA-DQA1/HLA-DRB1/HLA-DRB5/HLA-DQA2/FASLG/PRF1/TNF/HLA-DMA/HLA-DPA1/HLA-DRA/HLA-DPB1/IL10/CD86/HLA-DQB1/HLA-DMB/GZMB/FAS,up,FALSE
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,Tcon,SF_vs_PB_Tcon,2.33666302,0.614328659,2.3494106e-8,6.41929326e-7,61,31,CTSB/CD74/HLA-DQA1/HLA-DRB1/HLA-DRB5/CTSL/HLA-DQA2/HLA-DMA/HLA-DPA1/HLA-DRA/HLA-DPB1/CIITA/HLA-DQB1/TAP1/HLA-DMB/HSPA6/TAPBP/CD8B/IFI30/HSPA2/HSPA1A/CD8A/KIR2DL3/HLA-DOA/HLA-A/CD4/HSPA1B/HLA-F/HLA-C/CTSS/KLRC1,up,FALSE
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,KEGG,Tcon,SF_vs_PB_Tcon,2.4251097,0.702355327,2.42892177e-8,6.41929326e-7,38,22,IFNG/ACTN4/HLA-DQA1/HLA-DRB1/HLA-DRB5/HLA-DQA2/TNF/HLA-DMA/HLA-DPA1/HLA-DRA/HLA-DPB1/IL10/CD86/FCGR2B/HLA-DQB1/HLA-DMB/SNRPB/C1QA/C1QB/C1QC/TRIM21/FCGR2A,up,FALSE
KEGG_AUTOIMMUNE_THYROID_DISEASE,KEGG_AUTOIMMUNE_THYROID_DISEASE,KEGG,Tcon,SF_vs_PB_Tcon,2.39482271,0.711033053,7.06455023e-8,1.63367724e-6,34,17,HLA-DQA1/HLA-DRB1/HLA-DRB5/HLA-DQA2/FASLG/PRF1/CTLA4/HLA-DMA/HLA-DPA1/HLA-DRA/HLA-DPB1/IL10/CD86/HLA-DQB1/HLA-DMB/GZMB/FAS,up,FALSE
KEGG_ENDOCYTOSIS,KEGG_ENDOCYTOSIS,KEGG,Tcon,SF_vs_PB_Tcon,2.05403186,0.46456263,1.11141136e-7,2.2783054e-6,150,65,IL2RB/F2R/CCR5/CXCR4/EHD4/LDLR/EPS15/AP2B1/ARAP3/ARFGAP3/ARAP2/RAB11FIP1/HSPA6/PARD6A/RAB11FIP4/CLTC/VPS37B/PLD2/CHMP2A/RAB11A/CSF1R/NEDD4/SH3GLB1/TSG101/HSPA2/ADRB2/HSPA1A/DAB2/CHMP5/CBLB/DNM2/RAB31/ERBB3/RNF41/SMURF1/GRK5/TFRC/NTRK1/IL2RG/RAB5C/SRC/HLA-A/RAB22A/SMURF2/HSPA1B/HLA-F/HRAS/IQSEC2/ARRB2/HLA-C/AP2A1/MDM2/RAB11FIP5/PSD4/PLD1/SH3GLB2/RAB5A/FLT1/DNAJC6/AGAP2/PIP5K1C/HLA-G/HLA-B/ARRB1/RUFY1,up,FALSE
KEGG_TYPE_I_DIABETES_MELLITUS,KEGG_TYPE_I_DIABETES_MELLITUS,KEGG,Tcon,SF_vs_PB_Tcon,2.36510336,0.697897904,1.23151643e-7,2.2783054e-6,35,17,IFNG/HLA-DQA1/HLA-DRB1/HLA-DRB5/HLA-DQA2/FASLG/PRF1/TNF/HLA-DMA/HLA-DPA1/HLA-DRA/HLA-DPB1/CD86/HLA-DQB1/HLA-DMB/GZMB/FAS,up,FALSE
