pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
MITOPATHWAYS_Mitochondrial_central_dogma,MITOPATHWAYS_Mitochondrial_central_dogma,MitoPathways,Tcon,SF_vs_PB_Tcon,-1.90809069,-0.387614672,2.20268082e-7,2.35686848e-5,213,103,CARS2/MRPL19/ALKBH1/TIMM21/METTL4/TUFM/METTL5/PUS1/MTIF2/ANGEL2/PDF/MRPL32/MRPL40/TOP1MT/MRPS10/MRPS16/MRPL18/YARS2/COX14/MRPL34/MIEF1/GATC/MRPL14/MRPS34/METTL15/TRMT5/TARS2/MRPL44/FASTKD1/C12orf65/MUTYH/ERAL1/POLDIP2/MRPS14/GADD45GIP1/GUF1/MRPL38/FASTKD2/PDE12/EXOG/RNASEH1/EXD2/GTPBP3/FASTK/AARS2/MRPL42/NARS2/MRPL48/MRPL2/GRSF1/MRPL21/TEFM/TACO1/MRPL23/MRPL11/MRPS26/MALSU1/MRM1/RPUSD3/OXA1L/TBRG4/MRPS24/MRPS9/QTRT1/PTCD2/TFB1M/MRPL55/MRRF/MRPS2/TRNT1/TRMT2B/TRMT61B/MTRF1/PTCD3/MRPS35/POLG2/RPUSD4/POLB/MRPS25/DDX28/QRSL1/MTFMT/MRPL1/MTO1/HEMK1/OSGEPL1/MRPL46/LRPPRC/PPA2/MRPS18B/MRPS33/TRMT1/GTPBP10/MARS2/DAP3/MRPS31/TFAM/APEX1/MRPS30/MRPS27/MRPL45/NOA1/METAP1D,down,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.Translation,MITOPATHWAYS_Mitochondrial_central_dogma.Translation,MitoPathways,Tcon,SF_vs_PB_Tcon,-1.89628579,-0.407089338,2.33914475e-6,1.25144244e-4,143,68,TUFM/MTIF2/PDF/MRPL32/MRPL40/MRPS10/MRPS16/MRPL18/YARS2/COX14/MRPL34/MIEF1/GATC/MRPL14/MRPS34/TARS2/MRPL44/C12orf65/ERAL1/MRPS14/GADD45GIP1/GUF1/MRPL38/FASTKD2/EXD2/AARS2/MRPL42/NARS2/MRPL48/MRPL2/GRSF1/MRPL21/TACO1/MRPL23/MRPL11/MRPS26/MALSU1/OXA1L/MRPS24/MRPS9/TFB1M/MRPL55/MRRF/MRPS2/TRMT61B/MTRF1/PTCD3/MRPS35/MRPS25/DDX28/QRSL1/MTFMT/MRPL1/HEMK1/MRPL46/LRPPRC/PPA2/MRPS18B/MRPS33/GTPBP10/MARS2/DAP3/MRPS31/MRPS30/MRPS27/MRPL45/NOA1/METAP1D,down,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism,MitoPathways,Tcon,SF_vs_PB_Tcon,-1.81794459,-0.441963059,3.3779708e-4,0.0120480959,69,43,PTCD1/TRIT1/YBEY/FASTKD5/NSUN3/TFB2M/LACTB2/THG1L/ALKBH1/METTL5/PUS1/ANGEL2/TOP1MT/METTL15/TRMT5/FASTKD1/ERAL1/FASTKD2/PDE12/RNASEH1/GTPBP3/FASTK/GRSF1/TEFM/MRM1/RPUSD3/TBRG4/MRPS9/QTRT1/PTCD2/TFB1M/TRNT1/TRMT2B/TRMT61B/RPUSD4/DDX28/MTO1/OSGEPL1/LRPPRC/PPA2/TRMT1/TFAM/NOA1,down,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome_assembly,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome_assembly,MitoPathways,Tcon,SF_vs_PB_Tcon,-1.73161991,-0.56223125,0.00749929149,0.200606047,20,11,MIEF1/ERAL1/FASTKD2/GRSF1/MALSU1/TFB1M/TRMT61B/PTCD3/DDX28/GTPBP10/NOA1,down,FALSE
MITOPATHWAYS_Metabolism,MITOPATHWAYS_Metabolism,MitoPathways,Tcon,SF_vs_PB_Tcon,-1.27747593,-0.242867255,0.0123798235,0.237783036,381,103,TXNRD2/L2HGDH/ACADM/SLC25A42/ETFDH/PTGES2/ZADH2/ADHFE1/SLC25A36/UQCRFS1/QDPR/GTPBP3/HIBCH/COX11/FDX1/ALDH7A1/AKR7A2/HINT1/MECR/CRLS1/FH/HSCB/AUH/TAZ/COQ10A/CHDH/HSD17B4/AGPAT5/CBR3/SUCLG2/ABHD10/ACADSB/RSAD1/NMNAT3/CISD1/ECHDC1/ALDH6A1/SLC25A23/FAM210B/NNT/COQ5/COX10/MSRB2/LIAS/MCCC1/CYP24A1/ACAD10/MCCC2/CLYBL/GSR/NTHL1/ABCB7/DUT/NUDT9/HSD17B8/ALDH9A1/GPX4/PNPO/TAMM41/PDHX/MTFMT/BCKDHB/AGMAT/MTO1/OXSM/SIRT5/HIBADH/MTHFD2L/GLS2/PDK1/TXN2/DCXR/SLC25A6/PRDX2/LIPT1/BDH1/LIPT2/RFK/PGS1/PDK3/NME4/ME2/PPA2/LYPLAL1/ISCA2/RPIA/MMAB/TMLHE/PAICS/OXR1/RDH14/SIRT4/GSTK1/PLD6/COQ7/ACSL6/ALDH5A1/FHIT/OSBPL1A/EPHX2/ACSM3/FXN/LDHB,down,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_granules,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mtRNA_granules,MitoPathways,Tcon,SF_vs_PB_Tcon,-1.64479507,-0.497745351,0.0133336282,0.237783036,26,13,FASTKD1/ERAL1/FASTKD2/FASTK/GRSF1/MRM1/RPUSD3/MRPS9/PTCD2/TFB1M/RPUSD4/DDX28/NOA1,down,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome,MitoPathways,Tcon,SF_vs_PB_Tcon,-1.47177406,-0.348615284,0.0162234691,0.247987314,79,35,MRPL32/MRPL40/MRPS10/MRPS16/MRPL18/MRPL34/MRPL14/MRPS34/MRPL44/MRPS14/GADD45GIP1/MRPL38/MRPL42/MRPL48/MRPL2/MRPL21/MRPL23/MRPL11/MRPS26/MRPS24/MRPS9/MRPL55/MRPS2/PTCD3/MRPS35/MRPS25/MRPL1/MRPL46/MRPS18B/MRPS33/DAP3/MRPS31/MRPS30/MRPS27/MRPL45,down,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mt-rRNA_modifications,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mt-rRNA_modifications,MitoPathways,Tcon,SF_vs_PB_Tcon,-1.52680145,-0.548125011,0.0460926132,0.520880546,14,8,METTL5/METTL15/MRM1/RPUSD3/TFB1M/TRMT2B/TRMT61B/RPUSD4,down,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,MITOPATHWAYS_Mitochondrial_central_dogma.mtRNA_metabolism.mt-tRNA_modifications,MitoPathways,Tcon,SF_vs_PB_Tcon,-1.48652087,-0.470303339,0.0464244205,0.520880546,22,15,TRIT1/NSUN3/THG1L/ALKBH1/PUS1/TRMT5/GTPBP3/QTRT1/TRNT1/TRMT2B/TRMT61B/RPUSD4/MTO1/OSGEPL1/TRMT1,down,FALSE
MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Gluconeogenesis,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Gluconeogenesis,MitoPathways,Tcon,SF_vs_PB_Tcon,1.51160186,0.688648123,0.0527630891,0.520880546,7,3,MPC1/PCK2/MPC2,up,FALSE
MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.Preprotein_cleavage,MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.Preprotein_cleavage,MitoPathways,Tcon,SF_vs_PB_Tcon,-1.51962307,-0.647240339,0.0535484674,0.520880546,8,4,IMMP1L/PMPCB/UQCRC2/IMMP2L,down,FALSE
MITOPATHWAYS_OXPHOS.Complex_III,MITOPATHWAYS_OXPHOS.Complex_III,MitoPathways,Tcon,SF_vs_PB_Tcon,-1.48329184,-0.532504969,0.0599161174,0.523025936,14,11,BCS1L/TTC19/CYC1/MT-CYB/UQCRFS1/UQCRH/UQCC1/UQCR10/UQCRB/UQCRC2/LYRM7,down,FALSE
MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Apoptosis,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Apoptosis,MitoPathways,Tcon,SF_vs_PB_Tcon,1.4131446,0.432613349,0.0680463248,0.523025936,30,16,BCL2L11/BAK1/BAD/CASP3/CASP9/BCL2L1/IFI27/BID/BNIP3L/HTRA2/CASP8/AIFM2/DIABLO/CYCS/BIK/MCL1,up,FALSE
