pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
GOBP_CYTOPLASMIC_TRANSLATION,GOBP_CYTOPLASMIC_TRANSLATION,GO_BP,Treg,SF_vs_PB_Treg,-3.10349888,-0.675577421,8.264577810000001e-30,4.76535556e-26,158,91,RPL35/RPL41/RPS9/EIF3A/EIF4A2/RPLP1/RPS10/YBX1/RPS11/RPL36A/RBM4/RPL24/RPS17/RPS16/EIF3K/EIF3G/RPS19/RPL14/EIF3M/RPL17/IMPACT/RPL15/EIF3D/CSDE1/RPS27A/RPS14/RPL7A/RPS25/RPS15/RPS29/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/EIF2D/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/EIF3H/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/EIF3E/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/EIF3F/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/PABPC1/RPL22/EEF2/RPLP2/EIF3L/EIF2S3/RPS3A/RPL7,down,FALSE
GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GOBP_NEGATIVE_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GO_BP,Treg,SF_vs_PB_Treg,-3.01396292,-0.815569546,2.08747948e-18,6.018203340000001e-15,47,44,RPLP0/RPL28/RPL23/RPL10/RPL35/RPL41/RPLP1/RPL36A/RPL24/RPL14/RPL17/RPL15/RPL7A/RPL34/RPL35A/RPL19/RPL18A/RPL6/RPL12/UBA52/RPL11/RPL8/RPL18/RPL30/RPL38/RPL32/RPL36/RPL10A/RPL13/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPL39/RPL31/RPL29/RPL5/RPL13A/RPL4/RPL37/RPLP2/RPL7,down,FALSE
GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,GO_BP,Treg,SF_vs_PB_Treg,-2.73976865,-0.704519367,1.00426156e-13,1.93019071e-10,60,46,SCGB3A1/RPLP0/RPL28/RPL23/EHD1/RPL10/RPL35/RPL41/RPLP1/RPL36A/RPL24/RPL14/RPL17/RPL15/RPL7A/RPL34/RPL35A/RPL19/RPL18A/RPL6/RPL12/UBA52/RPL11/RPL8/RPL18/RPL30/RPL38/RPL32/RPL36/RPL10A/RPL13/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPL39/RPL31/RPL29/RPL5/RPL13A/RPL4/RPL37/RPLP2/RPL7,down,FALSE
GOBP_VIRAL_LIFE_CYCLE,GOBP_VIRAL_LIFE_CYCLE,GO_BP,Treg,SF_vs_PB_Treg,2.25179617,0.499441514,7.80909126e-13,1.12568051e-9,216,63,APOBEC3G/CXCR6/TNFRSF4/APOBEC3H/APOBEC3C/FURIN/CCR5/CTSB/SLC3A2/OASL/BST2/LGALS1/TNF/OAS3/HSPA1A/CD80/RSAD2/NR5A2/SLAMF1/APOBEC3F/NOTCH1/SCARB2/CHMP5/IL32/BSG/ISG15/CD4/NFIA/CCL5/OAS1/LDLR/LAMTOR5/HSP90AB1/ICAM1/DYNLT1/APOBEC3D/IFITM2/ZC3H12A/SLC1A5/IFITM3/EIF2AK2/N4BP1/MX1/RAB1B/SPCS1/TRIM25/VPS37C/VAMP8/TSG101/IFI16/ITGA2/RAD23A/BANF1/RAB1A/CHMP2B/CXCR4/CHMP2A/STAU1/NCAM1/CTSL/HSPA1B/CHMP6/IFIT5,up,FALSE
GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION,GOBP_REGULATION_OF_LEUKOCYTE_PROLIFERATION,GO_BP,Treg,SF_vs_PB_Treg,2.26219597,0.504420081,6.74814235e-12,7.78195776e-9,206,59,CDKN1A/TNFRSF4/LGALS3/CD74/IL2RB/SDC4/IL23R/FOXP3/IL2RA/IL10/HLA-DRB1/CD70/EBI3/IL4I1/IL12RB2/BST2/CSF1/IL2RG/CD80/CTLA4/MIF/ARG2/NR5A2/CD276/SLAMF1/PTPN22/HLA-DPB1/PRNP/PRKAR1A/HAVCR2/HLA-DPA1/CD4/CLCF1/CCL5/ANXA1/CSF2/TNFRSF1B/CD320/CD274/CTNNB1/TNFRSF13B/IL7/XCL1/HLA-DMB/CCR2/HLA-A/MZB1/SLC4A2/LGALS9C/IL1A/PDCD1LG2/RIPK3/DLG5/PNP/NMB/FADD/CCDC88B/TNFSF4/IL12RB1,up,FALSE
GOBP_MYOBLAST_FUSION,GOBP_MYOBLAST_FUSION,GO_BP,Treg,SF_vs_PB_Treg,-2.56675593,-0.646223739,1.86287623e-11,1.54131289e-8,67,46,SCGB3A1/RPLP0/RPL28/RPL23/EHD1/RPL10/RPL35/RPL41/RPLP1/RPL36A/RPL24/RPL14/RPL17/RPL15/RPL7A/RPL34/RPL35A/RPL19/RPL18A/RPL6/RPL12/UBA52/RPL11/RPL8/RPL18/RPL30/RPL38/RPL32/RPL36/RPL10A/RPL13/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPL39/RPL31/RPL29/RPL5/RPL13A/RPL4/RPL37/RPLP2/RPL7,down,FALSE
GOBP_LEUKOCYTE_PROLIFERATION,GOBP_LEUKOCYTE_PROLIFERATION,GO_BP,Treg,SF_vs_PB_Treg,2.10246344,0.456064172,1.87117417e-11,1.54131289e-8,261,71,CDKN1A/TNFRSF4/LGALS3/CD74/IL2RB/SDC4/IL23R/FOXP3/IL2RA/IL10/HLA-DRB1/CD70/EBI3/IL4I1/IL12RB2/FOSL2/BST2/CD151/CSF1/IL2RG/CD80/CTLA4/MIF/ARG2/NR5A2/CD276/SLAMF1/PTPN22/HLA-DPB1/PRNP/PRKAR1A/CLU/HAVCR2/HLA-DPA1/CD4/CLCF1/CCL5/ANXA1/CSF2/TNFRSF1B/CD320/IMPDH1/CD274/CTNNB1/HPRT1/TNFRSF13B/IL7/XCL1/HLA-DMB/CCR2/HLA-A/MZB1/SLC4A2/LGALS9C/IL1A/FKBP1B/PDCD1LG2/RIPK3/DLG5/PNP/NMB/FADD/CCDC88B/TCIRG1/TNFSF4/IL12RB1/PCYT1A/DOCK2/CBLB/PRKCD/TIRAP,up,FALSE
GOBP_REGULATION_OF_T_CELL_ACTIVATION,GOBP_REGULATION_OF_T_CELL_ACTIVATION,GO_BP,Treg,SF_vs_PB_Treg,2.02553139,0.429365865,2.22357507e-11,1.60264173e-8,327,106,LGALS3/CD74/PDCD1/SDC4/HLA-DQA2/HLA-DMA/IL23R/FOXP3/IL2RA/IL10/TIGIT/HLA-DRB1/HLA-DQB1/CD70/CD2/EBI3/IL4I1/BATF/HLA-DRA/IL12RB2/HLA-DRB5/LGALS1/CBFB/IL2RG/CD80/CTLA4/ARG2/NR5A2/CD276/SLAMF1/PTPN22/HLA-DPB1/PRNP/PRKAR1A/HAVCR2/HLA-DPA1/CD4/YWHAG/CCL5/ANXA1/HLA-DQA1/TNFRSF1B/RHOA/NFKBID/ZC3H12A/TBX21/CD274/CTNNB1/IL7/XCL1/LAG3/FGL2/EGR3/HLA-DMB/PSMB1/CCR2/HLA-A/PSMA7/PRDM1/SLC4A2/LGALS9C/IL1A/PDCD1LG2/RIPK3/BAD/PSMB3/DLG5/DUSP3/PNP/PSMA6/FADD/CCDC88B/TNFSF4/HSPH1/SOD1/IL12RB1/ICOS/YES1/CBLB/PSMA3/SIT1/TWSG1/SFTPD/IFNL1/AKT1/GPNMB/CD27/B2M/ACTL6A/JAK3/ZBTB7B/PSMB2/TREX1/ADORA2A/CCL2/SMARCB1/IL1RL2/PTPN11/FBXO38/CD40LG/SOCS1/ADAM8/ACTB/PSMA5/PTPRC/SOX4,up,FALSE
GOBP_REGULATION_OF_VIRAL_PROCESS,GOBP_REGULATION_OF_VIRAL_PROCESS,GO_BP,Treg,SF_vs_PB_Treg,2.40968014,0.587276181,2.82408697e-11,1.63814885e-8,108,37,APOBEC3G/APOBEC3H/APOBEC3C/FURIN/OASL/BST2/LGALS1/TNF/OAS3/RSAD2/NR5A2/APOBEC3F/NOTCH1/IL32/BSG/ISG15/CCL5/OAS1/DYNLT1/APOBEC3D/IFITM2/IFITM3/STOM/EIF2AK2/N4BP1/MX1/TRIM25/TSG101/IFI16/RAD23A/BANF1/STAU1/SP100/IFIT5/ADARB1/IFIT1/MDFIC,up,FALSE
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,GO_BP,Treg,SF_vs_PB_Treg,2.15197676,0.472959208,2.841049e-11,1.63814885e-8,233,74,CTSC/GZMM/CD74/PDCD1/IL2RB/IL23R/BCL3/FOXP3/IL10/TIGIT/HLA-DRB1/CD70/CD2/IL4I1/BATF/HLA-DRA/TNF/IL1R1/IL2RG/CD80/RSAD2/LTA/ERCC1/LYST/SLAMF1/CLU/HCST/MAD2L2/HAVCR2/IL18RAP/YWHAG/CLCF1/TNFRSF1B/ICAM1/GZMB/NCR3/CEACAM1/TBX21/CD274/HPRT1/XCL1/LAG3/ARID5A/ULBP2/PRDX1/RAB27A/TP53BP1/SLA2/CCR2/HLA-A/CD226/IRF7/HLA-B/NBN/RIPK3/KIF5B/SLC15A4/CD96/ULBP3/PRF1/FADD/HLA-F/USP5/TCIRG1/TNFSF4/IL12RB1/HLA-C/PCYT1A/PRKCD/CD1C/HMCES/C1QA/C1QB/CTSH,up,FALSE
