pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
GOCC_CYTOSOLIC_RIBOSOME,GOCC_CYTOSOLIC_RIBOSOME,GO_CC,Treg,SF_vs_PB_Treg,-3.13910317,-0.722565171,2.9491906799999996e-26,2.5245072200000002e-23,110,77,RPL28/RPL23/RPL10/RPL35/RPL41/RPS9/RPLP1/RPS10/RPS11/RPL36A/RPL24/RPS17/RPS16/RPS19/RPL14/RPL17/RPL15/RPS27A/RPS14/RPL7A/RPS25/RPS15/EEF1A1/RPS29/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/RPLP2/RPS3A/RPL7,down,FALSE
GOCC_TRANSPORT_VESICLE,GOCC_TRANSPORT_VESICLE,GO_CC,Treg,SF_vs_PB_Treg,2.41863523,0.51414540500000006,8.894234160000001e-20,2.8766716799999995e-17,316,141,CD74/HLA-DQA2/GOLIM4/FURIN/SURF4/HLA-DRB1/HLA-DQB1/SYT11/HLA-DRA/HLA-DRB5/ZNRF1/SYNGR3/TMED9/TMED10/SYTL3/AP1S1/VAMP4/PAM/HLA-DPB1/PLIN3/RAB5A/HLA-DPA1/BCL2L1/TMED3/PSMD1/RABAC1/HLA-DQA1/AP4M1/MYOF/ROGDI/SNAPIN/RAB11A/CEACAM1/PICALM/SPRED2/PPT1/TRAPPC4/STX1A/ATP6V1F/SREBF2/RAB1B/PSMB5/KDELR3/ATP6V1E1/RAB27A/PSMD14/RAB10/MAP6/KIF1B/AP2B1/PSMC1/SLC35G2/PSMB6/PSMC2/PSMB1/VMA21/HLA-A/PSMA7/PDE4B/PSMD8/HLA-B/PSMD7/ADRM1/YIPF3/SLC17A5/SYPL1/OTOF/SAR1B/CNIH1/ATP6V1B2/RAB1A/PSMB3/VTI1B/PSMD11/PSMA6/SREBF1/ITPR1/HLA-F/YIPF2/PTPRN2/ITPR3/BLOC1S6/PSMD12/PSEN2/HLA-C/AP3S1/TMEM30A/RAB3A/LMAN1/PSMC3/MT3/ATP6AP2/ATP6AP1/TMED2/PSMA3/SYNGR2/CLTC/PSMC4/BRSK1/MTMR2/PSEN1/COPE/SAR1A/COPB2/PSMB7/TOR1A/IGF2R/COPZ1/PEF1/YIPF1/DLG4/SEC23B/PSMD13/DNM1L/B2M/NRSN2/PSMB2/ATP6V1A/VAMP3/COPB1/PSMD3/SYT4/PARK7/COPG2/TMED7/SEC24A/FGFRL1/ATP6V0C/PSMA5/NAPA/SLC2A8/ARPC2/CACFD1/SV2A/STX6/RPH3AL/RAB7A/CIDEB/RAB27B/ATP6V0A1/SEC16A,up,FALSE
GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT,GO_CC,Treg,SF_vs_PB_Treg,-3.07173418,-0.813758909,1.00817933e-19,2.8766716799999995e-17,52,47,RPLP0/RPL28/RPL23/RPL10/RPL35/RPL41/RPLP1/RPL36A/RPL24/RPL14/RPL17/RPL15/RPL7A/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPL6/RPL12/UBA52/RPL11/RPL8/RPL18/RPL30/RPL38/RPL32/RPL36/RPL10A/RPL13/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPL39/RPL31/RPL29/RPL5/RPL13A/RPL3/RPL4/RPL37/RPL22/RPLP2/RPL7,down,FALSE
GOCC_RIBOSOMAL_SUBUNIT,GOCC_RIBOSOMAL_SUBUNIT,GO_CC,Treg,SF_vs_PB_Treg,-2.57959596,-0.556516158,1.87249579e-16,4.00714099e-14,170,81,RPL28/MRPS30/RPL23/MRPL38/RPL10/RPL35/RPL41/RPS9/MRPS31/RPLP1/DAP3/RPS10/RPS11/RPL36A/RPL24/RPS17/RPS16/RPS19/RPL14/RPL17/RPL15/RPS27A/RPS14/RPL7A/RPS25/RPS15/RPS29/RPL34/MRPS27/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/RPLP2/RPS3A/RPL7,down,FALSE
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT,GO_CC,Treg,SF_vs_PB_Treg,-2.82432341,-0.800726556,3.0652001700000003e-14,5.24762269e-12,38,30,RPS9/RPS10/RPS11/RPS17/RPS16/RPS19/RPS27A/RPS14/RPS25/RPS15/RPS29/RPS24/RPS20/RPSA/RPS4X/RPS7/RPS27/RPS28/RPS15A/RPS12/RPS2/RPS3/RPS5/RPS21/RPS8/RPS23/RPS18/RPS6/RPS13/RPS3A,down,FALSE
GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE,GOCC_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE,GO_CC,Treg,SF_vs_PB_Treg,2.63137573,0.672785375,7.38617377e-14,1.05376079e-11,80,41,CTSC/CD74/HLA-DQA2/SURF4/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/TMED9/YIF1A/TMED10/HLA-DPB1/HLA-DPA1/TMED3/HLA-DQA1/TMED1/F5/SREBF2/LMAN2/CNIH4/VMA21/HLA-A/YIPF6/YIF1B/HLA-B/CTSZ/GOLGA2/SAR1B/CNIH1/YIPF5/VTI1B/SREBF1/HLA-F/HLA-C/LMAN1/TMED2/SAR1A/PEF1/SEC23B/B2M/DDHD2,up,FALSE
GOCC_FICOLIN_1_RICH_GRANULE,GOCC_FICOLIN_1_RICH_GRANULE,GO_CC,Treg,SF_vs_PB_Treg,2.37541662,0.546580513,9.660989e-14,1.18140094e-11,160,69,PRDX4/LGALS3/PKM/CTSB/CD58/MVP/HSPA1A/MIF/SLC2A3/LAMP2/DYNLL1/RHOA/GPI/GYG1/HSP90AB1/LRG1/DYNLT1/IMPDH1/CTSD/TMEM179B/ITGAX/PGAM1/FGL2/PAFAH1B2/GSN/PSMD14/PSMC2/PSMB1/IDH1/PSMD7/CTSZ/MMP9/ACTR10/QPCT/CSTB/ITGB2/ALDOC/PGM1/PSMD11/PNP/GUSB/TCIRG1/PLEKHO2/PTPRN2/PSMD12/HSPA1B/PSMC3/ATP6AP2/TRPM2/CAB39/CD93/A1BG/CTSH/ALDOA/PSMB7/ILF2/DIAPH1/VCP/PSMD13/PDAP1/COPB1/PSMD3/HUWE1/NBEAL2/HSPA6/ADAM8/ATP6V0C/LAMTOR1/PSMA5,up,FALSE
GOCC_VESICLE_LUMEN,GOCC_VESICLE_LUMEN,GO_CC,Treg,SF_vs_PB_Treg,2.279744,0.500551867,1.55200049e-13,1.66064053e-11,235,103,CTSC/PRDX4/SRGN/PKM/SERPINB1/S100A11/ACTN4/TIMP1/MVP/FASLG/SCCPDH/MIF/CYFIP1/PDGFA/CLU/ARSA/PSMD1/NIT2/GPI/ANXA2/GYG1/CYB5R3/F5/HSP90AB1/LRG1/GM2A/GZMB/DYNLT1/IMPDH1/GRN/CTSD/PGAM1/ECM1/FUCA2/HEXB/PAFAH1B2/GSN/RAB27A/CPPED1/FAM3C/NEU1/PSMD14/PSMC2/PSMB1/IDH1/GLA/AGA/QSOX1/PA2G4/CTSA/PSMD7/TCN1/CTSZ/MPO/DPP7/ACTR10/QPCT/CSTB/ALDOC/VTI1B/PSMD11/PRF1/PNP/PCYOX1L/GUSB/SERPINE1/PSMD12/CTSW/CAP1/PSMC3/ERP44/DOCK2/CAB39/ARHGAP9/PRKCD/PRDX6/FN1/TEX264/A1BG/DYNC1H1/CTSH/ALDOA/DNAJC3/TOLLIP/PSMB7/ILF2/VCP/PSMD13/FUCA1/PROS1/B2M/TOR4A/MAN2B1/TIMP4/VEGFA/PSMD3/HUWE1/HSPA6/GCA/TRAPPC1/TUBB4B/LGALS3BP/PSMA5,up,FALSE
GOCC_RIBOSOME,GOCC_RIBOSOME,GO_CC,Treg,SF_vs_PB_Treg,-2.26959814,-0.47554379,6.73819639e-13,6.40877346e-11,212,85,RPL28/MRPS30/RPL23/MRPL38/RPL10/RPL35/RPL41/RPS9/MRPS31/RPLP1/DAP3/RPS10/RPS11/FXR1/RPL36A/RPL24/RPS17/RPS16/RPS19/RPL14/RPL17/RPL15/RPS27A/RPS14/RPL7A/RPS25/RPS15/EEF1A1/RPS29/RPL34/MRPS27/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/SF1/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/EEF2/RPLP2/RPS3A/RPL7,down,FALSE
GOCC_SECRETORY_GRANULE_MEMBRANE,GOCC_SECRETORY_GRANULE_MEMBRANE,GO_CC,Treg,SF_vs_PB_Treg,2.22922764,0.493328328,2.548833e-12,2.18180105e-10,219,108,LGALS3/IQGAP1/CYSTM1/HYAL3/CD58/CD63/SURF4/C3AR1/BST2/TMED10/SLC27A2/SRI/CD9/PAM/ANXA4/AGPAT2/SLC2A3/BSG/LAMP2/ATP8B4/DYNLL1/ANXA7/TNFRSF1B/RHOA/PGRMC1/APLP2/STOM/CEACAM1/CYBA/TMEM179B/ITGAX/CD68/CMTM6/RAB10/MAGT1/CD44/RAP1B/HLA-B/VAMP8/ITGAM/CCDC136/CD53/TMX3/PHACTR2/ITGB2/SLC15A4/RHOG/PTPRJ/ITPR1/TCIRG1/PLAU/CD109/PTPRN2/ITPR3/PLAUR/HGSNAT/HLA-C/TMEM30A/RAB3A/ATP6AP2/TRPM2/TMED2/CD93/STX3/LAMTOR2/PSEN1/NRAS/TICAM2/PSAP/RAB18/RHOF/CXCR1/IGF2R/CPNE3/DIAPH1/DDOST/COPB1/SYT4/RAP2C/LAMTOR3/NBEAL2/HMOX2/ADAM8/ATP6V0C/CD33/LAMTOR1/CLEC5A/PTPRC/SNAP23/ABCA3/ORMDL3/ARL8A/LILRB3/RAB7A/FABP5/RAB27B/ATP6V0A1/LPCAT1/CYB561/DYNC1LI1/OLR1/NCSTN/LAMP3/ITGAV/VAPA/SVIP/ATP6V1D/KCNAB2,up,FALSE
GOCC_COATED_VESICLE,GOCC_COATED_VESICLE,GO_CC,Treg,SF_vs_PB_Treg,2.21317869,0.484784157,3.07945648e-12,2.39637704e-10,240,109,CTSC/CD74/HLA-DQA2/FURIN/SURF4/HLA-DRB1/HLA-DQB1/SYT11/HLA-DRA/HLA-DRB5/TMED9/WIPI1/YIF1A/TMED10/CTLA4/CD9/MYO1E/AP1S1/VAMP4/HLA-DPB1/SCARB2/RAB5A/HLA-DPA1/TMED3/CD4/LDLR/HLA-DQA1/TMED1/AP4M1/F5/ATP6V0B/PICALM/ATP6V1F/SREBF2/KDELR3/ATP6V1E1/RAB27A/AP2B1/LMAN2/CNIH4/VMA21/HLA-A/YIPF6/YIF1B/HLA-B/VAMP8/CTSZ/GOLGA2/SAR1B/CNIH1/YIPF5/ATP6V1B2/SNX9/VTI1B/SREBF1/HLA-F/HIP1/HLA-C/HBEGF/RAB3A/LMAN1/ATP6AP2/ATP6AP1/TMED2/CLTC/COPE/SAR1A/COPB2/IGF2R/COPZ1/PEF1/SFTPD/CD3D/ADRB2/SCYL1/SEC23B/B2M/DDHD2/EPS15/ATP6V1A/VAMP3/COPB1/GPR107/COPG2/TMED7/SEC24A/ATP6V0C/VPS16/SLC2A8/TMED4/RAB35/STX6/CIDEB/RAB27B/ATP6V0A1/SEC16A/DAB2/VPS33B/CNIH2/RAB13/HLA-DQB2/ARCN1/ATP6V1D/LMBRD1/SEC13/AP1S3/PDCD6/ERGIC2/GAS7,up,FALSE
GOCC_LATE_ENDOSOME,GOCC_LATE_ENDOSOME,GO_CC,Treg,SF_vs_PB_Treg,2.16249764,0.470300468,5.95844186e-12,4.25035519e-10,255,86,NDFIP2/CD74/PRKAR1B/HLA-DQA2/HLA-DMA/RHOB/CD63/CST7/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/BST2/NTRK1/SLC31A2/LAPTM4A/NOTCH1/HLA-DPB1/SCARB2/PRKAR1A/CHMP5/MMD/LAPTM4B/HLA-DPA1/DERL1/LAMP2/LDLR/HLA-DQA1/LAMTOR5/ANXA2/MYOF/IFITM2/RAB11A/IFITM3/ABHD6/GRN/CD68/CHID1/RAB27A/HLA-DMB/SPPL2A/SLA2/SLC1A1/ZMPSTE24/VPS37C/VAMP8/TMEM59/F2R/TSG101/SLC30A4/MYO5A/UBE2A/CHMP2B/CXCR4/VTI1B/CHMP2A/CTSL/MREG/VAMP5/TCIRG1/YIPF2/PSEN2/CDIP1/SQSTM1/TMEM30A/CHMP6/SNX14/SLC11A2/VPS35/DDIT3/LAMTOR2/CTSH/TICAM2/PSAP/VPS37B/DYNC1LI2/IGF2R/SFTPD/YIPF1/KCNK6/MAP1LC3A/DERL2/RILP/FIG4/B2M/STARD3,up,FALSE
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX,GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX,GO_CC,Treg,SF_vs_PB_Treg,2.37021645,0.571471076,2.16335051e-11,1.4244831e-9,115,60,FKBP1A/HM13/SSR4/DERL1/EMC7/GPAA1/DPM2/KRTCAP2/RYR1/EMC9/SEC11C/SREBF2/SPCS1/MAGT1/HLA-A/MZB1/RPN2/SRPRB/EMC4/HERPUD1/PDIA3/SEC61G/EMC6/ELOVL6/RPN1/DNAJC10/PIGT/P4HA1/TAP1/SREBF1/CALR/PPIB/PDIA6/EMC3/SPCS3/SEC61B/SEC11A/DNAJB11/OSTC/HSP90B1/DDOST/STT3A/OS9/VCP/TMEM258/SPCS2/B2M/FAF1/TREX1/TAPBP/TAPBPL/PIGU/HSD17B12/HSPA5/HYOU1/SDF2L1/TRAF2/DAD1/P4HB/PIGS,up,FALSE
