pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
KEGG_RIBOSOME,KEGG_RIBOSOME,KEGG,Treg,SF_vs_PB_Treg,-3.345842,-0.805688978,1.38746212e-30,2.56680491e-28,85,77,RSL24D1/RPLP0/RPL28/RPL23/RPL10/RPL35/RPL41/RPS9/RPLP1/RPS10/RPS11/RPL36A/RPL24/RPS17/RPS16/RPS19/RPL14/RPL17/RPL15/RPS27A/RPL7A/RPS25/RPS15/RPS29/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/RPLP2/RPS3A/RPL7,down,FALSE
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,KEGG,Treg,SF_vs_PB_Treg,2.32862043,0.540978369,5.60135503e-12,5.1812534e-10,149,61,CXCR6/TNFRSF4/CXCL13/IL2RB/CCR1/TNFRSF18/CXCR3/CCL4/TNFRSF12A/IL23R/CCR5/IL2RA/IL10/CD70/OSM/IL12RB2/TNFRSF8/CSF1/TNF/IL1R1/IL2RG/FASLG/LTA/IFNGR1/PDGFA/IL18RAP/IL1R2/CCL20/CLCF1/CCL5/CSF2/TNFRSF1B/IL4R/CCL4L2/IL26/CCL3/CCL23/TNFRSF13B/IL7/XCL1/CCR2/IL15RA/IL1A/CXCL16/CCL22/TNFSF12/CXCR4/TNFRSF9/TNFSF4/PLEKHO2/IL12RB1/LIF/IL1RAP/CCR8/CXCR1/IL18R1/FAS/IFNL1/IL21R/TGFBR1/CD27,up,FALSE
KEGG_LYSOSOME,KEGG_LYSOSOME,KEGG,Treg,SF_vs_PB_Treg,2.34191883,0.570442213,7.2609344e-10,4.47757621e-8,108,44,CTSC/ACP5/TPP1/CTSB/CD63/NAGA/LAPTM4A/AP1S1/IDS/SCARB2/LAPTM4B/LAMP2/ARSA/AP4M1/GNPTAB/GM2A/ATP6V0B/PPT1/CTSD/CD68/HEXB/NEU1/GLA/AGA/CTSA/CTSZ/DNASE2/SLC17A5/ACP2/GUSB/CTSL/TCIRG1/CTSW/HGSNAT/AP3S1/ATP6AP1/SLC11A2/CLTC/CTSH/PSAP/IGF2R/PLA2G15/FUCA1/MAN2B1,up,FALSE
KEGG_TYPE_I_DIABETES_MELLITUS,KEGG_TYPE_I_DIABETES_MELLITUS,KEGG,Treg,SF_vs_PB_Treg,2.50946524,0.756381202,1.33850883e-9,6.19060336e-8,35,22,HLA-DQA2/HLA-DMA/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/TNF/CD80/FASLG/LTA/HLA-DPB1/HLA-DPA1/HLA-DQA1/GZMB/HLA-DMB/HLA-A/HLA-B/IL1A/PRF1/HLA-F/PTPRN2/HLA-C,up,FALSE
KEGG_GRAFT_VERSUS_HOST_DISEASE,KEGG_GRAFT_VERSUS_HOST_DISEASE,KEGG,Treg,SF_vs_PB_Treg,2.51203802,0.77735197,2.82433276e-9,8.74526954e-8,31,20,HLA-DQA2/HLA-DMA/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/TNF/CD80/FASLG/HLA-DPB1/HLA-DPA1/HLA-DQA1/GZMB/HLA-DMB/HLA-A/HLA-B/IL1A/PRF1/HLA-F/HLA-C,up,FALSE
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION,KEGG,Treg,SF_vs_PB_Treg,2.413858,0.652013589,2.83630363e-9,8.74526954e-8,59,31,CD74/HLA-DQA2/HLA-DMA/CTSB/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/HSPA1A/LTA/HLA-DPB1/HLA-DPA1/CD4/HLA-DQA1/HSP90AB1/HLA-DMB/HLA-A/HLA-B/PDIA3/TAP1/CALR/HLA-F/CTSL/HLA-C/HSPA1B/PSME2/HSPA2/CIITA/B2M/HSPA6/TAPBP,up,FALSE
KEGG_AUTOIMMUNE_THYROID_DISEASE,KEGG_AUTOIMMUNE_THYROID_DISEASE,KEGG,Treg,SF_vs_PB_Treg,2.47925426,0.747275269,3.82879014e-9,1.01189454e-7,35,20,HLA-DQA2/HLA-DMA/IL10/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/CD80/FASLG/CTLA4/HLA-DPB1/HLA-DPA1/HLA-DQA1/GZMB/HLA-DMB/HLA-A/HLA-B/PRF1/HLA-F/HLA-C,up,FALSE
KEGG_ALLOGRAFT_REJECTION,KEGG_ALLOGRAFT_REJECTION,KEGG,Treg,SF_vs_PB_Treg,2.47620214,0.755847399,6.29709395e-9,1.41719332e-7,33,20,HLA-DQA2/HLA-DMA/IL10/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/TNF/CD80/FASLG/HLA-DPB1/HLA-DPA1/HLA-DQA1/GZMB/HLA-DMB/HLA-A/HLA-B/PRF1/HLA-F/HLA-C,up,FALSE
KEGG_VIRAL_MYOCARDITIS,KEGG_VIRAL_MYOCARDITIS,KEGG,Treg,SF_vs_PB_Treg,2.38215192,0.655055117,6.89445398e-9,1.41719332e-7,54,24,HLA-DQA2/HLA-DMA/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/SGCB/CD80/HLA-DPB1/BID/HLA-DPA1/EIF4G3/HLA-DQA1/ICAM1/CYCS/HLA-DMB/EIF4G1/HLA-A/HLA-B/CASP9/ITGB2/PRF1/HLA-F/HLA-C,up,FALSE
KEGG_ASTHMA,KEGG_ASTHMA,KEGG,Treg,SF_vs_PB_Treg,2.39272826,0.813466428,4.61757306e-8,8.54251016e-7,21,12,HLA-DQA2/HLA-DMA/IL10/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/TNF/HLA-DPB1/HLA-DPA1/HLA-DQA1/HLA-DMB,up,FALSE
