pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
MITOPATHWAYS_Metabolism.Detoxification.ROS_and_glutathione_metabolism,MITOPATHWAYS_Metabolism.Detoxification.ROS_and_glutathione_metabolism,MitoPathways,Treg,SF_vs_PB_Treg,1.93828547,0.642966899,5.98880841e-4,0.06408025,23,12,PRDX4/PRDX5/AIFM2/HAGH/NIT1/GLRX2/SOD1/ALDH3A2/PRDX6/TXNRD1/PRDX3/GPX1,up,FALSE
MITOPATHWAYS_Metabolism.Detoxification,MITOPATHWAYS_Metabolism.Detoxification,MitoPathways,Treg,SF_vs_PB_Treg,1.82373441,0.541571215,0.00145586897,0.0666943694,37,17,PRDX4/PRDX5/NIT2/CYB5R3/AIFM2/CBR3/HAGH/NIT1/ABHD10/GLRX2/SOD1/ALDH3A2/PRDX6/ALDH2/TXNRD1/PRDX3/GPX1,up,FALSE
MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome,MITOPATHWAYS_Mitochondrial_central_dogma.Translation.Mitochondrial_ribosome,MitoPathways,Treg,SF_vs_PB_Treg,1.67955974,0.429884951,0.00186993559,0.0666943694,79,43,MRPS6/MRPL17/MRPL52/MRPL20/MRPL36/MRPL15/MRPL33/MRPL41/MRPL24/MRPS18A/MRPL47/MRPS34/MRPL51/MRPL14/MRPS23/MRPL13/MRPL50/CHCHD1/MRPL18/MRPL16/MRPL40/MRPL4/MRPL27/MRPS12/MRPS7/MRPS21/MRPS26/MRPL54/MRPS22/MRPL42/GADD45GIP1/MRPS16/MRPS36/MRPL35/MRPL22/MRPL32/MRPS10/MRPL34/MRPS25/MRPS18C/MRPL21/AURKAIP1/MRPL3,up,FALSE
MITOPATHWAYS_Metabolism.Vitamin_metabolism.Biotin_utilizing_proteins,MITOPATHWAYS_Metabolism.Vitamin_metabolism.Biotin_utilizing_proteins,MitoPathways,Treg,SF_vs_PB_Treg,-1.61887737,-0.81765195,0.0128638045,0.34410677,5,3,ACACB/MCCC1/ACACA,down,FALSE
MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.TCA-associated,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.TCA-associated,MitoPathways,Treg,SF_vs_PB_Treg,1.64339437,0.619398711,0.0195972741,0.419381666,14,6,PCK2/MPC2/ME3/SLC25A11/MPC1/ACLY,up,FALSE
MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Gluconeogenesis,MITOPATHWAYS_Metabolism.Carbohydrate_metabolism.Gluconeogenesis,MitoPathways,Treg,SF_vs_PB_Treg,1.59744269,0.732369159,0.0268521259,0.449592116,7,5,PCK2/MPC2/SLC25A11/MPC1/MDH2,up,FALSE
MITOPATHWAYS_OXPHOS.OXPHOS_subunits,MITOPATHWAYS_OXPHOS.OXPHOS_subunits,MitoPathways,Treg,SF_vs_PB_Treg,1.41056977,0.365079366,0.0365777189,0.449592116,74,31,NDUFB2/CYCS/NDUFV2/NDUFA6/NDUFA4/COX7A2/NDUFB7/NDUFAB1/COX8A/NDUFS4/NDUFS6/NDUFS8/COX5A/NDUFS5/HCCS/UQCRQ/COX6C/NDUFB3/NDUFB6/COX7B/NDUFA5/NDUFA1/NDUFC1/NDUFS3/NDUFA8/MT-ND5/SDHC/UQCRC1/SDHB/NDUFA9/NDUFB4,up,FALSE
MITOPATHWAYS_Metabolism,MITOPATHWAYS_Metabolism,MitoPathways,Treg,SF_vs_PB_Treg,1.24152013,0.259334402,0.0374150159,0.449592116,380,133,PRDX4/ETHE1/ARG2/MTHFD2/PCK2/SPTLC2/PRDX5/IDI1/COX17/NIT2/NUDT5/CISD3/CYB5R3/SFXN3/CYCS/NDUFV2/BCKDK/AIFM2/AGPAT4/CMPK2/COMT/AK4/NAGS/BOLA3/ECHS1/SLC25A19/ACSL1/HSPA9/CBR3/MTHFD1L/ACOT9/HAGH/IDH3A/NIT1/COQ4/ACOT7/GUK1/FECH/LYRM4/ECI2/ABHD10/HSD17B10/SLC25A24/GLRX2/MPC2/SOD1/QDPR/CISD1/NDUFAB1/LYPLA1/ALDH3A2/ACAA2/BCAT2/PDP2/NME6/PRDX6/PHYH/ALDH2/MGST3/SCP2/SCO2/TXNRD1/PRDX3/GRPEL1/NDUFS8/FPGS/GPX1/ACADM/CRAT/PYCR1/TSPO/SUOX/ME3/ACP6/SLC25A12/FASN/SLC25A44/ACOT11/ALAS1/SPR/PPOX/NFU1/SLC25A11/CYB5B/NUDT8/HCCS/DHRS4/PDHA1/HSCB/GRPEL2/DBI/GPAT2/MPC1/PRELID1/ACADVL/SFXN1/ISCU/SLC25A3/DGUOK/AK2/HSD17B8/MPST/ALDH1B1/GLUD2/ETFA/ACLY/COQ9/AUH/NME3/HADHB/TST/DLAT/MRPS36/SDSL/FDPS/GLUD1/COQ3/BPHL/GCSH/SLC25A30/MDH2/PPM1K/DLD/PRDX2/PDHB/GLS/TXN2/IDH2/ALDH18A1/PISD/NT5DC2/SERAC1/SLC25A32,up,FALSE
MITOPATHWAYS_OXPHOS,MITOPATHWAYS_OXPHOS,MitoPathways,Treg,SF_vs_PB_Treg,1.33435938,0.315137271,0.0415525342,0.449592116,131,43,COX17/NDUFB2/HIGD1A/COX20/CYCS/NDUFV2/NDUFAF3/COA7/NDUFA6/NDUFA4/COX7A2/COA4/NDUFAF1/TMEM70/NDUFB7/TMEM126B/UQCC2/NDUFAB1/COA3/COX8A/NDUFS4/SCO2/NDUFS6/NDUFS8/COX5A/NDUFAF5/CMC2/CMC1/NDUFS5/HCCS/BCS1L/UQCRQ/COX6C/NDUFB3/NDUFB6/ACAD9/TMEM126A/COX7B/HIGD2A/NDUFA5/NDUFA1/NDUFC1/NDUFS3,up,FALSE
MITOPATHWAYS_Metabolism.Sulfur_metabolism,MITOPATHWAYS_Metabolism.Sulfur_metabolism,MitoPathways,Treg,SF_vs_PB_Treg,1.54956561,0.640641688,0.0420179547,0.449592116,10,6,ETHE1/SUOX/MPST/TST/SLC25A30/SLC25A14,up,FALSE
MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Apoptosis,MITOPATHWAYS_Mitochondrial_dynamics_and_surveillance.Apoptosis,MitoPathways,Treg,SF_vs_PB_Treg,1.42146993,0.445988603,0.0635222448,0.545691276,29,9,BID/BCL2L1/CYCS/AIFM2/CASP9/BAD/IFI27/HTRA2/BNIP3L,up,FALSE
MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.Preprotein_cleavage,MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.Preprotein_cleavage,MitoPathways,Treg,SF_vs_PB_Treg,-1.47808261,-0.643323438,0.0655634133,0.545691276,8,4,XPNPEP3/UQCRC2/PMPCB/IMMP2L,down,FALSE
MITOPATHWAYS_OXPHOS.Complex_IV,MITOPATHWAYS_OXPHOS.Complex_IV,MitoPathways,Treg,SF_vs_PB_Treg,1.38323256,0.396000804,0.0662989401,0.545691276,44,13,COX17/HIGD1A/COX20/COA7/NDUFA4/COX7A2/COA4/COA3/COX8A/SCO2/COX5A/CMC2/CMC1,up,FALSE
MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.TIM23_presequence_pathway,MITOPATHWAYS_Protein_import_sorting_and_homeostasis.Protein_import_and_sorting.TIM23_presequence_pathway,MitoPathways,Treg,SF_vs_PB_Treg,1.45781593,0.699422074,0.0774512333,0.571724692,6,5,ROMO1/TIMM17A/TIMM17B/TIMM50/TIMM23,up,FALSE
MITOPATHWAYS_OXPHOS.Complex_I.CI_subunits,MITOPATHWAYS_OXPHOS.Complex_I.CI_subunits,MitoPathways,Treg,SF_vs_PB_Treg,1.35446569,0.391825845,0.0803876544,0.571724692,42,17,NDUFB2/NDUFV2/NDUFA6/NDUFB7/NDUFAB1/NDUFS4/NDUFS6/NDUFS8/NDUFS5/NDUFB3/NDUFB6/NDUFA5/NDUFA1/NDUFC1/NDUFS3/NDUFA8/MT-ND5,up,FALSE
