pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION,Reactome,Treg,SF_vs_PB_Treg,-3.3930906,-0.803100388,3.03177974e-33,4.76595775e-30,92,80,RPL28/RPL23/RPL10/RPL35/RPL41/RPS9/RPLP1/RPS10/RPS11/RPL36A/RPL24/RPS17/RPS16/RPS19/RPL14/RPL17/RPL15/RPS27A/RPS14/RPL7A/RPS25/RPS15/EEF1A1/RPS29/RPL34/EEF1G/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/EEF1B2/EEF2/RPLP2/RPS3A/RPL7,down,FALSE
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,REACTOME_EUKARYOTIC_TRANSLATION_INITIATION,Reactome,Treg,SF_vs_PB_Treg,-3.24608874,-0.738512478,5.74824345e-31,4.51811935e-28,118,86,RPL35/RPL41/RPS9/EIF3A/EIF4A2/RPLP1/RPS10/RPS11/RPL36A/RPL24/RPS17/RPS16/EIF3K/EIF3G/RPS19/RPL14/EIF3M/RPL17/RPL15/EIF3D/RPS27A/RPS14/RPL7A/RPS25/RPS15/RPS29/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/EIF3H/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/EIF3E/RPL21/RPL37A/RPS15A/EIF4B/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/EIF3F/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/PABPC1/RPL22/RPLP2/EIF3L/EIF2S3/RPS3A/RPL7,down,FALSE
REACTOME_SELENOAMINO_ACID_METABOLISM,REACTOME_SELENOAMINO_ACID_METABOLISM,Reactome,Treg,SF_vs_PB_Treg,-3.29731897,-0.7691836,1.21751517e-30,6.37977947e-28,100,81,CTH/RPLP0/SCLY/RPL28/RPL23/RPL10/RPL35/RPL41/RPS9/RPLP1/RPS10/RPS11/RPL36A/RPL24/SEPHS2/RPS17/RPS16/RPS19/RPL14/RPL17/RPL15/RPS27A/RPS14/SECISBP2/RPL7A/RPS25/RPS15/RPS29/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/RPLP2/RPS3A/RPL7,down,FALSE
REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY,Reactome,Treg,SF_vs_PB_Treg,-3.25604982,-0.760777429,1.1676541099999999e-28,4.58888064e-26,99,78,RPL28/RPL23/RPL10/RPL35/RPL41/RPS9/RPLP1/RPS10/RPS11/RPL36A/RPL24/RPS17/RPS16/RPS19/RPL14/RPL17/IMPACT/RPL15/RPS27A/RPS14/RPL7A/RPS25/RPS15/RPS29/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/RPLP2/EIF2S3/RPS3A/RPL7,down,FALSE
REACTOME_NONSENSE_MEDIATED_DECAY_NMD,REACTOME_NONSENSE_MEDIATED_DECAY_NMD,Reactome,Treg,SF_vs_PB_Treg,-3.14830795,-0.720158396,3.96003502e-27,1.2450350099999999e-24,114,82,SMG7/RPLP0/RPL28/RPL23/UPF3B/RPL10/RPL35/RPL41/RPS9/PNRC2/RPLP1/RPS10/RPS11/SMG6/RPL36A/RPL24/RPS17/RPS16/RPS19/RPL14/RPL17/RPL15/RPS27A/RPS14/RPL7A/RPS25/RPS15/RPS29/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/PABPC1/RPL22/RPLP2/RPS3A/RPL7,down,FALSE
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION,Reactome,Treg,SF_vs_PB_Treg,-3.06429552,-0.68467079,8.40247369e-26,2.20144811e-23,133,85,FAU/IPO5/RANBP2/RPLP0/NUP43/POM121/RPL28/RPL23/RPL10/RPL35/RPL41/RPS9/NUP210/RPLP1/RPS10/RPS11/RPL36A/RPL24/RPS17/RPS16/RPS19/RPL14/RPL17/RPL15/TPR/RPS27A/RPS14/RPL7A/RPS25/RPS15/RPS29/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPS24/NUP88/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/RPLP2/RPS3A/RPL7,down,FALSE
REACTOME_NEUTROPHIL_DEGRANULATION,REACTOME_NEUTROPHIL_DEGRANULATION,Reactome,Treg,SF_vs_PB_Treg,2.39619328,0.501205252,4.48050473e-21,1.00619335e-18,374,192,CTSC/PRDX4/LGALS3/PKM/IQGAP1/SERPINB1/CYSTM1/S100A11/CTSB/CD58/CD63/SURF4/C3AR1/BST2/MVP/HSPA1A/SLC27A2/MIF/CYFIP1/AGPAT2/SLC2A3/LAMP2/ARSA/ATP8B4/PSMD1/DYNLL1/TNFRSF1B/RHOA/NIT2/GPI/ANXA2/GYG1/CYB5R3/HSP90AB1/LRG1/GM2A/PGRMC1/DYNLT1/IMPDH1/STOM/CEACAM1/GRN/CYBA/CTSD/TMEM179B/ITGAX/PGAM1/CD68/FUCA2/FGL2/HEXB/PAFAH1B2/CMTM6/GSN/RAB27A/CPPED1/NEU1/PSMD14/RAB10/MAGT1/PSMC2/PSMB1/CD44/RAP1B/IDH1/GLA/AGA/QSOX1/PA2G4/HLA-B/CTSA/PSMD7/TCN1/VAMP8/ITGAM/CTSZ/MPO/MMP9/DPP7/ACTR10/CD53/QPCT/CSTB/ITGB2/ALDOC/PGM1/SLC15A4/PSMD11/PNP/RHOG/GUSB/PTPRJ/TCIRG1/PLAU/PLEKHO2/PTPRN2/PSMD12/PLAUR/CAP1/HGSNAT/HLA-C/TMEM30A/HSPA1B/RAB3A/PSMC3/ERP44/DOCK2/ATP6AP2/TRPM2/CAB39/ARHGAP9/PRKCD/PRDX6/CD93/A1BG/DYNC1H1/LAMTOR2/PSEN1/NRAS/CTSH/ALDOA/DNAJC3/TICAM2/PSAP/TOLLIP/RAB18/RHOF/CXCR1/PSMB7/IGF2R/CPNE3/ILF2/DIAPH1/DDOST/VCP/PSMD13/FUCA1/B2M/MAN2B1/PDAP1/COPB1/PSMD3/HUWE1/RAP2C/LAMTOR3/NBEAL2/HMOX2/HSPA6/GCA/TRAPPC1/ADAM8/ATP6V0C/CD33/TUBB4B/LAMTOR1/CLEC5A/PSMA5/PTPRC/SNAP23/ROCK1/ORMDL3/ARL8A/LILRB3/RAB7A/FABP5/PYCARD/ARSB/GHDC/ATP6V0A1/ACTR1B/LPCAT1/TUBB/DYNC1LI1/OLR1/NCSTN/PGM2/AMPD3/SRP14/ACLY/ITGAV/PDXK/VAPA/SVIP/APAF1/ATP6V1D/KCNAB2/GSDMD/HSP90AA1/MLEC/HPSE/SDCBP/XRCC6,up,FALSE
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,Reactome,Treg,SF_vs_PB_Treg,-2.93444429,-0.674716241,4.27237365e-20,8.39521421e-18,110,73,RPL35/RPL41/RPS9/RPLP1/RPS10/RPS11/RPL36A/RPL24/RPS17/RPS16/RPS19/RPL14/RPL17/RPL15/RPS27A/RPS14/RPL7A/RPS25/RPS15/RPS29/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/RPLP2/RPS3A/RPL7,down,FALSE
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,REACTOME_CELLULAR_RESPONSE_TO_STARVATION,Reactome,Treg,SF_vs_PB_Treg,-2.79505058,-0.616703381,9.03387485e-20,1.57791681e-17,145,80,RPL35/RPL41/RPS9/RPLP1/ATP6V1E2/RPS10/RPS11/RPL36A/RPL24/RPS17/RPS16/SESN1/RPS19/RPL14/RPL17/IMPACT/RPL15/FLCN/RPS27A/RPS14/RPTOR/RPL7A/RPS25/RPS15/RPS29/RPL34/FNIP2/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/RPLP2/EIF2S3/RPS3A/RPL7,down,FALSE
REACTOME_INFLUENZA_INFECTION,REACTOME_INFLUENZA_INFECTION,Reactome,Treg,SF_vs_PB_Treg,-2.7528849,-0.602193293,2.47005551e-19,3.88292726e-17,154,88,FAU/IPO5/PABPN1/KPNA5/RANBP2/RPLP0/NUP43/SLC25A6/POM121/RPL28/RPL23/RPL10/RPL35/RPL41/RPS9/NUP210/RPLP1/RPS10/RPS11/RPL36A/RPL24/RPS17/RPS16/RPS19/RPL14/RPL17/RPL15/TPR/RPS27A/RPS14/RPL7A/RPS25/RPS15/RPS29/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPS24/NUP88/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/RPLP2/RPS3A/RPL7,down,FALSE
