pathway_id,pathway_name,database,population,contrast,nes,enrichment_score,pvalue,padj,set_size,leading_edge_size,core_enrichment,direction,is_pooled_alias
WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,WP_CYTOPLASMIC_RIBOSOMAL_PROTEINS,WikiPathways,Treg,SF_vs_PB_Treg,-3.45468937,-0.830125045,6.701109799999999e-36,5.60212779e-33,86,80,RPLP0/RPS6KA3/RPL28/RPL23/RPL10/RPL35/RPL41/RPS9/RPLP1/RPS10/RPS11/RPL36A/RPL24/RPS17/RPS16/RPS19/RPL14/RPL17/RPL15/RPS6KA1/RPS6KA2/RPS27A/RPS14/RPL7A/RPS25/RPS15/RPS29/RPL34/RPL35A/RPL19/RPL18A/RPL26/RPS24/RPL6/RPL12/UBA52/RPL11/RPL8/RPS20/RPL18/RPSA/RPS4X/RPL30/RPL38/RPS7/RPL32/RPL36/RPS27/RPL10A/RPL13/RPS28/RPL9/RPL27A/RPL27/RPL23A/RPL21/RPL37A/RPS15A/RPS12/RPL39/RPL31/RPS2/RPL29/RPS3/RPS5/RPS21/RPL5/RPL13A/RPS8/RPS23/RPL3/RPS18/RPS6/RPS13/RPL4/RPL37/RPL22/RPLP2/RPS3A/RPL7,down,FALSE
WP_ALLOGRAFT_REJECTION,WP_ALLOGRAFT_REJECTION,WikiPathways,Treg,SF_vs_PB_Treg,2.54662897,0.674167134,2.06641353e-11,7.01096275e-9,66,34,CXCL13/HLA-DQA2/HLA-DMA/FOXP3/IL2RA/IL10/HLA-DRB1/HLA-DQB1/HLA-DRA/HLA-DRB5/TNF/CD80/FASLG/CTLA4/HLA-DPB1/VIM/HLA-DPA1/HLA-DQA1/GZMB/GNLY/HLA-DMB/COL5A1/HLA-A/HLA-B/IL1A/CASP9/PRF1/HLA-F/HLA-C/C1QA/C1QB/CASP7/C1QC/FAS,up,FALSE
WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,WP_CYTOKINECYTOKINE_RECEPTOR_INTERACTION,WikiPathways,Treg,SF_vs_PB_Treg,2.34302182,0.549253872,2.51589572e-11,7.01096275e-9,140,58,CXCR6/TNFRSF4/IL1RN/CXCL13/IL2RB/CCR1/TNFRSF18/CCL4/TNFRSF12A/IL23R/CCR5/IL2RA/IL10/CD70/IL12RB2/TNFRSF8/CSF1/TNF/IL1R1/IL2RG/FASLG/LTA/IFNGR1/IL18RAP/IL1R2/CCL20/CLCF1/CCL5/CSF2/TNFRSF1B/IL4R/CCL4L2/IL26/CCL3/CCL23/TNFRSF13B/IL7/XCL1/CCR2/IL15RA/IL1A/CXCL16/CCL22/TNFSF12/CXCR4/TNFRSF9/TNFSF4/IL12RB1/LIF/IL1RAP/CCR8/CXCR1/IL18R1/FAS/IFNL1/IL21R/TGFBR1/CD27,up,FALSE
WP_PROTEASOME_DEGRADATION,WP_PROTEASOME_DEGRADATION,WikiPathways,Treg,SF_vs_PB_Treg,2.52745655,0.681104784,4.56225962e-11,9.5351226e-9,60,35,PSMD1/PSMD10/PSMB5/PSMC1/PSMB6/PSMC2/PSMB1/HLA-A/RPN2/PSMA7/PSMD8/HLA-B/PSMD7/RPN1/PSMB3/PSMD11/PSMA6/HLA-F/PSMD12/HLA-C/PSMC3/PSME2/PSMA3/UBC/UBB/PSMC4/NEDD4/PSMB7/PSMD13/UBE2B/PSMD9/PSMB2/PSMD3/PSMA5/IFNG,up,FALSE
WP_MIRTARGETED_GENES_IN_MUSCLE_CELL,WP_MIRTARGETED_GENES_IN_MUSCLE_CELL,WikiPathways,Treg,SF_vs_PB_Treg,1.95097426,0.4185448,4.19314514e-9,6.39386406e-7,288,114,CDKN1A/CTSC/PKM/LUZP1/HYAL3/CDK6/PDLIM7/CSF1/CBFB/TMED10/MYO1E/MTHFD2/NOTCH1/P4HA2/TMEM43/TMED3/NFIA/NUCB1/LAMTOR5/ARF4/RHEB/TPM3/PGRMC1/CORO1C/PICALM/GALNT1/CTNNB1/NAPG/PAFAH1B2/NCEH1/SH3BGRL3/MAGT1/PRKCI/BACH1/ARHGDIA/SRPRB/NCOA3/FNDC3B/MRPL20/KRAS/CAPG/VEZT/ITGA2/SYPL1/ACP2/PGM1/SYNE2/TPM4/FAR1/TM6SF1/CHMP2A/RHOG/ABHD10/PTPRJ/SLC25A24/PPIB/CSRP1/TRAM1/TMEM109/ACAA2/ATP6V0E1/SPCS3/EIF4E/NOTCH2/SLC38A5/ATP2A2/TMED2/YWHAQ/NF2/TXNRD1/NEDD4/IGF2R/CYP51A1/GEMIN7/SCYL1/PTPLAD1/PPP2R4/SNX15/RBMS1/RARS/SRF/RQCD1/SSNA1/LAMTOR3/TMEM87A/GFPT1/HMOX1/DOCK5/TMED7/PANX1/SEC24A/NRP1/TPM1/SNX6/HSD17B12/TDG/SNAP23/FADS2/ELMOD2/SLC1A4/GRPEL2/RAB27B/ATP6V0A1/MAPK7/SFXN1/PPP3CA/RAB34/SLC12A4/ADIPOR2/KDELC2/GNA13/ERBB3/CDCP1/ARCN1,up,FALSE
WP_MIRTARGETED_GENES_IN_LYMPHOCYTES,WP_MIRTARGETED_GENES_IN_LYMPHOCYTES,WikiPathways,Treg,SF_vs_PB_Treg,1.87882105,0.393747926,4.58889765e-9,6.39386406e-7,365,115,CDKN1A/CTSC/PKM/LUZP1/SERPINE2/RHOB/CDK6/PDLIM7/CBFB/KCNN4/TMED10/MYO1E/MTHFD2/NOTCH1/P4HA2/TMEM43/TMED3/NFIA/NUCB1/LAMTOR5/ARF4/RHEB/ANXA2/TPM3/PGRMC1/PTRH1/CORO1C/PICALM/GALNT1/CTNNB1/NAPG/ATP6V1F/PAFAH1B2/NCEH1/SH3BGRL3/PPP5C/MAGT1/PRKCI/BACH1/IDH1/YIF1B/ARHGDIA/SRPRB/NCOA3/FNDC3B/MRPL20/KRAS/UNC93B1/TUBA1A/TMEM59/CAPG/VEZT/ITGA2/GAS2L1/SYPL1/ACP2/PGM1/SYNE2/TPM4/VTI1B/FAR1/TM6SF1/PNP/CHMP2A/RHOG/ABHD10/PTPRJ/SLC25A24/PPIB/CAP1/CSRP1/TRAM1/TMEM109/ACAA2/ATP6V0E1/SPCS3/EIF4E/NOTCH2/ATP2A2/TMED2/MSI2/YWHAQ/NF2/TXNRD1/NEDD4/IGF2R/FADS1/CYP51A1/GEMIN7/SCYL1/PTPLAD1/PPP2R4/SNX15/RBMS1/RARS/RQCD1/VAMP3/SSNA1/LAMTOR3/GFPT1/HMOX1/DOCK5/TMED7/PANX1/SEC24A/NRP1/TPM1/SNX6/HSD17B12/TDG/SNAP23/FADS2/ELMOD2/SLC1A4/MPDU1,up,FALSE
WP_INTEGRATIVE_ANALYSIS_OF_TREGGLIAL_INTERACTIONS,WP_INTEGRATIVE_ANALYSIS_OF_TREGGLIAL_INTERACTIONS,WikiPathways,Treg,SF_vs_PB_Treg,2.29057348,0.583127694,7.22230506e-9,8.62549576e-7,82,37,LGALS3/PDCD1/IL2RB/FOXP3/IL2RA/IL10/STAT4/OSM/EBI3/MCAM/IL12RB2/LGALS1/TNF/IL2RG/CD80/CTLA4/STAT3/PDGFA/CD4/CCL20/TNFRSF1B/CD274/CD68/HEXB/CNP/CD44/MMP9/ITGA2/IL12RB1/FOXO1/IL1RAP/NFKB2/CCR8/CASP1/TGFBR1/JAK3/VEGFA,up,FALSE
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,WikiPathways,Treg,SF_vs_PB_Treg,2.34392891,0.655360826,2.52104502e-8,2.63449205e-6,50,22,IL1RN/CXCL13/CCL4/IL10/OSM/EBI3/CSF1/TNF/LTA/CCL20/CCL5/CSF2/CCL4L2/IL26/CCL3/CCL23/IL7/XCL1/IL1A/MMP9/CXCL16/CCL22,up,FALSE
WP_T_CELL_MODULATION_AND_DESMOPLASIA_IN_PANCREATIC_CANCER,WP_T_CELL_MODULATION_AND_DESMOPLASIA_IN_PANCREATIC_CANCER,WikiPathways,Treg,SF_vs_PB_Treg,2.35394823,0.675579597,4.22300618e-8,3.92270352e-6,44,23,TNFRSF4/LGALS3/PDCD1/IL10/TIGIT/VDR/LGALS1/CD80/FASLG/CTLA4/CD276/PDGFA/ENTPD1/HAVCR2/CD274/HLA-A/CD226/PDCD1LG2/CCL22/CXCR4/TNFRSF9/TNFSF4/ICOS,up,FALSE
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING,WikiPathways,Treg,SF_vs_PB_Treg,2.00402661,0.449978829,6.57531583e-8,5.49696403e-6,193,72,IFI6/DDIT4/CXCL13/CCL4/CCR5/CTSB/IL10/HLA-DRB1/CD2/HLA-DRA/HLA-DRB5/BST2/NTRK1/TNF/G3BP2/BID/ERLEC1/IL18RAP/CD4/IL1R2/CCL20/CCL5/RHEB/LRG1/IFITM3/EIF4EBP1/CTSD/CCL3/IL7/MX1/HIF1A/GSN/CD226/FOS/CTSZ/IL1A/ITGA3/CASP9/CXCL16/CCL22/TP53I3/EGR1/IFI44L/CTSL/MAPK8/SERPINE1/TRPM2/EIF4E/TRAF3/ATP6AP1/RRAS/FN1/IFIT1/IFI27/NFKB2/TBK1/CXCR1/OS9/AKT1/SRP54/CCL2/MIB1/IKBKG/ACTB/CLCC1/LGALS3BP/MAP1LC3B/PITRM1/VPS16/TRAF2/CXCL10/IFNG,up,FALSE
