population,sample_id,donor,tissue,n_cells,pathway_name,activity,pvalue,n_genes_scored
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,Androgen,0.281815514,0.77808914,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,Androgen,1.7041835,0.0883690027,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,Androgen,-1.35288206,0.17611516,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,Androgen,0.200935072,0.840752262,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,Androgen,-0.585456369,0.558250333,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,Androgen,-0.726787776,0.467368125,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,Androgen,0.141648328,0.88735983,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,Androgen,0.140903932,0.887947863,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,Androgen,0.289463166,0.77223125,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,Androgen,-1.34092959,0.17996507,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,Androgen,-0.863391362,0.387937119,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,Androgen,2.40247742,0.0162973775,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,Androgen,0.313172438,0.754154323,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,EGFR,3.57171964,3.55834745e-4,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,EGFR,-2.14466835,0.0319965338,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,EGFR,4.66600292,3.09960093e-6,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,EGFR,-4.43320169,9.35503904e-6,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,EGFR,3.54757501,3.90066707e-4,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,EGFR,2.50427711,0.0122814698,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,EGFR,-2.93137205,0.00338014174,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,EGFR,2.87207609,0.00408397149,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,EGFR,-4.93074454,8.28558169e-7,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,EGFR,0.91905736,0.358081406,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,EGFR,-7.19298646,6.66071115e-13,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,EGFR,4.15482476,3.27470317e-5,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,EGFR,-1.05398556,0.291907717,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,Estrogen,-0.188633016,0.850383189,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,Estrogen,-0.988931225,0.322713884,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,Estrogen,-2.8842559,0.00392938094,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,Estrogen,1.71225611,0.0868716275,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,Estrogen,-1.05850899,0.289841716,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,Estrogen,0.468880253,0.639162534,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,Estrogen,2.35511388,0.0185307527,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,Estrogen,-1.36041167,0.173721592,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,Estrogen,0.82394701,0.409983705,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,Estrogen,-1.5086693,0.131405882,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,Estrogen,1.77031212,0.0766969199,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,Estrogen,-0.763061097,0.445439817,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,Estrogen,1.39996998,0.16154447,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,Hypoxia,4.89216164,1.00843509e-6,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,Hypoxia,-1.83968925,0.0658350336,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,Hypoxia,-0.358884544,0.719686875,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,Hypoxia,-3.55136994,3.84489862e-4,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,Hypoxia,5.51035146,3.6444393499999997e-08,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,Hypoxia,9.56106528,1.3566010200000001e-21,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,Hypoxia,-3.05836107,0.00222971473,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,Hypoxia,-0.887016976,0.375084999,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,Hypoxia,-4.7817108,1.75579075e-6,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,Hypoxia,-0.751001468,0.452664396,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,Hypoxia,-7.50921019,6.30767526e-14,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,Hypoxia,3.15346653,0.00161684634,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,Hypoxia,-1.49945376,0.133778505,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,JAK-STAT,13.2343595,9.6267356e-40,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,JAK-STAT,-1.38229312,0.166903771,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,JAK-STAT,0.814601375,0.41531438,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,JAK-STAT,-10.2726061,1.145571e-24,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,JAK-STAT,18.295569,6.509922119999999e-74,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,JAK-STAT,5.72115342,1.07968346e-8,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,JAK-STAT,-6.38414402,1.77793967e-10,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,JAK-STAT,-1.97267016,0.0485527996,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,JAK-STAT,-6.81401679,9.87894352e-12,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,JAK-STAT,4.98267007,6.3461482e-7,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,JAK-STAT,-5.64641771,1.67009402e-8,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,JAK-STAT,-2.3250329,0.0200844238,14014
CD8,JIA_patient_7|peripheral_blood|CD8,JIA_patient_7,peripheral_blood,2861,JAK-STAT,-8.22887178,2.05549301e-16,14014
CD8,JIA_patient_1|synovial_fluid|CD8,JIA_patient_1,synovial_fluid,2787,MAPK,-0.743383121,0.457262236,14014
CD8,JIA_patient_1|peripheral_blood|CD8,JIA_patient_1,peripheral_blood,2547,MAPK,-1.27071561,0.203850958,14014
CD8,JIA_patient_2|synovial_fluid|CD8,JIA_patient_2,synovial_fluid,2545,MAPK,-2.63112501,0.00851959716,14014
CD8,JIA_patient_2|peripheral_blood|CD8,JIA_patient_2,peripheral_blood,1637,MAPK,-0.353237568,0.723915665,14014
CD8,JIA_patient_3|synovial_fluid|CD8,JIA_patient_3,synovial_fluid,2478,MAPK,-0.340646478,0.733374847,14014
CD8,JIA_patient_4|synovial_fluid|CD8,JIA_patient_4,synovial_fluid,2502,MAPK,1.18029479,0.237903045,14014
CD8,JIA_patient_4|peripheral_blood|CD8,JIA_patient_4,peripheral_blood,2675,MAPK,-1.91598822,0.0553869396,14014
CD8,JIA_patient_5|synovial_fluid|CD8,JIA_patient_5,synovial_fluid,2648,MAPK,0.73786006,0.46061186,14014
CD8,JIA_patient_5|peripheral_blood|CD8,JIA_patient_5,peripheral_blood,2786,MAPK,-0.916516123,0.359412043,14014
CD8,JIA_patient_6|synovial_fluid|CD8,JIA_patient_6,synovial_fluid,3287,MAPK,1.98297637,0.0473895808,14014
CD8,JIA_patient_6|peripheral_blood|CD8,JIA_patient_6,peripheral_blood,3311,MAPK,3.444075,5.74694844e-4,14014
CD8,JIA_patient_7|synovial_fluid|CD8,JIA_patient_7,synovial_fluid,2763,MAPK,1.92539771,0.054199855,14014
