population,thread,thread_order,pathway_id,display_label,database,direction,nes,pvalue,padj,padj_pooled,tested,significant_pooled,set_size,leading_edge_size,rank_padj_pooled,rank_nes_signed,rank_nes_abs,n_tests_pooled,n_sig_pooled
Treg,mouse 39 °C-derived arms,1,KO_heat_up,KO_heat_up,mouse_projection,up,2.56445948,2.86231257e-15,8.58693771e-15,1.11975642e-12,TRUE,TRUE,132,69,29,5,29,11345,1491
Treg,mouse 39 °C-derived arms,1,WT_heat_up,WT_heat_up,mouse_projection,up,2.59163282,1.01402716e-14,1.52104074e-14,3.71101231e-12,TRUE,TRUE,119,65,31,3,22,11345,1491
Treg,mouse 39 °C-derived arms,1,Interaction_up,Interaction_up,mouse_projection,up,1.47131897,0.0683580264,0.0683580264,0.236439576,TRUE,FALSE,6,5,3280,2609,2800,11345,1491
Treg,hypoxia,2,HALLMARK_HYPOXIA,HALLMARK HYPOXIA,Hallmark,up,2.2562687,4.75409476e-10,2.37704738e-9,5.86252229e-8,TRUE,TRUE,139,63,92,106,137,11345,1491
Treg,type-I interferon,3,ifn_only_up,ifn_only_up,sting_axes,up,2.31582852,2.40883101e-8,4.81766202e-8,1.74064891e-6,TRUE,TRUE,60,24,157,70,99,11345,1491
Treg,cGAS-STING,4,sting_specific_up,sting_specific_up,sting_axes,up,1.51866801,0.0509026453,0.0509026453,0.196091854,TRUE,FALSE,12,6,2945,2267,2420,11345,1491
Treg,cGAS-STING,4,GOBP_NEGATIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY,GOBP NEGATIVE REGULATION OF CGAS STING SIGNALING PATHWAY,GO_BP,up,0.978513589,0.48535919,0.701256042,0.711777695,TRUE,FALSE,13,4,7735,6533,7785,11345,1491
Treg,cGAS-STING,4,WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19,WP STING PATHWAY IN KAWASAKILIKE DISEASE AND COVID19,WikiPathways,up,0.944016365,0.531549483,0.700173593,0.744346803,TRUE,FALSE,16,7,8101,6779,8165,11345,1491
Treg,cGAS-STING,4,GOBP_POSITIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY,GOBP POSITIVE REGULATION OF CGAS STING SIGNALING PATHWAY,GO_BP,down,-0.884858598,0.617842049,0.79205549,0.800678797,TRUE,FALSE,5,2,8754,9700,8821,11345,1491
Treg,cGAS-STING,4,GOBP_CGAS_STING_SIGNALING_PATHWAY,GOBP CGAS STING SIGNALING PATHWAY,GO_BP,up,0.869530222,0.64869899,0.808035942,0.81753944,TRUE,FALSE,22,6,9002,7271,8973,11345,1491
Treg,cGAS-STING,4,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES,REACTOME STING MEDIATED INDUCTION OF HOST IMMUNE RESPONSES,Reactome,up,0.826979655,0.687016387,0.84506241,0.842434167,TRUE,FALSE,10,5,9252,7547,9410,11345,1491
Tcon,mouse 39 °C-derived arms,1,KO_heat_up,KO_heat_up,mouse_projection,up,2.65073453,5.95008254e-17,1.13754876e-16,1.91195986e-14,TRUE,TRUE,143,74,36,3,34,11568,2153
Tcon,mouse 39 °C-derived arms,1,WT_heat_up,WT_heat_up,mouse_projection,up,2.68020613,7.58365842e-17,1.13754876e-16,2.30862528e-14,TRUE,TRUE,130,71,38,2,31,11568,2153
Tcon,mouse 39 °C-derived arms,1,Interaction_up,Interaction_up,mouse_projection,up,1.40300883,0.105341968,0.105341968,0.26393673,TRUE,FALSE,6,3,4617,3750,4124,11568,2153
Tcon,hypoxia,2,HALLMARK_HYPOXIA,HALLMARK HYPOXIA,Hallmark,up,2.21171713,9.12538434e-10,5.06965797e-9,7.91842718e-8,TRUE,TRUE,153,61,132,144,190,11568,2153
Tcon,type-I interferon,3,ifn_only_up,ifn_only_up,sting_axes,up,2.33505364,1.55644528e-8,3.11289056e-8,9.47629421e-7,TRUE,TRUE,71,30,190,69,110,11568,2153
Tcon,cGAS-STING,4,sting_specific_up,sting_specific_up,sting_axes,up,1.87446061,0.00227960686,0.00227960686,0.0182242517,TRUE,TRUE,15,8,1447,815,887,11568,2153
Tcon,cGAS-STING,4,WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19,WP STING PATHWAY IN KAWASAKILIKE DISEASE AND COVID19,WikiPathways,up,1.37195647,0.105397881,0.225700513,0.264019638,TRUE,FALSE,17,6,4618,3999,4421,11568,2153
Tcon,cGAS-STING,4,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES,REACTOME STING MEDIATED INDUCTION OF HOST IMMUNE RESPONSES,Reactome,up,1.17055546,0.273667236,0.476906063,0.476553799,TRUE,FALSE,10,3,6642,5609,6470,11568,2153
Tcon,cGAS-STING,4,GOBP_NEGATIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY,GOBP NEGATIVE REGULATION OF CGAS STING SIGNALING PATHWAY,GO_BP,down,-0.844443323,0.676161177,0.798300314,0.810972784,TRUE,FALSE,15,4,9645,9608,9685,11568,2153
Tcon,cGAS-STING,4,GOBP_CGAS_STING_SIGNALING_PATHWAY,GOBP CGAS STING SIGNALING PATHWAY,GO_BP,down,-0.844668947,0.700630067,0.815283647,0.82711385,TRUE,FALSE,24,7,9799,9609,9684,11568,2153
Tcon,cGAS-STING,4,GOBP_POSITIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY,GOBP POSITIVE REGULATION OF CGAS STING SIGNALING PATHWAY,GO_BP,down,-0.793260839,0.720850959,0.825400754,0.837649813,TRUE,FALSE,5,2,9955,9410,10148,11568,2153
CD8,mouse 39 °C-derived arms,1,KO_heat_up,KO_heat_up,mouse_projection,up,2.08040011,1.27999422e-7,2.2318663e-7,1.41060334e-5,TRUE,TRUE,125,55,103,63,131,11351,1028
CD8,mouse 39 °C-derived arms,1,WT_heat_up,WT_heat_up,mouse_projection,up,2.07119654,1.48791087e-7,2.2318663e-7,1.59332795e-5,TRUE,TRUE,113,49,106,74,142,11351,1028
CD8,mouse 39 °C-derived arms,1,Interaction_up,Interaction_up,mouse_projection,up,1.54246779,0.0347432867,0.0347432867,0.172289667,TRUE,FALSE,6,4,2289,1558,1862,11351,1028
CD8,hypoxia,2,HALLMARK_HYPOXIA,HALLMARK HYPOXIA,Hallmark,up,1.7908442,2.37955039e-5,1.1897752e-4,0.00111153401,TRUE,TRUE,141,47,243,435,546,11351,1028
CD8,type-I interferon,3,ifn_only_up,ifn_only_up,sting_axes,up,2.60566947,2.04961642e-12,4.09923285e-12,5.05765131e-10,TRUE,TRUE,58,38,46,1,40,11351,1028
CD8,cGAS-STING,4,sting_specific_up,sting_specific_up,sting_axes,up,1.6699546,0.0141559493,0.0141559493,0.102021702,TRUE,FALSE,12,6,1575,813,992,11351,1028
CD8,cGAS-STING,4,REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES,REACTOME STING MEDIATED INDUCTION OF HOST IMMUNE RESPONSES,Reactome,up,1.15574382,0.291686212,0.540133894,0.55405182100000006,TRUE,FALSE,10,3,5975,4628,5747,11351,1028
CD8,cGAS-STING,4,WP_STING_PATHWAY_IN_KAWASAKILIKE_DISEASE_AND_COVID19,WP STING PATHWAY IN KAWASAKILIKE DISEASE AND COVID19,WikiPathways,up,0.844666173,0.677703025,0.800133017,0.82374397,TRUE,FALSE,16,10,9338,7071,9389,11351,1028
CD8,cGAS-STING,4,GOBP_NEGATIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY,GOBP NEGATIVE REGULATION OF CGAS STING SIGNALING PATHWAY,GO_BP,up,0.791636444,0.745448343,0.858758542,0.860835653,TRUE,FALSE,13,3,9829,7405,9909,11351,1028
CD8,cGAS-STING,4,GOBP_CGAS_STING_SIGNALING_PATHWAY,GOBP CGAS STING SIGNALING PATHWAY,GO_BP,up,0.580518574,0.96623354,0.98204278,0.98463131,TRUE,FALSE,21,3,11138,8118,11081,11351,1028
CD8,cGAS-STING,4,GOBP_POSITIVE_REGULATION_OF_CGAS_STING_SIGNALING_PATHWAY,GOBP POSITIVE REGULATION OF CGAS STING SIGNALING PATHWAY,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,11351,1028
