population,band_label,size_low,size_high,n_sets_tested,n_pooled_significant,frac_pooled_significant
Treg,5 to 9 genes,5,9,3409,93,0.0272807275
Treg,10 to 22 genes,10,22,3360,205,0.0610119048
Treg,23 to 49 genes,23,49,2227,289,0.129770992
Treg,50 to 99 genes,50,99,1402,364,0.259629101
Treg,100 to 129 genes,100,129,392,131,0.334183673
Treg,130 to 150 genes,130,150,156,68,0.435897436
Treg,151 to 249 genes,151,249,397,193,0.486146096
Treg,250 to 500 genes,250,500,171,100,0.584795322
Tcon,5 to 9 genes,5,9,3421,121,0.0353697749
Tcon,10 to 22 genes,10,22,3451,285,0.082584758
Tcon,23 to 49 genes,23,49,2278,463,0.203248464
Tcon,50 to 99 genes,50,99,1432,521,0.363826816
Tcon,100 to 129 genes,100,129,393,178,0.452926209
Tcon,130 to 150 genes,130,150,176,83,0.471590909
Tcon,151 to 249 genes,151,249,417,265,0.635491607
Tcon,250 to 500 genes,250,500,184,127,0.690217391
CD8,5 to 9 genes,5,9,3415,54,0.0158125915
CD8,10 to 22 genes,10,22,3367,118,0.035046035
CD8,23 to 49 genes,23,49,2230,158,0.0708520179
CD8,50 to 99 genes,50,99,1392,215,0.154454023
CD8,100 to 129 genes,100,129,397,101,0.25440806
CD8,130 to 150 genes,130,150,162,47,0.290123457
CD8,151 to 249 genes,151,249,399,153,0.383458647
CD8,250 to 500 genes,250,500,170,93,0.547058824
