"pathway_id","scored_in_population","contrast","nes","pvalue","padj","set_size","direction","seed_population","gate","gse","seeded_from_this_population","n_genes","n_seed_genes","frac_seed_genes","pctVar","hit_rank","terms_aligned_with_query"
"CORESH_cd8_up_fdr_logfc_GSE89134","cd8","SF_vs_PB_CD8",2.3326175,7.41874781e-08,2.59656174e-07,47,"Up","cd8","fdr_logfc","GSE89134",TRUE,50,29,0.58,10.6983521,1,"isolated / total / total / mrna / isolated"
"CORESH_cd8_up_fdr_logfc_GSE89134","tcon","SF_vs_PB_Tcon",2.35387772,4.62855342e-08,1.21499527e-07,46,"Up","cd8","fdr_logfc","GSE89134",FALSE,50,29,0.58,10.6983521,1,"isolated / total / total / mrna / isolated"
"CORESH_cd8_up_fdr_logfc_GSE89134","treg","SF_vs_PB_Treg",1.89814288,0.000340568929,0.000595995626,47,"Up","cd8","fdr_logfc","GSE89134",FALSE,50,29,0.58,10.6983521,1,"isolated / total / total / mrna / isolated"
"CORESH_cd8_up_fdr_logfc_GSE153098","cd8","SF_vs_PB_CD8",2.65634513,1.20465716e-12,8.43260015e-12,46,"Up","cd8","fdr_logfc","GSE153098",TRUE,49,31,0.632653061,9.79578938,2,"melanoma / tumor / cd8til / pt15"
"CORESH_cd8_up_fdr_logfc_GSE153098","tcon","SF_vs_PB_Tcon",2.72753974,5.6326628e-13,5.91429594e-12,45,"Up","cd8","fdr_logfc","GSE153098",FALSE,49,31,0.632653061,9.79578938,2,"melanoma / tumor / cd8til / pt15"
"CORESH_cd8_up_fdr_logfc_GSE153098","treg","SF_vs_PB_Treg",2.7051686,4.77453591e-13,1.00265254e-11,44,"Up","cd8","fdr_logfc","GSE153098",FALSE,49,31,0.632653061,9.79578938,2,"melanoma / tumor / cd8til / pt15"
"CORESH_cd8_up_fdr_logfc_GSE110097","cd8","SF_vs_PB_CD8",2.25458722,5.88999581e-07,1.76699874e-06,46,"Up","cd8","fdr_logfc","GSE110097",TRUE,50,22,0.44,9.4690944,3,"anti-cd28 / th17cd28 / th0cd28"
"CORESH_cd8_up_fdr_logfc_GSE110097","tcon","SF_vs_PB_Tcon",2.51130701,6.46807743e-10,2.2638271e-09,46,"Up","cd8","fdr_logfc","GSE110097",FALSE,50,22,0.44,9.4690944,3,"anti-cd28 / th17cd28 / th0cd28"
"CORESH_cd8_up_fdr_logfc_GSE110097","treg","SF_vs_PB_Treg",2.30089057,1.45838879e-07,1.02087215e-06,46,"Up","cd8","fdr_logfc","GSE110097",FALSE,50,22,0.44,9.4690944,3,"anti-cd28 / th17cd28 / th0cd28"
"CORESH_cd8_up_fdr_logfc_GSE222740","cd8","SF_vs_PB_CD8",1.54286005,0.019833452,0.0231390273,44,"Up","cd8","fdr_logfc","GSE222740",TRUE,50,25,0.5,9.23372714,4,"expansion / feeder / expanded / cells / with"
"CORESH_cd8_up_fdr_logfc_GSE222740","tcon","SF_vs_PB_Tcon",1.92169029,0.000369308689,0.000517032165,44,"Up","cd8","fdr_logfc","GSE222740",FALSE,50,25,0.5,9.23372714,4,"expansion / feeder / expanded / cells / with"
"CORESH_cd8_up_fdr_logfc_GSE222740","treg","SF_vs_PB_Treg",1.49024493,0.0322249071,0.0483373607,43,"Up","cd8","fdr_logfc","GSE222740",FALSE,50,25,0.5,9.23372714,4,"expansion / feeder / expanded / cells / with"
"CORESH_cd8_up_fdr_logfc_GSE141645","cd8","SF_vs_PB_CD8",2.39705129,1.6636481e-08,6.98732203e-08,48,"Up","cd8","fdr_logfc","GSE141645",TRUE,50,31,0.62,8.87467851,5,"activated / dmso / lymphocytes-9927 / d710 / d712"
"CORESH_cd8_up_fdr_logfc_GSE141645","tcon","SF_vs_PB_Tcon",2.49518894,2.54319749e-09,7.62959248e-09,49,"Up","cd8","fdr_logfc","GSE141645",FALSE,50,31,0.62,8.87467851,5,"activated / dmso / lymphocytes-9927 / d710 / d712"
"CORESH_cd8_up_fdr_logfc_GSE141645","treg","SF_vs_PB_Treg",1.95995028,0.000146322655,0.000294741319,50,"Up","cd8","fdr_logfc","GSE141645",FALSE,50,31,0.62,8.87467851,5,"activated / dmso / lymphocytes-9927 / d710 / d712"
"CORESH_cd8_up_fdr_only_GSE123290","cd8","SF_vs_PB_CD8",-1.8813055,0.00051064699,0.000824891291,47,"Down","cd8","fdr_only","GSE123290",TRUE,50,10,0.2,19.3096738,4,"l007 / parental / adherent-analysis / cells"
"CORESH_cd8_up_fdr_only_GSE123290","tcon","SF_vs_PB_Tcon",-1.60359398,0.00954028901,0.0117850629,49,"Down","cd8","fdr_only","GSE123290",FALSE,50,10,0.2,19.3096738,4,"l007 / parental / adherent-analysis / cells"
"CORESH_cd8_up_fdr_only_GSE123290","treg","SF_vs_PB_Treg",-1.24265989,0.135931774,0.157015768,49,"Down","cd8","fdr_only","GSE123290",FALSE,50,10,0.2,19.3096738,4,"l007 / parental / adherent-analysis / cells"
"CORESH_cd8_up_fdr_only_GSE110390","cd8","SF_vs_PB_CD8",-2.51853121,3.90484426e-09,2.05004324e-08,49,"Down","cd8","fdr_only","GSE110390",TRUE,50,6,0.12,18.9675128,5,"nsclc / advanced-stage-small-cell / carcinoma / lung"
"CORESH_cd8_up_fdr_only_GSE110390","tcon","SF_vs_PB_Tcon",-2.20606134,3.02114003e-06,5.76763097e-06,49,"Down","cd8","fdr_only","GSE110390",FALSE,50,6,0.12,18.9675128,5,"nsclc / advanced-stage-small-cell / carcinoma / lung"
"CORESH_cd8_up_fdr_only_GSE110390","treg","SF_vs_PB_Treg",-1.92165865,0.00015438831,0.000294741319,49,"Down","cd8","fdr_only","GSE110390",FALSE,50,6,0.12,18.9675128,5,"nsclc / advanced-stage-small-cell / carcinoma / lung"
