"population","gate","query_name","rank","gse","gpl","pctVar","query_genes_in_dataset","became_module"
"treg","fdr_only","treg_up_fdr_only",1,"GSE237034","GPL24676",18.6493394,1617,TRUE
"treg","fdr_only","treg_up_fdr_only",2,"GSE200469","GPL20301",17.8606717,1721,TRUE
"treg","fdr_only","treg_up_fdr_only",3,"GSE202919","GPL24676",17.6176759,1654,TRUE
"treg","fdr_only","treg_up_fdr_only",4,"GSE226391","GPL24676",17.6176759,1654,FALSE
"treg","fdr_only","treg_up_fdr_only",5,"GSE181061","GPL18573",17.5096224,1716,TRUE
"treg","fdr_only","treg_up_fdr_only",6,"GSE181064","GPL18573",17.5096224,1716,FALSE
"treg","fdr_only","treg_up_fdr_only",7,"GSE220730","GPL16791",16.9233175,1600,FALSE
"treg","fdr_only","treg_up_fdr_only",8,"GSE118383","GPL15520",16.7990543,1645,FALSE
"treg","fdr_only","treg_up_fdr_only",9,"GSE210356","GPL24676",16.7787401,1614,FALSE
"treg","fdr_only","treg_up_fdr_only",10,"GSE229791","GPL24676",16.7482649,1738,FALSE
"treg","fdr_logfc","treg_up_fdr_logfc",1,"GSE110097","GPL18573",7.59606857,380,TRUE
"treg","fdr_logfc","treg_up_fdr_logfc",2,"GSE199729","GPL11154",7.29497798,397,TRUE
"treg","fdr_logfc","treg_up_fdr_logfc",3,"GSE114065","GPL20301",7.27642323,335,TRUE
"treg","fdr_logfc","treg_up_fdr_logfc",4,"GSE114135","GPL20301",7.27642323,335,FALSE
"treg","fdr_logfc","treg_up_fdr_logfc",5,"GSE173807","GPL24676",7.24907043,372,TRUE
"treg","fdr_logfc","treg_up_fdr_logfc",6,"GSE154741","GPL21290",7.23962403,449,FALSE
"treg","fdr_logfc","treg_up_fdr_logfc",7,"GSE147395","GPL21697",7.17008037,398,FALSE
"treg","fdr_logfc","treg_up_fdr_logfc",8,"GSE147398","GPL21697",7.17008037,398,FALSE
"treg","fdr_logfc","treg_up_fdr_logfc",9,"GSE53448","GPL6480",7.15540658,450,FALSE
"treg","fdr_logfc","treg_up_fdr_logfc",10,"GSE174860","GPL21290",6.75557291,415,FALSE
"tcon","fdr_only","tcon_up_fdr_only",1,"GSE118383","GPL15520",20.6537003,2048,TRUE
"tcon","fdr_only","tcon_up_fdr_only",2,"GSE173929","GPL24014",20.4375825,2037,TRUE
"tcon","fdr_only","tcon_up_fdr_only",3,"GSE216963","GPL24676",20.2308929,2137,TRUE
"tcon","fdr_only","tcon_up_fdr_only",4,"GSE200469","GPL20301",19.8106367,1982,FALSE
"tcon","fdr_only","tcon_up_fdr_only",5,"GSE86566","GPL11154",19.5736161,2054,TRUE
"tcon","fdr_only","tcon_up_fdr_only",6,"GSE145284","GPL20301",19.5354679,1983,FALSE
"tcon","fdr_only","tcon_up_fdr_only",7,"GSE87419","GPL18573",19.4310153,1945,FALSE
"tcon","fdr_only","tcon_up_fdr_only",8,"GSE87424","GPL18573",19.4310153,1945,FALSE
"tcon","fdr_only","tcon_up_fdr_only",9,"GSE181061","GPL18573",19.416325,2098,FALSE
"tcon","fdr_only","tcon_up_fdr_only",10,"GSE181064","GPL18573",19.416325,2098,FALSE
"tcon","fdr_logfc","tcon_up_fdr_logfc",1,"GSE102751","GPL11154",15.6475133,503,TRUE
"tcon","fdr_logfc","tcon_up_fdr_logfc",2,"GSE173807","GPL24676",14.4766234,469,FALSE
"tcon","fdr_logfc","tcon_up_fdr_logfc",3,"GSE199729","GPL11154",11.6671384,434,FALSE
"tcon","fdr_logfc","tcon_up_fdr_logfc",4,"GSE110097","GPL18573",10.8261223,418,FALSE
"tcon","fdr_logfc","tcon_up_fdr_logfc",5,"GSE150876","GPL18573",10.3706827,410,TRUE
"tcon","fdr_logfc","tcon_up_fdr_logfc",6,"GSE150877","GPL18573",10.3706827,410,FALSE
"tcon","fdr_logfc","tcon_up_fdr_logfc",7,"GSE215405","GPL24676",10.3084638,459,FALSE
"tcon","fdr_logfc","tcon_up_fdr_logfc",8,"GSE215406","GPL24676",10.3084638,459,FALSE
"tcon","fdr_logfc","tcon_up_fdr_logfc",9,"GSE193181","GPL24676",10.2867552,362,FALSE
"tcon","fdr_logfc","tcon_up_fdr_logfc",10,"GSE138746","GPL20301",10.0864309,513,FALSE
"cd8","fdr_only","cd8_up_fdr_only",1,"GSE173929","GPL24014",20.0229431,1992,FALSE
"cd8","fdr_only","cd8_up_fdr_only",2,"GSE200469","GPL20301",19.4690297,1986,FALSE
"cd8","fdr_only","cd8_up_fdr_only",3,"GSE118383","GPL15520",19.3532639,1938,FALSE
"cd8","fdr_only","cd8_up_fdr_only",4,"GSE123290","GPL20301",19.3096738,1949,TRUE
"cd8","fdr_only","cd8_up_fdr_only",5,"GSE110390","GPL18573",18.9675128,1915,TRUE
"cd8","fdr_only","cd8_up_fdr_only",6,"GSE158317","GPL16791",18.8571799,1959,FALSE
"cd8","fdr_only","cd8_up_fdr_only",7,"GSE87419","GPL18573",18.7757593,1884,FALSE
"cd8","fdr_only","cd8_up_fdr_only",8,"GSE87424","GPL18573",18.7757593,1884,FALSE
"cd8","fdr_only","cd8_up_fdr_only",9,"GSE166657","GPL11154",18.7236256,1827,FALSE
"cd8","fdr_only","cd8_up_fdr_only",10,"GSE86566","GPL11154",18.6631789,1946,FALSE
"cd8","fdr_logfc","cd8_up_fdr_logfc",1,"GSE89134","GPL16791",10.6983521,451,TRUE
"cd8","fdr_logfc","cd8_up_fdr_logfc",2,"GSE153098","GPL16791",9.79578938,360,TRUE
"cd8","fdr_logfc","cd8_up_fdr_logfc",3,"GSE110097","GPL18573",9.4690944,426,TRUE
"cd8","fdr_logfc","cd8_up_fdr_logfc",4,"GSE222740","GPL24676",9.23372714,432,TRUE
"cd8","fdr_logfc","cd8_up_fdr_logfc",5,"GSE141645","GPL20301",8.87467851,377,TRUE
"cd8","fdr_logfc","cd8_up_fdr_logfc",6,"GSE221563","GPL21697",8.53409798,460,FALSE
"cd8","fdr_logfc","cd8_up_fdr_logfc",7,"GSE189230","GPL20301",8.45984316,475,FALSE
"cd8","fdr_logfc","cd8_up_fdr_logfc",8,"GSE189232","GPL20301",8.45984316,475,FALSE
"cd8","fdr_logfc","cd8_up_fdr_logfc",9,"GSE226599","GPL24676",7.93375465,436,FALSE
"cd8","fdr_logfc","cd8_up_fdr_logfc",10,"GSE216734","GPL24676",7.86731261,436,FALSE
