gse,gpl,recovering_query,set_name,population,gate,hit_rank,pctVar,n_genes,n_seed_genes,frac_seed_genes,organism,n_samples,n_genes_profiled,metadata_terms,terms_aligned_with_query,terms_opposed_to_query,max_abs_term_r,n_platform_records_in_compendium,annotation_source,annotation_basis,cache_snapshot,cache_synapse_id,cache_downloaded_at
GSE89134,GPL16791,cd8_up_fdr_logfc,CORESH_cd8_up_fdr_logfc_GSE89134,cd8,fdr_logfc,1,10.6983521473442,50,29,0.58,Homo sapiens,14,10000,isolated / total / ccr7 / total / mrna / isolated / sorted / cryopreserved / pbmc / from / sorted / bead / sorted / cd62l / bead,isolated / total / total / mrna / isolated,ccr7 / sorted / cryopreserved / pbmc / from,0.972467200978506,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE153098,GPL16791,cd8_up_fdr_logfc,CORESH_cd8_up_fdr_logfc_GSE153098,cd8,fdr_logfc,2,9.79578937844386,49,31,0.63265306122449,Homo sapiens,4,10000,melanoma / tumor / blood / peripheral / cd8til / cd8pbl / pt15 / pt14,melanoma / tumor / cd8til / pt15,blood / peripheral / cd8pbl / pt14,0.987406389367033,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE110097,GPL18573,cd8_up_fdr_logfc,CORESH_cd8_up_fdr_logfc_GSE110097,cd8,fdr_logfc,3,9.4690943968038,50,22,0.44,Homo sapiens,13,10000,anti-cd28 / th17cd28 / th0cd28 / th17,anti-cd28 / th17cd28 / th0cd28,th17,0.782335922574427,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE222740,GPL24676,cd8_up_fdr_logfc,CORESH_cd8_up_fdr_logfc_GSE222740,cd8,fdr_logfc,4,9.23372713847976,50,25,0.5,Homo sapiens,4,10000,expansion / feeder / isolated / expanded / cells / with / resting / freshly / rep1 / rep2,expansion / feeder / expanded / cells / with,isolated / resting / freshly / rep2,0.999474536460108,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE141645,GPL20301,cd8_up_fdr_logfc,CORESH_cd8_up_fdr_logfc_GSE141645,cd8,fdr_logfc,5,8.87467851357921,50,31,0.62,Homo sapiens,18,10000,activated / dmso / lymphocytes / naive / lymphocytes-9927 / d710 / d712 / d708 / d707,activated / dmso / lymphocytes-9927 / d710 / d712,lymphocytes / naive / d708 / d707,0.99204347855988,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE123290,GPL20301,cd8_up_fdr_only,CORESH_cd8_up_fdr_only_GSE123290,cd8,fdr_only,4,19.309673828753,50,10,0.2,Homo sapiens,18,10000,selected / with / crispr / libraries / gecko / counts2 / puromycin / l007 / grown / parental / adherent-analysis / cells / days / plastic / tissue,l007 / parental / adherent-analysis / cells,selected / with / crispr / libraries / gecko,0.696853161994996,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE110390,GPL18573,cd8_up_fdr_only,CORESH_cd8_up_fdr_only_GSE110390,cd8,fdr_only,5,18.9675127957104,50,6,0.12,Homo sapiens,149,10000,bladder / advanced / locally / nsclc / metastatic / urothelial / advanced-stage-small-cell / carcinoma / cancer / lung,nsclc / advanced-stage-small-cell / carcinoma / lung,bladder / advanced / locally / metastatic / urothelial,0.264129862733837,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE102751,GPL11154,tcon_up_fdr_logfc,CORESH_tcon_up_fdr_logfc_GSE102751,tcon,fdr_logfc,1,15.6475133477143,50,36,0.72,Homo sapiens,6,10000,lung / peripheral / donor / blood / normal / explants,lung / explants,peripheral / donor / blood / normal,0.903152208339006,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE150876,GPL18573,tcon_up_fdr_logfc,CORESH_tcon_up_fdr_logfc_GSE150876,tcon,fdr_logfc,5,10.3706827198587,50,36,0.72,Homo sapiens,10,10000,tcf7 / method / fixation / treated / fresh / control / yonatan / fadi / fresh / facs / gating,fresh / control / yonatan / fadi / fresh,tcf7 / method / fixation / treated,0.834172677475503,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
GSE118383,GPL15520,tcon_up_fdr_only,CORESH_tcon_up_fdr_only_GSE118383,tcon,fdr_only,1,20.6537003149485,50,13,0.26,Homo sapiens,7,10000,-input / wild / rbmx / type / crtl / rep1 / knock-down / sirna-poly / fractionated / absorbance / washed / block / lysate / elongation / centrifugation,wild / type / crtl / fractionated / absorbance,-input / rbmx / rep1 / knock-down / sirna-poly,0.790418590820472,1,CoReSh preprocessed chunk wordMatrix (per-sample GEO metadata term matrix),Pearson r between each term's centred per-sample indicator and the normalised query profile,syn66227307_20260721,syn66227307,2026-07-21T23:29:16Z
