set_name,query_name,population,gate,gse,n_genes,gene,is_seed_gene
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,AK4,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,ATF3,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,BSPRY,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,CEP55,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,DIAPH3,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,GNA15,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,HJURP,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,IQGAP3,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,KIF4A,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,LGALS1,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,MELK,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,MYBL2,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,NCAPG,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,NEIL3,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,PDCD1,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,PFKFB4,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,PKMYT1,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,SKA1,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,SLC27A2,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,TPX2,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,VEGFA,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,ZBTB32,TRUE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,AURKA,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,BHLHE40,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,CBS,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,CCNB2,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,CDC25C,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,CDC6,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,CDCA7,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,CDT1,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,DDIT4,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,DEPDC1,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,DEPDC1B,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,DLGAP5,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,FADS2,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,FAM72B,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,FAM72C,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,HMMR,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,KIF20A,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,LIF,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,MKI67,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,MND1,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,MYO1B,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,MZB1,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,PBK,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,PPFIA4,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,SCD,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,TESC,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,TICRR,FALSE
CORESH_cd8_up_fdr_logfc_GSE110097,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,50,TK1,FALSE
CORESH_cd8_up_fdr_logfc_GSE141645,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE141645,50,AK4,TRUE
CORESH_cd8_up_fdr_logfc_GSE141645,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE141645,50,ANLN,TRUE
CORESH_cd8_up_fdr_logfc_GSE141645,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE141645,50,ASPM,TRUE
CORESH_cd8_up_fdr_logfc_GSE141645,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE141645,50,BUB1B,TRUE
CORESH_cd8_up_fdr_logfc_GSE141645,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE141645,50,CDCA2,TRUE
CORESH_cd8_up_fdr_logfc_GSE141645,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE141645,50,CDCA5,TRUE
CORESH_cd8_up_fdr_logfc_GSE141645,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE141645,50,CDK1,TRUE
CORESH_cd8_up_fdr_logfc_GSE141645,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE141645,50,CEP55,TRUE
CORESH_cd8_up_fdr_logfc_GSE141645,cd8_up_fdr_logfc,cd8,fdr_logfc,GSE141645,50,CKAP2L,TRUE
