query_name,population,gate,gse,gpl,pctVar,pval,size,rank
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE89134,GPL16791,10.6983521473442,,451,1
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE153098,GPL16791,9.79578937844386,,360,2
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE110097,GPL18573,9.4690943968038,,426,3
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE222740,GPL24676,9.23372713847976,,432,4
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE141645,GPL20301,8.87467851357921,,377,5
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE221563,GPL21697,8.53409797995862,,460,6
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE189230,GPL20301,8.45984316110932,,475,7
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE189232,GPL20301,8.45984316110932,,475,8
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE226599,GPL24676,7.93375464584,,436,9
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE216734,GPL24676,7.86731261478847,,436,10
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE114065,GPL20301,7.84237089231896,,362,11
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE114135,GPL20301,7.84237089231896,,362,12
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE93383,GPL11154,7.83172352398645,,412,13
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE147395,GPL21697,7.74041512085167,,414,14
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE147398,GPL21697,7.74041512085167,,414,15
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE41909,GPL14877,7.70446361744973,,448,16
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE161835,GPL18573,7.70423937904874,,407,17
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE128696,GPL20301,7.64913509436899,,441,18
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE53448,GPL6480,7.64238231831859,,462,19
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE227316,GPL20301,7.60658310880135,,411,20
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE196463,GPL18460,7.58428240066667,,438,21
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE81871,GPL16791,7.45733825841927,,380,22
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE81874,GPL16791,7.45733825841927,,380,23
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE165849,GPL24676,7.28874093456963,,482,24
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE154741,GPL21290,7.28212138653527,,471,25
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE71645,GPL11154,7.24868835725354,,402,26
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE234450,GPL24676,7.13626338234066,,453,27
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE222909,GPL24676,7.05374385553169,,453,28
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE222910,GPL24676,7.05374385553169,,453,29
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE85482,GPL6244,7.03849254996001,,467,30
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE199729,GPL11154,6.88751927675296,,416,31
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE147046,GPL20301,6.68651302504679,,420,32
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE162716,GPL16791,6.63647374453689,,518,33
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE81810,GPL11154,6.61703794796657,,429,34
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE129044,GPL20301,6.56456176442318,,442,35
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE173807,GPL24676,6.35212917320495,,357,36
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE227161,GPL16791,6.09830164882058,,476,37
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE13738,GPL570,6.01595705509152,,391,38
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE102751,GPL11154,5.82018632157217,,386,39
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE164086,GPL24676,5.8167258240031,,429,40
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE195543,GPL20301,5.6753105631506,,399,41
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE129196,GPL20301,5.66856619533697,,456,42
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE173681,GPL16791,5.57964552590463,,425,43
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE217072,GPL11154,5.5693262166714,,430,44
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE217088,GPL11154,5.5693262166714,,430,45
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE68003,GPL6244,5.52405024682958,,418,46
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE220289,GPL24676,5.41453009516494,,455,47
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE64812,GPL14550,5.38294923290782,,441,48
cd8_up_fdr_logfc,cd8,fdr_logfc,GSE32901,GPL6244,5.37179222366349,,401,49
