arm,genes_in_arm,cell_state,tissue,n_cells,mean,median,q25,q75,min,max
WT_heat_up,199.0,Treg,synovial fluid,13572.0,0.0190402515,0.0186673797,0.0142183161,0.0232472558,0.0,0.0794305199
WT_heat_up,199.0,Treg,paired blood,13603.0,0.0112171403,0.0108445027,0.00735425184,0.0146970037,0.0,0.0362365091
WT_heat_up,199.0,Tcon,synovial fluid,19502.0,0.0182531888,0.0177272544,0.0127190032,0.0231380058,0.0,0.0762392691
WT_heat_up,199.0,Tcon,paired blood,18411.0,0.0114275837,0.0108732527,0.00696037674,0.0153726288,0.0,0.0384560096
WT_heat_up,199.0,CD8,synovial fluid,19010.0,0.0178624182,0.0175432544,0.0128455032,0.0223905056,0.0,0.0864052716
WT_heat_up,199.0,CD8,paired blood,15817.0,0.0136763288,0.0134147534,0.00888950222,0.0179975045,0.0,0.03993376
KO_heat_up,218.0,Treg,synovial fluid,13572.0,0.019229176,0.0186385262,0.0140208973,0.0236495136,0.0,0.0801011265
KO_heat_up,218.0,Treg,paired blood,13603.0,0.0111038163,0.0107100188,0.00732313535,0.0145129288,0.0,0.0375010667
KO_heat_up,218.0,Tcon,synovial fluid,19502.0,0.0199462247,0.0196385902,0.0141075696,0.0252282813,0.0,0.0728099932
KO_heat_up,218.0,Tcon,paired blood,18411.0,0.0114870967,0.0108326933,0.00694444444,0.0154223204,0.0,0.0379384281
KO_heat_up,218.0,CD8,synovial fluid,19010.0,0.021179362,0.0211453533,0.0161890361,0.0259589947,0.0,0.0776956392
KO_heat_up,218.0,CD8,paired blood,15817.0,0.0168487219,0.0170304233,0.0118514252,0.021692055,0.0,0.0425840587
Interaction_up,7.0,Treg,synovial fluid,13572.0,0.12453881,0.0987996307,0.0271731961,0.192191004,0.0,0.615486084
Interaction_up,7.0,Treg,paired blood,13603.0,0.0716562626,0.0524996702,0.0,0.108297058,0.0,0.621949611
Interaction_up,7.0,Tcon,synovial fluid,19502.0,0.0862399685,0.0658884052,0.0,0.126896188,0.0,0.578024007
Interaction_up,7.0,Tcon,paired blood,18411.0,0.0499980974,0.0193905817,0.0,0.0861363936,0.0,0.55612716
Interaction_up,7.0,CD8,synovial fluid,19010.0,0.0977913026,0.0793430946,0.0,0.142329508,0.0,0.654399156
Interaction_up,7.0,CD8,paired blood,15817.0,0.0477887601,0.019258673,0.0,0.084553489,0.0,0.599129402
