set_name,coarse_label,tissue,n_cells,n_donors,mean,median,sd,metric,evidence_tier
HALLMARK_HYPOXIA,CD8,peripheral_blood,15817.0,6.0,0.0691880336,0.0687052023,0.0169056658,AUCell,secondary_percell
HALLMARK_HYPOXIA,CD8,synovial_fluid,19010.0,7.0,0.0829713017,0.0827369942,0.0165069893,AUCell,secondary_percell
HALLMARK_HYPOXIA,Tcon,peripheral_blood,18411.0,6.0,0.0669407008,0.0670462428,0.0160159896,AUCell,secondary_percell
HALLMARK_HYPOXIA,Tcon,synovial_fluid,19502.0,7.0,0.0893726071,0.0894219653,0.0166926188,AUCell,secondary_percell
HALLMARK_HYPOXIA,Treg,peripheral_blood,13603.0,7.0,0.0735839162,0.0732080925,0.0138024237,AUCell,secondary_percell
HALLMARK_HYPOXIA,Treg,synovial_fluid,13572.0,6.0,0.0973590685,0.0970520231,0.0147380496,AUCell,secondary_percell
sting_specific_published,CD8,peripheral_blood,15817.0,6.0,0.0646930742,0.0610062207,0.0344910261,AUCell,secondary_percell
sting_specific_published,CD8,synovial_fluid,19010.0,7.0,0.0784080453,0.0799956346,0.0336445295,AUCell,secondary_percell
sting_specific_published,Tcon,peripheral_blood,18411.0,6.0,0.0531895161,0.0512386773,0.0328843973,AUCell,secondary_percell
sting_specific_published,Tcon,synovial_fluid,19502.0,7.0,0.0783005569,0.0789588563,0.0351166534,AUCell,secondary_percell
sting_specific_published,Treg,peripheral_blood,13603.0,7.0,0.0186178767,0.0,0.0247709408,AUCell,secondary_percell
sting_specific_published,Treg,synovial_fluid,13572.0,6.0,0.0366160892,0.0416348358,0.0322655912,AUCell,secondary_percell
ifn_generic_axis,CD8,peripheral_blood,15817.0,6.0,0.0131077696,0.0118099676,0.0100513542,AUCell,secondary_percell
ifn_generic_axis,CD8,synovial_fluid,19010.0,7.0,0.0230796671,0.0182304327,0.018333015,AUCell,secondary_percell
ifn_generic_axis,Tcon,peripheral_blood,18411.0,6.0,0.0146437795,0.0128744573,0.0115878842,AUCell,secondary_percell
ifn_generic_axis,Tcon,synovial_fluid,19502.0,7.0,0.0223833831,0.0183645416,0.0167375966,AUCell,secondary_percell
ifn_generic_axis,Treg,peripheral_blood,13603.0,7.0,0.0176080771,0.0150537274,0.0132740689,AUCell,secondary_percell
ifn_generic_axis,Treg,synovial_fluid,13572.0,6.0,0.0297546611,0.0244790706,0.0203602832,AUCell,secondary_percell
