coarse_label,tissue,donor,n_cells,n_cells_drawn,frac_of_total,mean_FOXP3,mean_IL2RA,mean_CTLA4
CD8,peripheral_blood,JIA_patient_1,2547.0,1527.0,0.0254916679,0.0103943525,0.00466745952,0.165744618
CD8,peripheral_blood,JIA_patient_2,1637.0,1028.0,0.0163839263,0.0238862801,0.019923849,0.0509568341
CD8,peripheral_blood,JIA_patient_4,2675.0,1589.0,0.0267727568,0.00643333932,0.00377711584,0.0506352037
CD8,peripheral_blood,JIA_patient_5,2786.0,1661.0,0.0278837011,0.00375727029,0.00434370153,0.0267542358
CD8,peripheral_blood,JIA_patient_6,3311.0,1986.0,0.0331381674,0.00388148613,0.00427472359,0.051727213
CD8,peripheral_blood,JIA_patient_7,2861.0,1717.0,0.0286343392,0.00967195351,0.00960683543,0.0179255567
CD8,synovial_fluid,JIA_patient_1,2787.0,1650.0,0.0278937097,0.00634010509,0.0126828719,0.341719896
CD8,synovial_fluid,JIA_patient_2,2545.0,1478.0,0.0254716509,0.107667297,0.0496970713,0.217447802
CD8,synovial_fluid,JIA_patient_3,2478.0,1522.0,0.0248010809,0.0199327022,0.0182249695,0.362428993
CD8,synovial_fluid,JIA_patient_4,2502.0,1504.0,0.0250412851,0.0318542011,0.0296409149,0.327197373
CD8,synovial_fluid,JIA_patient_5,2648.0,1598.0,0.0265025271,0.00201260136,0.00388088147,0.0530159585
CD8,synovial_fluid,JIA_patient_6,3287.0,1956.0,0.0328979633,0.000318968581,0.00216086349,0.11046923
CD8,synovial_fluid,JIA_patient_7,2763.0,1663.0,0.0276535055,0.0253518037,0.0173336342,0.140857682
Tcon,peripheral_blood,JIA_patient_1,2885.0,1643.0,0.0288745434,0.0587584078,0.0643347278,0.223804787
Tcon,peripheral_blood,JIA_patient_2,2480.0,1483.0,0.0248210979,0.0213569272,0.089956142,0.0906193703
Tcon,peripheral_blood,JIA_patient_4,2222.0,1318.0,0.0222389031,0.0364921689,0.0587499365,0.153753743
Tcon,peripheral_blood,JIA_patient_5,3516.0,2106.0,0.0351899114,0.0326644331,0.0892884508,0.0506802164
Tcon,peripheral_blood,JIA_patient_6,4276.0,2553.0,0.0427963769,0.0201337673,0.0560374446,0.0797065571
Tcon,peripheral_blood,JIA_patient_7,3032.0,1807.0,0.0303457939,0.0432754345,0.0824068412,0.0684169158
Tcon,synovial_fluid,JIA_patient_1,2851.0,1723.0,0.0285342541,0.0562366173,0.039110247,0.419226646
Tcon,synovial_fluid,JIA_patient_2,2238.0,1353.0,0.0223990392,0.111529559,0.0831169933,0.236917183
Tcon,synovial_fluid,JIA_patient_3,1653.0,968.0,0.0165440625,0.167692766,0.0517632402,0.562217891
Tcon,synovial_fluid,JIA_patient_4,2579.0,1589.0,0.0258119401,0.115747824,0.0341325961,0.496496916
Tcon,synovial_fluid,JIA_patient_5,3074.0,1855.0,0.0307661512,0.0492293872,0.0885058418,0.154249474
Tcon,synovial_fluid,JIA_patient_6,4454.0,2664.0,0.0445778912,0.0312986523,0.110839628,0.25882706
Tcon,synovial_fluid,JIA_patient_7,2653.0,1604.0,0.0265525697,0.128934816,0.0663920119,0.324997097
Treg,peripheral_blood,JIA_patient_1,2360.0,1361.0,0.0236200771,1.38980472,1.03216493,1.00476599
Treg,peripheral_blood,JIA_patient_2,1271.0,767.0,0.0127208127,1.05377936,0.665670812,0.716057599
Treg,peripheral_blood,JIA_patient_3,1581.0,969.0,0.0158234499,1.24938321,0.87480557,0.850307345
Treg,peripheral_blood,JIA_patient_4,2230.0,1404.0,0.0223189711,1.33631778,0.727546096,0.837189317
Treg,peripheral_blood,JIA_patient_5,3942.0,2419.0,0.0394535355,1.18193352,0.655199289,0.471150756
Treg,peripheral_blood,JIA_patient_6,1953.0,1225.0,0.0195466146,1.09942484,0.603145659,0.495221347
Treg,peripheral_blood,JIA_patient_7,266.0,155.0,0.00266226292,1.18405414,0.627928555,0.595693529
Treg,synovial_fluid,JIA_patient_1,1761.0,1043.0,0.0176249812,2.62465262,2.33979821,1.31571388
Treg,synovial_fluid,JIA_patient_2,2669.0,1597.0,0.0267127058,1.84274292,0.960385919,0.974148929
Treg,synovial_fluid,JIA_patient_3,1636.0,985.0,0.0163739178,2.24154568,1.84724498,1.58806086
Treg,synovial_fluid,JIA_patient_4,2867.0,1742.0,0.0286943902,2.32785702,1.77179635,1.61568654
Treg,synovial_fluid,JIA_patient_6,1825.0,1101.0,0.0182655257,1.59235597,1.17380118,1.20138633
Treg,synovial_fluid,JIA_patient_7,2814.0,1687.0,0.0281639393,2.31525326,1.41656494,1.33774281
