set_name,coarse_label,tissue,n_cells,n_donors,mean,median,sd,metric,evidence_tier
sting_specific_published,Treg,peripheral_blood,13603.0,7.0,0.0220273545,0.0129930394,0.0256737392,AUCell,secondary_percell
sting_specific_published,Treg,synovial_fluid,13572.0,6.0,0.0423932262,0.0442124259,0.0332178962,AUCell,secondary_percell
ifn_generic_axis,Treg,peripheral_blood,13603.0,7.0,0.0171930355,0.0147038367,0.0129588043,AUCell,secondary_percell
ifn_generic_axis,Treg,synovial_fluid,13572.0,6.0,0.0290491035,0.0238968031,0.0198759052,AUCell,secondary_percell
HALLMARK_INTERFERON_ALPHA_RESPONSE,Treg,peripheral_blood,13603.0,7.0,0.130582196,0.126651173,0.0319753129,AUCell,secondary_percell
HALLMARK_INTERFERON_ALPHA_RESPONSE,Treg,synovial_fluid,13572.0,6.0,0.155158675,0.148550941,0.0401738797,AUCell,secondary_percell
HALLMARK_TNFA_SIGNALING_VIA_NFKB,Treg,peripheral_blood,13603.0,7.0,0.0502721466,0.0494016069,0.0140661651,AUCell,secondary_percell
HALLMARK_TNFA_SIGNALING_VIA_NFKB,Treg,synovial_fluid,13572.0,6.0,0.0589201739,0.057572985,0.0164076802,AUCell,secondary_percell
HALLMARK_INFLAMMATORY_RESPONSE,Treg,peripheral_blood,13603.0,7.0,0.0544185361,0.0541392309,0.0117909981,AUCell,secondary_percell
HALLMARK_INFLAMMATORY_RESPONSE,Treg,synovial_fluid,13572.0,6.0,0.0690351625,0.0688924335,0.0136633174,AUCell,secondary_percell
HALLMARK_IL2_STAT5_SIGNALING,Treg,peripheral_blood,13603.0,7.0,0.0523719622,0.0519339754,0.0126245047,AUCell,secondary_percell
HALLMARK_IL2_STAT5_SIGNALING,Treg,synovial_fluid,13572.0,6.0,0.075499392,0.074778318,0.0166107149,AUCell,secondary_percell
