embedding,space,grouping_key,group,n_cells,group_frac,observed_same_frac,expected_same_frac,excess_over_chance,k,evidence_tier
treg_only_harmony,umap_2d,donor,_all_,27175,1.0,0.2013026678932843,0.1463959739100684,0.06432337747365685,30,annotation_embedding
treg_only_harmony,umap_2d,donor,JIA_patient_4,5097,0.18756209751609937,0.20710875678503693,0.18753219989696032,0.024095178769661822,30,annotation_embedding
treg_only_harmony,umap_2d,donor,JIA_patient_1,4121,0.15164673413063479,0.1828035266521071,0.15161551483035254,0.03676164801094641,30,annotation_embedding
treg_only_harmony,umap_2d,donor,JIA_patient_5,3942,0.14505979760809568,0.27065787248435647,0.1450283359093251,0.1469400002965567,30,annotation_embedding
treg_only_harmony,umap_2d,donor,JIA_patient_2,3940,0.14498620055197792,0.2005922165820643,0.14495473614484433,0.06506963173664797,30,annotation_embedding
treg_only_harmony,umap_2d,donor,JIA_patient_6,3778,0.13902483900643975,0.20987294865007944,0.13899315522190328,0.08232198600749066,30,annotation_embedding
treg_only_harmony,umap_2d,donor,JIA_patient_3,3217,0.11838086476540938,0.1468656097813698,0.1183484212850519,0.03234519075878383,30,annotation_embedding
treg_only_harmony,umap_2d,donor,JIA_patient_7,3080,0.11333946642134314,0.17493506493506494,0.11330683741812027,0.06950344281159804,30,annotation_embedding
treg_only_harmony,umap_2d,tissue,_all_,27175,1.0,0.9230285188592458,0.4999822507430901,0.846062502270882,30,annotation_embedding
treg_only_harmony,umap_2d,tissue,peripheral_blood,13603,0.5005703771849126,0.9226077580925778,0.5005519982336056,0.8450444458007448,30,annotation_embedding
treg_only_harmony,umap_2d,tissue,synovial_fluid,13572,0.4994296228150874,0.92345024069162,0.49941120188415394,0.8470805587410188,30,annotation_embedding
treg_only,umap_2d,donor,_all_,27175,1.0,0.6614339159766943,0.1463959739100684,0.603368688905837,30,annotation_embedding
treg_only,umap_2d,donor,JIA_patient_4,5097,0.18756209751609937,0.6666535870773658,0.18753219989696032,0.5897112317800678,30,annotation_embedding
treg_only,umap_2d,donor,JIA_patient_1,4121,0.15164673413063479,0.6132896546145757,0.15161551483035254,0.5441803190117325,30,annotation_embedding
treg_only,umap_2d,donor,JIA_patient_5,3942,0.14505979760809568,0.6965330627431083,0.1450283359093251,0.6450561462997128,30,annotation_embedding
