"population","tf","target","mor","sign_decision","stat","contrib","n_regulons","n_other_regulons","promiscuity_band","avg_expr","padj_gene"
"Treg","HIF1A","PGAM1",1,"default activation",5.68255377,5.68255377,1,0,"<=1",8.56023541,0.00375263615
"Treg","HIF1A","PPP5C",1,"default activation",5.26236182,5.26236182,1,0,"<=1",5.01105672,0.00362625564
"Treg","HIF1A","CAPG",1,"PMID",4.56968809,4.56968809,1,0,"<=1",6.24950591,0.0141137608
"Treg","HIF1A","GBE1",1,"default activation",3.92876152,3.92876152,1,0,"<=1",3.39104667,0.0142622158
"Treg","HIF1A","MATK",1,"default activation",3.78052348,3.78052348,1,0,"<=1",-0.567908279,0.0184213937
"Treg","HIF1A","HMOX2",1,"default activation",2.86972962,2.86972962,1,0,"<=1",7.06209996,0.0499163056
"Treg","HIF1A","TM9SF4",-1,"PMID",-2.03450098,2.03450098,1,0,"<=1",4.70460426,0.142991888
"Treg","HIF1A","ATP13A2",1,"PMID",1.94132734,1.94132734,1,0,"<=1",2.41784542,0.160715664
"Treg","HIF1A","WSB1",1,"default activation",1.83591849,1.83591849,1,0,"<=1",7.53496735,0.182564531
"Treg","HIF1A","SH3BP2",1,"default activation",1.73205662,1.73205662,1,0,"<=1",4.87621074,0.207302364
"Treg","HIF1A","PFKFB4",1,"PMID",1.11034979,1.11034979,1,0,"<=1",-0.237213401,0.420831505
"Treg","HIF1A","FAM162A",1,"PMID",0.976252529,0.976252529,1,0,"<=1",6.07548943,0.480383795
"Treg","HIF1A","GPR35",1,"default activation",0.88204286,0.88204286,1,0,"<=1",-1.15846834,0.526484302
"Treg","HIF1A","SLC29A2",1,"default activation",-0.206226249,-0.206226249,1,0,"<=1",-0.450222922,0.892186256
"Treg","HIF1A","PPP1R10",1,"default activation",-0.707397514,-0.707397514,1,0,"<=1",5.63345909,0.617806336
"Treg","HIF1A","GYS1",1,"PMID",-1.39725208,-1.39725208,1,0,"<=1",3.80140533,0.307409029
"Treg","HIF1A","NAA10",1,"default activation",-1.73038955,-1.73038955,1,0,"<=1",5.12603712,0.207231612
"Treg","HIF1A","POLM",1,"default activation",-2.26701379,-2.26701379,1,0,"<=1",4.66948303,0.10678406
"Treg","HIF1A","UTS2",1,"default activation",-2.28864593,-2.28864593,1,0,"<=1",4.56284598,0.109888691
"Treg","HIF1A","PFKL",1,"PMID",-2.54732618,-2.54732618,1,0,"<=1",6.73440128,0.0749820834
"Treg","HIF1A","ATRIP",1,"PMID",-2.8163751,-2.8163751,1,0,"<=1",1.896355,0.0534205131
"Treg","HIF1A","HS2ST1",1,"PMID",-2.95140611,-2.95140611,1,0,"<=1",3.46025074,0.0450931306
"Treg","HIF1A","TLR6",1,"default activation",-3.34040472,-3.34040472,1,0,"<=1",0.364375162,0.028018594
"Treg","HIF1A","CTF1",1,"PMID",-3.41245409,-3.41245409,1,0,"<=1",-1.51520524,0.0257363044
"Treg","HIF1A","SETD2",1,"PMID",-3.82990239,-3.82990239,1,0,"<=1",5.72858405,0.0159194171
"Treg","HIF1A","PEPD",1,"default activation",-4.21829972,-4.21829972,1,0,"<=1",5.65133308,0.0102966299
"Treg","HIF1A","TKTL1",1,"default activation",-4.24566208,-4.24566208,1,0,"<=1",1.94633709,0.0117977245
"Treg","NFKB1","GCA",1,"default activation",2.79738093,2.79738093,1,0,"<=1",4.70245465,0.0578102776
"Treg","NFKB1","BST1",1,"default activation",-2.47329863,-2.47329863,1,0,"<=1",-2.90781045,0.0826047119
