population,tf,variant,method,configuration,score,p_value,padj,rank,n_tfs_scored,pct_rank,regulon_size,direction
CD8,ATF3,alias_recovered,consensus,alias_recovered / consensus,1.09063614,0.27543302,0.997888133,62,602,10.2990033,70,Up
CD8,ATF3,alias_recovered,mlm,alias_recovered / mlm,1.41832775,0.156118334,0.675330923,73,602,12.1262458,70,Up
CD8,ATF3,alias_recovered,ulm,alias_recovered / ulm,2.62409014,0.00869749915,0.0561281879,87,602,14.4518272,70,Up
CD8,ATF3,literature_signed,consensus,literature_signed / consensus,-0.268269068,0.788492214,0.999109653,302,381,79.2650919,35,Down
CD8,ATF3,literature_signed,mlm,literature_signed / mlm,-0.339562982,0.73419089,0.936919244,255,381,66.9291339,35,Down
CD8,ATF3,literature_signed,ulm,literature_signed / ulm,-0.503715899,0.614468953,0.8064729,306,381,80.3149606,35,Down
CD8,ATF3,signed,consensus,signed / consensus,1.1025229,0.270234411,0.998130892,59,598,9.86622074,69,Up
CD8,ATF3,signed,mlm,signed / mlm,1.50302844,0.132855248,0.625570381,66,598,11.0367893,69,Up
CD8,ATF3,signed,ulm,signed / ulm,2.60756855,0.00912844813,0.0556188581,92,598,15.3846154,69,Up
CD8,ATF3,unsigned,consensus,unsigned / consensus,2.29325015,0.0218336076,0.932606954,12,598,2.00668896,69,Up
CD8,ATF3,unsigned,mlm,unsigned / mlm,2.94382797,0.00324735818,0.1142306,10,598,1.6722408,69,Up
CD8,ATF3,unsigned,ulm,unsigned / ulm,6.1796464,6.60245892e-10,7.85002243e-8,5,598,0.836120401,69,Up
CD8,ATF3,unsigned_geneset,fgsea,unsigned_geneset / fgsea,2.08153442,1.59508467e-6,1.28632982e-4,4,593,0.674536256,70,Up
CD8,CREB1,alias_recovered,consensus,alias_recovered / consensus,1.54156005,0.12318054,0.997888133,26,602,4.31893688,277,Up
CD8,CREB1,alias_recovered,mlm,alias_recovered / mlm,0.268285336,0.788483819,0.947659865,254,602,42.192691,277,Up
CD8,CREB1,alias_recovered,ulm,alias_recovered / ulm,2.90299871,0.00370184667,0.0314399621,66,602,10.9634551,277,Up
CD8,CREB1,literature_signed,consensus,literature_signed / consensus,1.83591612,0.0663700626,0.999109653,13,381,3.41207349,268,Up
CD8,CREB1,literature_signed,mlm,literature_signed / mlm,-0.33051756,0.741014006,0.936919244,252,381,66.1417323,268,Down
CD8,CREB1,literature_signed,ulm,literature_signed / ulm,2.7563347,0.00585287378,0.0506805662,38,381,9.97375328,268,Up
CD8,CREB1,signed,consensus,signed / consensus,1.44476156,0.148524873,0.998130892,31,598,5.18394649,268,Up
CD8,CREB1,signed,mlm,signed / mlm,0.130623117,0.896075413,0.981415929,278,598,46.4882943,268,Up
CD8,CREB1,signed,ulm,signed / ulm,2.7563347,0.00585287378,0.0406978898,82,598,13.7123746,268,Up
CD8,CREB1,unsigned,consensus,unsigned / consensus,1.66222607,0.0964674541,0.99980618,24,598,4.01337793,268,Up
CD8,CREB1,unsigned,mlm,unsigned / mlm,-0.118489622,0.905681492,0.98015966,332,598,55.5183946,268,Down
CD8,CREB1,unsigned,ulm,unsigned / ulm,3.79701197,1.47068421e-4,0.00183222741,48,598,8.02675585,268,Up
CD8,CREB1,unsigned_geneset,fgsea,unsigned_geneset / fgsea,1.56214541,3.94311043e-4,0.00982025427,95,593,16.0202361,277,Up
CD8,EPAS1,alias_recovered,consensus,alias_recovered / consensus,0.244933434,0.806507973,0.997888133,290,602,48.1727575,61,Up
CD8,EPAS1,alias_recovered,mlm,alias_recovered / mlm,-0.558911757,0.576231277,0.940084631,418,602,69.4352159,61,Down
CD8,EPAS1,alias_recovered,ulm,alias_recovered / ulm,1.11309267,0.265687725,0.509375829,264,602,43.8538206,61,Up
