tf,regulon_size,ulm_score,ulm_rank,ulm_padj,fgsea_nes,fgsea_rank,fgsea_set_size,fgsea_padj,population,focus_tf,log_size,ulm_score_size_expected,ulm_score_size_residual,fgsea_nes_size_expected,fgsea_nes_size_residual,ulm_score_size_residual_rank,fgsea_nes_size_residual_rank,n_tfs_ulm_ranked,n_tfs_fgsea_ranked
SP1,813,11.5134641,1,9.30840621e-28,NA,NA,NA,NA,Treg,FALSE,2.91009055,7.26605197,4.24741216,NA,NA,8,NA,601,592
JUN,390,10.7988467,2,1.33910249e-24,NA,NA,NA,NA,Treg,FALSE,2.59106461,5.79426876,5.00457792,NA,NA,3,NA,601,592
RELA,345,9.98205472,3,4.38070383e-21,NA,NA,NA,NA,Treg,FALSE,2.5378191,5.53583774,4.44621698,NA,NA,6,NA,601,592
NFKB,508,9.8566132,4,1.14438299e-20,NA,NA,NA,NA,Treg,FALSE,2.70586371,6.34458512,3.51202808,NA,NA,14,NA,601,592
AP1,328,8.98983288,5,3.3525810899999995e-17,NA,NA,NA,NA,Treg,FALSE,2.51587384,5.42918113,3.56065175,NA,NA,12,NA,601,592
HIF1A,293,8.29858018,6,1.09184291e-14,2.33082849,3,296,2.01279665e-14,Treg,TRUE,2.46686762,5.19131346,3.10726672,2.06702736,0.263801131,20,256,601,592
NFKB1,280,8.2864824,7,1.09184291e-14,2.35686406,2,281,1.76703283e-14,Treg,TRUE,2.44715803,5.0959406,3.1905418,2.05157855,0.305285506,17,238,601,592
REL,83,7.5586492,8,3.24940028e-12,2.31294599,4,85,4.38129208e-7,Treg,TRUE,1.91907809,2.84784818,4.71080102,1.70241428,0.610531715,4,121,601,592
STAT1,226,7.22809041,9,3.44034879e-11,2.08426322,30,226,5.73608612e-8,Treg,FALSE,2.35410844,4.65036337,2.57772704,1.98786275,0.0964004741,38,334,601,592
STAT3,285,6.89487265,10,3.37900738e-10,2.29360103,5,287,5.86137344e-13,Treg,TRUE,2.45484486,5.13310839,1.76176426,2.05784177,0.23575926,91,275,601,592
CREB1,276,6.86970008,11,3.66356731e-10,2.23658019,6,284,8.49055416e-12,Treg,TRUE,2.44090908,5.06575495,1.80394513,2.05472453,0.181855657,89,299,601,592
CEBPB,258,6.54557597,12,3.0716368e-9,2.00858018,43,258,2.56015452e-7,Treg,FALSE,2.41161971,4.92469005,1.62088591,2.02642882,-0.0178486359,101,389,601,592
RFXAP,16,6.48222317,13,4.3183732e-9,2.23480026,7,16,1.59407312e-4,Treg,FALSE,1.20411998,1.05434751,5.42787566,1.08474741,1.15005285,1,6,601,592
TBX21,43,6.35138883,14,9.44314427e-9,2.1890822,11,43,1.29367578e-4,Treg,FALSE,1.63346846,1.98022969,4.37115914,1.49669654,0.69238566,7,93,601,592
RFXANK,18,6.22154682,15,2.02855535e-8,2.15612586,17,18,0.0012658122,Treg,FALSE,1.25527251,1.1465867,5.07496012,1.1442887,1.01183716,2,25,601,592
SPI1,231,6.03232744,16,6.22367502e-8,1.97313129,50,232,1.2895219e-6,Treg,FALSE,2.36361198,4.69540171,1.33692574,1.99545875,-0.0223274607,128,392,601,592
ETS1,144,5.98097013,17,8.03283302e-8,2.09397537,26,147,2.68579134e-6,Treg,FALSE,2.15836249,3.76292786,2.21804227,1.86419331,0.229782063,58,277,601,592
RFX5,22,5.82740569,18,1.92100041e-7,2.0849158,28,22,0.00230214634,Treg,FALSE,1.34242268,1.30901041,4.51839527,1.2290145,0.855901301,5,58,601,592
STAT5A,138,5.74889052,19,2.90076303e-7,1.93478428,60,139,1.57435572e-4,Treg,FALSE,2.13987909,3.68435024,2.06454028,1.84806154,0.0867227391,66,340,601,592
IRF1,123,5.72115984,20,3.24433591e-7,2.19514844,9,125,1.14581951e-6,Treg,FALSE,2.08990511,3.47768702,2.24347282,1.81729775,0.377850691,56,204,601,592
HSF1,67,5.59955767,21,6.26592143e-7,2.22809564,8,68,1.19080964e-5,Treg,TRUE,1.8260748,2.5633529,3.03620476,1.63243317,0.595662465,21,127,601,592
STAT5B,70,5.41373082,22,1.71401407e-6,2.08486444,29,70,1.64452965e-4,Treg,FALSE,1.84509804,2.61942361,2.79430721,1.64171225,0.443152191,28,172,601,592
NFATC2,66,5.38561582,23,1.91701777e-6,1.93174106,61,66,0.00349305827,Treg,FALSE,1.81954394,2.54358193,2.84203389,1.62287391,0.308867146,27,235,601,592
SP3,246,5.24177337,24,3.90979236e-6,2.10857488,23,251,4.10848616e-9,Treg,FALSE,2.39093511,4.82556518,0.416208194,2.01837886,0.0901960246,228,338,601,592
CEBPG,96,5.24030783,25,3.90979236e-6,2.08283228,31,96,4.37246225e-5,Treg,FALSE,1.98227123,3.0655099,2.17479793,1.73935089,0.343481387,60,221,601,592
MITF,68,5.18286542,26,5.12104222e-6,1.72012475,125,68,0.0212690945,Treg,FALSE,1.83250891,2.58258587,2.60027955,1.63243317,0.0876915751,35,339,601,592
ATF2,83,5.11365601,27,7.12640896e-6,2.0124795,41,83,3.26097349e-4,Treg,FALSE,1.91907809,2.84784818,2.26580783,1.69509499,0.317384513,53,230,601,592
EGR1,223,5.09228669,28,7.69208069e-6,2.17534767,15,225,5.1089994e-9,Treg,FALSE,2.34830486,4.62292463,0.469362065,1.98657863,0.188769042,226,293,601,592
NEUROD1,22,5.06113035,29,8.74693477e-6,2.14948219,20,22,9.503218e-4,Treg,FALSE,1.34242268,1.30901041,3.75211994,1.2290145,0.920467691,10,40,601,592
