population,tf,regulon_size,statistic,null_match,obs,n_draws,null_mean,null_sd,null_q95,null_max,pct_of_null,n_null_ge_obs,p_empirical,z_vs_null
Treg,HIF1A,293,collectri_ulm_score,size,8.29858018,1000,-0.0253668812,0.997217565,1.61596247,3.41695166,100,0,9.99000999e-4,8.34717253
Treg,NFKB1,280,collectri_ulm_score,size,8.2864824,1000,-0.0159280327,0.958569661,1.50931417,3.41194763,100,0,9.99000999e-4,8.66124891
Treg,REL,83,collectri_ulm_score,size,7.5586492,1000,-0.0705083672,1.02118269,1.63246006,3.38399032,100,0,9.99000999e-4,7.47090373
Treg,STAT3,285,collectri_ulm_score,size,6.89487265,1000,0.00696858075,1.00341681,1.65467795,3.41271997,100,0,9.99000999e-4,6.86444953
Treg,CREB1,276,collectri_ulm_score,size,6.86970008,1000,-0.0206778795,0.989860654,1.61613537,2.86501279,100,0,9.99000999e-4,6.96095752
Treg,HSF1,67,collectri_ulm_score,size,5.59955767,1000,-0.0323899579,0.98612831,1.5894829,3.63646315,100,0,9.99000999e-4,5.71117122
Treg,ATF3,72,collectri_ulm_score,size,3.95688097,1000,0.0230185018,0.948136466,1.54845236,2.83523205,100,0,9.99000999e-4,4.14904669
Treg,EPAS1,62,collectri_ulm_score,size,2.79380722,1000,0.0227167579,0.958206369,1.58939954,3.15395505,99.8,2,0.002997003,2.8919558
Treg,HIF1A,293,collectri_ulm_score,size_and_expression,8.29858018,1000,0.517478982,0.993218373,2.0954063,3.5207645,100,0,9.99000999e-4,7.83423003
Treg,NFKB1,280,collectri_ulm_score,size_and_expression,8.2864824,1000,0.627502371,1.02443771,2.23277974,4.32971896,100,0,9.99000999e-4,7.47627698
Treg,REL,83,collectri_ulm_score,size_and_expression,7.5586492,1000,0.468411064,1.04837456,2.25807674,4.29907636,100,0,9.99000999e-4,6.76307725
Treg,STAT3,285,collectri_ulm_score,size_and_expression,6.89487265,1000,0.46734105,1.04556283,2.17314128,4.31262971,100,0,9.99000999e-4,6.147437
Treg,CREB1,276,collectri_ulm_score,size_and_expression,6.86970008,1000,0.410305768,1.01993731,2.11047506,4.48660928,100,0,9.99000999e-4,6.33312875
Treg,HSF1,67,collectri_ulm_score,size_and_expression,5.59955767,1000,0.278232813,1.04282844,1.93206125,4.23158635,100,0,9.99000999e-4,5.10278071
Treg,ATF3,72,collectri_ulm_score,size_and_expression,3.95688097,1000,0.0742933308,0.987800939,1.74839151,3.32908523,100,0,9.99000999e-4,3.93053649
Treg,EPAS1,62,collectri_ulm_score,size_and_expression,2.79380722,1000,0.123077186,1.02301259,1.79453583,3.54856901,99.5,5,0.00599400599,2.61065218
Treg,ATF3,72,unsigned_geneset_fgsea_nes,size,2.48990804,1000,0.151041661,0.989106367,1.28554963,1.84398631,100,0,9.99000999e-4,2.36462574
Treg,NFKB1,280,unsigned_geneset_fgsea_nes,size,2.35686406,1000,0.32043656,0.952365888,1.20424992,1.50976043,100,0,9.99000999e-4,2.1382827
Treg,HIF1A,293,unsigned_geneset_fgsea_nes,size,2.33082849,1000,0.293175761,0.955800632,1.19112529,1.47658132,100,0,9.99000999e-4,2.1318805
Treg,REL,83,unsigned_geneset_fgsea_nes,size,2.31294599,1000,0.0948798928,1.00518391,1.26850061,1.55124243,100,0,9.99000999e-4,2.20662714
Treg,STAT3,285,unsigned_geneset_fgsea_nes,size,2.29360103,1000,0.378067435,0.935743258,1.21448838,1.68937685,100,0,9.99000999e-4,2.04707176
Treg,CREB1,276,unsigned_geneset_fgsea_nes,size,2.23658019,1000,0.307087406,0.961626615,1.19947053,1.4422453,100,0,9.99000999e-4,2.00648854
Treg,HSF1,67,unsigned_geneset_fgsea_nes,size,2.22809564,1000,0.145807047,1.03850343,1.3028816,1.7583635,100,0,9.99000999e-4,2.00508592
Treg,EPAS1,62,unsigned_geneset_fgsea_nes,size,1.53776859,1000,0.156051436,1.0137608,1.29241858,1.79030497,99.1,9,0.00999000999,1.36296171
Treg,ATF3,72,unsigned_geneset_fgsea_nes,size_and_expression,2.48990804,1000,0.240167462,1.00988939,1.32438092,1.71529276,100,0,9.99000999e-4,2.22770989
Treg,NFKB1,280,unsigned_geneset_fgsea_nes,size_and_expression,2.35686406,1000,0.739813876,0.79844521,1.3195602,1.59327931,100,0,9.99000999e-4,2.02524877
Treg,HIF1A,293,unsigned_geneset_fgsea_nes,size_and_expression,2.33082849,1000,0.701987298,0.818491518,1.32459014,1.58876542,100,0,9.99000999e-4,1.99005262
Treg,REL,83,unsigned_geneset_fgsea_nes,size_and_expression,2.31294599,1000,0.488047433,0.966896383,1.42842232,1.77245496,100,0,9.99000999e-4,1.88737758
Treg,STAT3,285,unsigned_geneset_fgsea_nes,size_and_expression,2.29360103,1000,0.673882302,0.842768829,1.31898849,1.60626891,100,0,9.99000999e-4,1.92190156
Treg,CREB1,276,unsigned_geneset_fgsea_nes,size_and_expression,2.23658019,1000,0.624978908,0.851609574,1.27032442,1.62137443,100,0,9.99000999e-4,1.89241799
Treg,HSF1,67,unsigned_geneset_fgsea_nes,size_and_expression,2.22809564,1000,0.441237206,0.980236414,1.40150634,1.93383083,100,0,9.99000999e-4,1.82288518
Treg,EPAS1,62,unsigned_geneset_fgsea_nes,size_and_expression,1.53776859,1000,0.263895878,0.988946247,1.33945996,1.73930015,99,10,0.010989011,1.28811117
