population,tf,n_targets_in_network,n_matched,n_unmatched,n_expression_filtered,n_absent_from_count_matrix,n_alias_recoverable,alias_recoverable_symbols
Treg,HIF1A,463,293,170,89,81,3,ATP5IF1/MMUT/TIGAR
Treg,NFKB1,433,280,153,83,70,2,HYAL1/KIFBP
Treg,STAT3,437,285,152,75,77,2,DEPP1/PHB1
Treg,CREB1,466,276,190,88,102,8,CARS1/COP1/MRM3/NOCT/OGA/PTPA/STING1/TIGAR
Treg,ATF3,110,72,38,21,17,1,KIFBP
Treg,REL,114,83,31,17,14,2,RACK1/TSPOAP1
Treg,HSF1,103,67,36,14,22,1,PHB1
Treg,EPAS1,93,62,31,19,12,1,BMAL1
Tcon,HIF1A,463,302,161,80,81,4,ATP5IF1/MMUT/MRC1/TIGAR
Tcon,NFKB1,433,289,144,74,70,2,HYAL1/KIFBP
Tcon,STAT3,437,294,143,66,77,1,PHB1
Tcon,CREB1,466,289,177,75,102,9,CARS1/COP1/MRM3/NECTIN2/NOCT/OGA/PTPA/STING1/TIGAR
Tcon,ATF3,110,78,32,15,17,1,KIFBP
Tcon,REL,114,86,28,14,14,2,RACK1/TSPOAP1
Tcon,HSF1,103,71,32,10,22,1,PHB1
Tcon,EPAS1,93,63,30,18,12,1,BMAL1
CD8,HIF1A,463,285,178,97,81,3,ATP5IF1/MMUT/TIGAR
CD8,NFKB1,433,276,157,87,70,2,HYAL1/KIFBP
CD8,STAT3,437,273,164,87,77,1,PHB1
CD8,CREB1,466,268,198,96,102,9,CARS1/COP1/MRM3/NECTIN2/NOCT/OGA/PTPA/STING1/TIGAR
CD8,ATF3,110,69,41,24,17,1,KIFBP
CD8,REL,114,83,31,17,14,2,RACK1/TSPOAP1
CD8,HSF1,103,67,36,14,22,1,PHB1
CD8,EPAS1,93,60,33,21,12,1,BMAL1
