tf,target,mor,sign_decision,stat,contrib,n_regulons,n_other_regulons,selective,promiscuity_band,avg_expr,log2FoldChange,padj_gene,population
HIF1A,BHLHE40,1,default activation,20.9146942,20.9146942,19,18,FALSE,<=25,3.07441966,5.15826554,6.63129672e-6,Treg
HIF1A,CDKN1A,1,PMID,20.8389346,20.8389346,254,253,FALSE,>25,3.2390783,4.50522407,6.63129672e-6,Treg
HIF1A,NAMPT,1,default activation,16.6631169,16.6631169,12,11,FALSE,<=25,5.78837824,1.83246649,1.47149244e-5,Treg
HIF1A,LGALS3,1,default activation,15.7929169,15.7929169,13,12,FALSE,<=25,8.74744524,1.97177086,1.55957565e-5,Treg
HIF1A,PKM,1,default activation,13.6839309,13.6839309,12,11,FALSE,<=25,9.31734789,1.57274983,2.88780129e-5,Treg
HIF1A,DDIT4,1,PMID,13.6194933,13.6194933,10,9,FALSE,<=10,6.27400272,2.20833054,3.59562407e-5,Treg
HIF1A,SDC4,1,default activation,12.9888734,12.9888734,11,10,FALSE,<=25,3.22158465,3.37892842,3.74197788e-5,Treg
HIF1A,CCL4,1,default activation,12.5429132,12.5429132,18,17,FALSE,<=25,1.23527461,7.58888916,4.48385061e-5,Treg
HIF1A,S100A11,1,default activation,11.9074791,11.9074791,2,1,FALSE,<=2,9.74839381,1.39192451,5.91119671e-5,Treg
HIF1A,FURIN,1,default activation,11.6422519,11.6422519,10,9,FALSE,<=10,3.67089916,1.65902405,6.60688773e-5,Treg
HIF1A,FOXP3,1,PMID,11.1296594,11.1296594,64,63,FALSE,>25,9.30552756,1.41217823,7.83020492e-5,Treg
HIF1A,IL10,1,PMID,10.834723,10.834723,91,90,FALSE,>25,1.56628485,5.83949169,1.05736397e-4,Treg
HIF1A,TIMP1,1,PMID,10.2494627,10.2494627,38,37,FALSE,>25,7.40901251,3.10012792,4.19763689e-4,Treg
HIF1A,PGK1,1,PMID,9.76082222,9.76082222,7,6,FALSE,<=10,8.87479368,1.1527165,1.5275105e-4,Treg
HIF1A,FSCN1,1,default activation,9.51964668,9.51964668,10,9,FALSE,<=10,2.26257164,4.32494286,3.07878971e-4,Treg
HIF1A,ENO1,1,PMID,9.39088639,9.39088639,5,4,FALSE,<=5,9.35841049,1.58534457,2.45893974e-4,Treg
HIF1A,S100A4,1,PMID,9.05615164,9.05615164,12,11,FALSE,<=25,12.2407931,1.21577075,2.31364466e-4,Treg
HIF1A,TNF,1,PMID,8.96441554,8.96441554,159,158,FALSE,>25,4.21615689,2.78554814,4.89811258e-4,Treg
HIF1A,HSPA1A,1,PMID,8.65372464,8.65372464,26,25,FALSE,>25,7.5872371,1.16042566,2.93310322e-4,Treg
HIF1A,TXN,1,default activation,8.55620445,8.55620445,20,19,FALSE,<=25,8.52305432,1.5378283,4.28583776e-4,Treg
HIF1A,NR4A1,1,PMID,8.48336695,8.48336695,28,27,FALSE,>25,1.17542325,3.28559579,3.39699959e-4,Treg
HIF1A,NTRK2,1,PMID,8.29484048,8.29484048,15,14,FALSE,<=25,-1.57719031,3.83029683,3.66033325e-4,Treg
HIF1A,CISH,1,default activation,8.28410203,8.28410203,34,33,FALSE,>25,6.73980363,1.92277565,7.11278494e-4,Treg
HIF1A,MIF,1,PMID,8.20224071,8.20224071,14,13,FALSE,<=25,9.45015533,0.842709153,3.89326098e-4,Treg
HIF1A,ID2,1,PMID,8.03347755,8.03347755,46,45,FALSE,>25,5.14339283,2.6410449,0.00107405626,Treg
HIF1A,MYC,-1,PMID,-7.96356669,7.96356669,155,154,FALSE,>25,6.10250231,-1.60959373,7.5296635e-4,Treg
HIF1A,PRNP,1,PMID,7.74754588,7.74754588,9,8,FALSE,<=10,6.78896735,1.37774074,6.99182855e-4,Treg
HIF1A,STAT3,1,default activation,7.72559938,7.72559938,29,28,FALSE,>25,7.11012607,0.841514963,5.1829781e-4,Treg
HIF1A,VIM,1,PMID,7.42342055,7.42342055,51,50,FALSE,>25,11.4317475,1.14144428,6.45655352e-4,Treg
HIF1A,SLC2A3,1,PMID,7.24522769,7.24522769,15,14,FALSE,<=25,7.29766346,0.652680723,7.30598367e-4,Treg
HIF1A,BSG,1,default activation,7.19226499,7.19226499,9,8,FALSE,<=10,7.53357793,0.581558453,7.54438691e-4,Treg
HIF1A,BCL2L1,1,default activation,7.18409357,7.18409357,68,67,FALSE,>25,5.63063593,1.05976911,7.72957972e-4,Treg
HIF1A,CCL5,1,PMID,6.94581787,6.94581787,42,41,FALSE,>25,5.11987052,3.33739009,0.0028494388,Treg
HIF1A,KDM5B,1,PMID,6.90410324,6.90410324,5,4,FALSE,<=5,5.41259863,0.663052176,9.16261637e-4,Treg
HIF1A,EPAS1,1,PMID,6.60725411,6.60725411,12,11,FALSE,<=25,-0.40458196,3.17121972,0.00114859978,Treg
