tf,promiscuity_band,n_targets,sum_contrib,mean_contrib,mean_n_regulons,pct_of_total_contrib
HIF1A,<=1,27,0.647311429,0.0239744974,1,0.136393047
HIF1A,<=2,9,5.64656717,0.627396352,2,1.18977121
HIF1A,<=5,39,38.4868595,0.986842552,3.79487179,8.10945057
HIF1A,<=10,61,98.5227732,1.61512743,7.8852459,20.7594376
HIF1A,<=25,84,164.494977,1.95827354,15.952381,34.6602426
HIF1A,>25,73,166.7942,2.28485206,66.9589041,35.1447049
NFKB1,<=1,2,0.324082301,0.162041151,1,0.069893349
NFKB1,<=2,8,-7.8885118,-0.986063975,2,-1.70127929
NFKB1,<=5,32,38.12375,1.19136719,3.96875,8.22197496
NFKB1,<=10,51,108.935273,2.13598574,7.76470588,23.4935725
NFKB1,<=25,101,184.515544,1.82688657,16.2475248,39.793624199999996
NFKB1,>25,86,139.671037,1.62408182,60,30.1222142
