population,draw,tf,score,rank
Treg,1,HIF1A,4.64371138,39
Treg,1,NFKB1,4.53485641,44
Treg,1,STAT3,5.09346179,23
Treg,1,CREB1,5.36268571,18
Treg,1,ATF3,1.40318334,322
Treg,1,REL,4.90516046,29
Treg,1,HSF1,2.55220308,167
Treg,1,EPAS1,2.10421184,228
Treg,2,HIF1A,4.61106199,38
Treg,2,NFKB1,3.49864099,101
Treg,2,STAT3,3.31467972,119
Treg,2,CREB1,5.38427026,18
Treg,2,ATF3,0.57776334,404
Treg,2,REL,4.60539141,39
Treg,2,HSF1,4.38783623,46
Treg,2,EPAS1,3.99934926,66
Treg,3,HIF1A,4.92304335,27
Treg,3,NFKB1,5.09571918,22
Treg,3,STAT3,4.54388997,40
Treg,3,CREB1,6.43683982,7
Treg,3,ATF3,2.79785437,162
Treg,3,REL,3.93007798,65
Treg,3,HSF1,2.16854317,237
Treg,3,EPAS1,3.4983835,93
Treg,4,HIF1A,4.49082684,32
Treg,4,NFKB1,4.51669105,31
Treg,4,STAT3,5.26559661,18
Treg,4,CREB1,5.75212275,12
Treg,4,ATF3,0.838751583,386
Treg,4,REL,1.95641365,247
Treg,4,HSF1,3.10303686,125
Treg,4,EPAS1,3.30509428,101
Treg,5,HIF1A,5.82667528,11
Treg,5,NFKB1,6.07368248,9
Treg,5,STAT3,5.80877487,12
Treg,5,CREB1,4.74186013,31
Treg,5,ATF3,2.42956469,191
Treg,5,REL,1.17625982,352
Treg,5,HSF1,3.92467691,75
Treg,5,EPAS1,3.39911219,105
Treg,6,HIF1A,4.24624175,51
Treg,6,NFKB1,5.06163676,17
Treg,6,STAT3,4.1026811,59
Treg,6,CREB1,5.34831254,11
Treg,6,ATF3,2.93316306,153
Treg,6,REL,1.04573885,360
Treg,6,HSF1,5.07090091,16
Treg,6,EPAS1,4.30900097,47
Treg,7,HIF1A,4.44742816,33
Treg,7,NFKB1,4.67819483,24
Treg,7,STAT3,5.17551878,17
Treg,7,CREB1,4.13144339,47
