dataset,signature,cell_state,contrast,effect_metric,evidence_tier,estimate,se,ci_low,ci_high,direction,pvalue,padj,n_donors,n_cells,signoff_state
GSE160097,WT_heat_up,Treg,SF_vs_PB,pseudobulk_nes,primary_pseudobulk,2.59140430748665,,,,up,5.15110065962281e-15,1.03022013192456e-14,6,27175,pending
GSE160097,WT_heat_down,Treg,SF_vs_PB,pseudobulk_nes,primary_pseudobulk,1.03861813810025,,,,up,0.38544823064519,0.38544823064519,6,27175,pending
GSE160097,WT_heat_up,Treg,SF_vs_PB,percell_auc_smd,secondary_percell,5.509693466680038,1.2997595215741835,2.9621648043946385,8.057222128965439,up,0.0013911861465312,0.0034071426839949,6,27175,pending
GSE160097,WT_heat_up,Tcon,SF_vs_PB,pseudobulk_nes,primary_pseudobulk,2.68259085286049,,,,up,5.52617078783487e-17,1.10523415756697e-16,6,37913,pending
GSE160097,WT_heat_down,Tcon,SF_vs_PB,pseudobulk_nes,primary_pseudobulk,1.43220386391328,,,,up,0.0353682836333654,0.0353682836333654,6,37913,pending
GSE160097,WT_heat_up,Tcon,SF_vs_PB,percell_auc_smd,secondary_percell,3.387382856847405,0.911639044109502,1.6005703303927814,5.174195383302029,up,0.0034071426839949,0.0034071426839949,6,37913,pending
GSE160097,WT_heat_up,CD8,SF_vs_PB,pseudobulk_nes,primary_pseudobulk,2.06142355250022,,,,up,3.43965365685505e-07,6.8793073137101e-07,6,34827,pending
GSE160097,WT_heat_down,CD8,SF_vs_PB,pseudobulk_nes,primary_pseudobulk,1.13312177468127,,,,up,0.255753154955944,0.255753154955944,6,34827,pending
GSE160097,WT_heat_up,CD8,SF_vs_PB,percell_auc_smd,secondary_percell,3.4991613403550934,0.9306316011514942,1.675123402098165,5.323199278612022,up,0.0031547424878374,0.0034071426839949,6,34827,pending
GSE160097,WT_heat_up_purged_hypoxia,Treg,SF_vs_PB_heat_purged,pseudobulk_nes,primary_pseudobulk,2.42706974421344,,,,up,1.0057597095556e-11,2.0115194191112e-11,6,27175,pending
GSE160097,WT_heat_up_purged_hypoxia,Tcon,SF_vs_PB_heat_purged,pseudobulk_nes,primary_pseudobulk,2.55645060200689,,,,up,3.46632321565203e-14,6.93264643130407e-14,6,37913,pending
GSE160097,WT_heat_up_purged_hypoxia,CD8,SF_vs_PB_heat_purged,pseudobulk_nes,primary_pseudobulk,1.91807723029625,,,,up,3.2372709267723e-05,6.47454185354461e-05,6,34827,pending
