dataset,signature,cell_state,contrast,effect_metric,evidence_tier,estimate,se,ci_low,ci_high,direction,pvalue,padj,n_donors,n_cells,signoff_state,stage,database
GSE160097,WT_heat_up,Treg,SF_vs_PB,pseudobulk_nes,primary_pseudobulk,2.59140431,nan,nan,nan,up,5.15110066e-15,1.03022013e-14,6.0,27175.0,pending,05_scoring,GSE160097
GSE160097,WT_heat_down,Treg,SF_vs_PB,pseudobulk_nes,primary_pseudobulk,1.03861814,nan,nan,nan,up,0.385448231,0.385448231,6.0,27175.0,pending,05_scoring,GSE160097
GSE160097,WT_heat_up,Treg,SF_vs_PB,percell_auc_smd,secondary_percell,5.50969347,1.29975952,2.9621648,8.05722213,up,0.00139118615,0.00340714268,6.0,27175.0,pending,05_scoring,GSE160097
GSE160097,WT_heat_up,Tcon,SF_vs_PB,pseudobulk_nes,primary_pseudobulk,2.68259085,nan,nan,nan,up,5.52617079e-17,1.10523416e-16,6.0,37913.0,pending,05_scoring,GSE160097
GSE160097,WT_heat_down,Tcon,SF_vs_PB,pseudobulk_nes,primary_pseudobulk,1.43220386,nan,nan,nan,up,0.0353682836,0.0353682836,6.0,37913.0,pending,05_scoring,GSE160097
GSE160097,WT_heat_up,Tcon,SF_vs_PB,percell_auc_smd,secondary_percell,3.38738286,0.911639044,1.60057033,5.17419538,up,0.00340714268,0.00340714268,6.0,37913.0,pending,05_scoring,GSE160097
GSE160097,WT_heat_up,CD8,SF_vs_PB,pseudobulk_nes,primary_pseudobulk,2.06142355,nan,nan,nan,up,3.43965366e-07,6.87930731e-07,6.0,34827.0,pending,05_scoring,GSE160097
GSE160097,WT_heat_down,CD8,SF_vs_PB,pseudobulk_nes,primary_pseudobulk,1.13312177,nan,nan,nan,up,0.255753155,0.255753155,6.0,34827.0,pending,05_scoring,GSE160097
GSE160097,WT_heat_up,CD8,SF_vs_PB,percell_auc_smd,secondary_percell,3.49916134,0.930631601,1.6751234,5.32319928,up,0.00315474249,0.00340714268,6.0,34827.0,pending,05_scoring,GSE160097
GSE160097,WT_heat_up_purged_hypoxia,Treg,SF_vs_PB_heat_purged,pseudobulk_nes,primary_pseudobulk,2.42706974,nan,nan,nan,up,1.00575971e-11,2.01151942e-11,6.0,27175.0,pending,09_heat_hypoxia,GSE160097
GSE160097,WT_heat_up_purged_hypoxia,Tcon,SF_vs_PB_heat_purged,pseudobulk_nes,primary_pseudobulk,2.5564506,nan,nan,nan,up,3.46632322e-14,6.93264643e-14,6.0,37913.0,pending,09_heat_hypoxia,GSE160097
GSE160097,WT_heat_up_purged_hypoxia,CD8,SF_vs_PB_heat_purged,pseudobulk_nes,primary_pseudobulk,1.91807723,nan,nan,nan,up,3.23727093e-05,6.47454185e-05,6.0,34827.0,pending,09_heat_hypoxia,GSE160097
